"REF_DATE","GEO","DGUID","Target population","Sex","Antigen or vaccine","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2021A000011124","Recommended vaccines during pregnancy","Total - Gender","Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)","Percentage vaccinated","Percent","239","units","0","v1546045925","1.1.1.16.1","","..","","","1"
"2011","Canada","2021A000011124","Recommended vaccines during pregnancy","Total - Gender","Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045926","1.1.1.16.2","","..","","","1"
"2011","Canada","2021A000011124","Recommended vaccines during pregnancy","Total - Gender","Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045927","1.1.1.16.3","","..","","","1"
"2011","Canada","2021A000011124","Recommended vaccines during pregnancy","Total - Gender","Influenza (flu)","Percentage vaccinated","Percent","239","units","0","v1546045928","1.1.1.17.1","","..","","","1"
"2011","Canada","2021A000011124","Recommended vaccines during pregnancy","Total - Gender","Influenza (flu)","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045929","1.1.1.17.2","","..","","","1"
"2011","Canada","2021A000011124","Recommended vaccines during pregnancy","Total - Gender","Influenza (flu)","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045930","1.1.1.17.3","","..","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Diphtheria","Percentage vaccinated","Percent","239","units","0","v1546045931","1.2.1.1.1","70.9","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Diphtheria","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045932","1.2.1.1.2","65.7","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Diphtheria","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045933","1.2.1.1.3","75.6","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Pertussis (whooping cough)","Percentage vaccinated","Percent","239","units","0","v1546045934","1.2.1.2.1","69.7","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Pertussis (whooping cough)","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045935","1.2.1.2.2","64.5","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Pertussis (whooping cough)","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045936","1.2.1.2.3","74.4","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Tetanus","Percentage vaccinated","Percent","239","units","0","v1546045937","1.2.1.3.1","70.1","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Tetanus","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045938","1.2.1.3.2","64.9","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Tetanus","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045939","1.2.1.3.3","74.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Polio","Percentage vaccinated","Percent","239","units","0","v1546045940","1.2.1.4.1","88.6","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Polio","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045941","1.2.1.4.2","84.5","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Polio","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045942","1.2.1.4.3","91.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Haemophilus influenzae type B (Hib)","Percentage vaccinated","Percent","239","units","0","v1546045943","1.2.1.5.1","64.7","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Haemophilus influenzae type B (Hib)","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045944","1.2.1.5.2","59.3","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Haemophilus influenzae type B (Hib)","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045945","1.2.1.5.3","69.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Measles","Percentage vaccinated","Percent","239","units","0","v1546045946","1.2.1.6.1","89.2","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Measles","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045947","1.2.1.6.2","85.4","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Measles","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045948","1.2.1.6.3","92.1","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Mumps","Percentage vaccinated","Percent","239","units","0","v1546045949","1.2.1.7.1","88.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Mumps","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045950","1.2.1.7.2","84.9","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Mumps","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045951","1.2.1.7.3","91.7","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Rubella","Percentage vaccinated","Percent","239","units","0","v1546045952","1.2.1.8.1","88.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Rubella","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045953","1.2.1.8.2","84.9","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Rubella","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045954","1.2.1.8.3","91.7","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Hepatitis B","Percentage vaccinated","Percent","239","units","0","v1546045955","1.2.1.9.1","74.1","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Hepatitis B","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045956","1.2.1.9.2","58.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Hepatitis B","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045957","1.2.1.9.3","85.1","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Varicella","Percentage vaccinated","Percent","239","units","0","v1546045958","1.2.1.10.1","70.8","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Varicella","Low 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045959","1.2.1.10.2","66.0","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Varicella","High 95% confidence interval, percentage vaccinated","Percent","239","units","0","v1546045960","1.2.1.10.3","75.2","","","","1"
"2011","Canada","2021A000011124","Recommended vaccines for 2-year-old children","Total - Gender","Meningococcal type C","Percentage vaccinated","Percent","239","units","0","v1546045961","1.2.1.11.1","84.6","","","","1"
