"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"12,164","5,905","6,127",918,"4,664","3,896","2,465",221,,,,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,414,174,234,29,129,153,96,7,,,,,,,,,,,,,,,,,,,,,,
Prince Edward Island,394,156,235,25,118,141,99,11,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,524,234,286,30,179,187,123,5,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,457,199,255,49,161,134,105,8,,,,,,,,,,,,,,,,,,,,,,
Quebec,"2,465","1,187","1,264",173,"1,062",774,433,23,,,,,,,,,,,,,,,,,,,,,,
Ontario,"3,455","1,745","1,665",286,"1,343","1,115",648,63,,,,,,,,,,,,,,,,,,,,,,
Manitoba,508,245,255,35,195,170,94,14,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan,489,231,249,66,171,140,105,7,,,,,,,,,,,,,,,,,,,,,,
Alberta,"1,497",781,700,103,602,476,290,26,,,,,,,,,,,,,,,,,,,,,,
British Columbia,"1,626",802,808,103,604,507,371,41,,,,,,,,,,,,,,,,,,,,,,
Yukon,195,93,98,7,70,53,58,7,,,,,,,,,,,,,,,,,,,,,,
Northwest Territories,101,39,58,7,18,30,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut,39,19,20,5,12,16,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cells left blank were deliberate to avoid back calculation of suppressed numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2a. Percentage of respondents with at least one chronic health condition, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A4. Have you been diagnosed with any of the following conditions? (n=11,680); (n(000s)=28,588)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sickle cell anemia, thalassemia major, or bleeding disorders",159,0.60%,50,0.40%,107,0.70%,26,0.80%,61,0.5%+,42,0.5%+,29,0.5%+,#,#,,,,,,,,,,,,,,
,,[0.4-0.7],,[0.2-0.6],,[0.6-1.0],,[0.4-1.7],,[0.4-0.8],,[0.3-0.8],,[0.3-0.9],,,,,,,,,,,,,,,,
Neurologic conditions or neurodevelopmental disorders¹,834,2.90%,340,2.5%-,483,3.30%,141,4.30%,264,2.40%,231,2.80%,172,3.20%,27,6.10%,,,,,,,,,,,,,,
,,[2.6-3.2],,[2.1-2.9],,[2.9-3.8],,[3.2-5.9],,[1.9-2.8],,[2.3-3.3],,[2.6-4.0],,[3.6-10.1],,,,,,,,,,,,,,
Asthma or other chronic lung disease²,"2,650",9.30%,"1,016",7.30%,"1,607",11.10%,370,11.40%,"1,018",9.10%,724,8.60%,490,9.30%,48,10.60%,,,,,,,,,,,,,,
,,[8.8-9.8],,[6.7-8.0],,[10.3-11.9],,[9.4-13.6],,[8.3-10.0],,[7.8-9.6],,[8.2-10.5],,[7.2-15.5],,,,,,,,,,,,,,
"Chronic kidney, heart, or liver disease",964,3.40%,613,4.40%,349,2.40%,29,0.90%,136,1.20%,309,3.70%,422,8.00%,67,15.00%,,,,,,,,,,,,,,
,,[3.1-3.7],,[3.9-5.0],,[2.1-2.8],,[0.5-1.8],,[0.9-1.6],,[3.1-4.3],,[7.0-9.1],,[10.8-20.4],,,,,,,,,,,,,,
Diabetes or other endocrine and metabolic disorders³,"2,959",10.40%,"1,277",9.20%,"1,657",11.5%+,68,2.10%,689,6.10%,"1,219",14.5%+,930,17.60%,53,11.90%,,,,,,,,,,,,,,
,,[9.8-10.9],,[8.5-10.0],,[10.7-12.3],,[1.3-3.3],,[5.5-6.9],,[13.5-15.7],,[16.1-19.1],,[8.2-16.9],,,,,,,,,,,,,,
Autoimmune conditions 4,"1,506",5.30%,425,3.10%,"1,074",7.40%,92,2.80%,538,4.80%,511,6.10%,338,6.40%,28,6.20%,,,,,,,,,,,,,,
,,[4.9-5.7],,[2.7-3.6],,[6.8-8.1],,[1.9-4.2],,[4.2-5.5],,[5.4-6.9],,[5.5-7.4],,[3.6-10.2],,,,,,,,,,,,,,
Immune suppression 5,466,1.60%,170,1.20%,294,2.00%,#,#,114,1.00%,152,1.80%,174,3.30%,14,3.00%,,,,,,,,,,,,,,
,,[1.4-1.9],,[1.0-1.6],,[1.7-2.4],,,,[0.8-1.4],,[1.4-2.3],,[2.6-4.1],,[1.4-6.3],,,,,,,,,,,,,,
Cancer,"1,797",6.30%,813,5.90%,965,6.70%,#,#,180,1.60%,658,7.90%,860,16.30%,94,20.90%,,,,,,,,,,,,,,
,,[5.9-6.7],,[5.3-6.5],,[6.1-7.3],,,,[1.3-2.0],,[7.0-8.8],,[14.8-17.8],,[16.0-26.9],,,,,,,,,,,,,,
Cochlear implant,17,0.1%*,9,0.10%,#,#,Nil,Nil,#,#,#,#,9,0.20%,Nil,Nil,,,,,,,,,,,,,,
