"Vaccine coverage estimates for recommended vaccines in children and pregnant women 1 2 3 4 5"
"Frequency: Occasional"
"Table: 13-10-0870-01"
"Release date: 2023-06-12"
"Geography: Canada, Province or territory"
""
""

,,"Sex 7","Total - Gender"
,,"Antigen or vaccine 8 9 10 11 12 13 14 15","Measles"
,,"Characteristics","Percentage vaccinated"
"Geography","Target population 6","Reference period"
,,,"Percent"
"Newfoundland and Labrador","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","95.1"
,,"2015",".."
,,"2017","96.9"
,,"2019",".."
,,"2021","97.0"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","84.3"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Prince Edward Island","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","90.2"
,,"2015",".."
,,"2017","93.2"
,,"2019",".."
,,"2021","98.0"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","84.2"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Nova Scotia","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","86.6"
,,"2015",".."
,,"2017","87.1"
,,"2019",".."
,,"2021","93.6"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","71.7"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"New Brunswick","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","92.6"
,,"2015",".."
,,"2017","92.0"
,,"2019",".."
,,"2021","94.3"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","92.3"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Ontario","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","92.8"
,,"2015",".."
,,"2017","90.9"
,,"2019",".."
,,"2021","92.0"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","88.7"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Quebec","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","90.6"
,,"2015",".."
,,"2017","91.0"
,,"2019",".."
,,"2021","93.2"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","91.1"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Manitoba","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","83.5"
,,"2015",".."
,,"2017","86.1"
,,"2019",".."
,,"2021","87.1"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","76.6"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Saskatchewan","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","90.1"
,,"2015",".."
,,"2017","89.5"
,,"2019",".."
,,"2021","91.4"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","78.9"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Alberta","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","82.0"
,,"2015",".."
,,"2017","91.7"
,,"2019",".."
,,"2021","88.4"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","75.2"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"British Columbia","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","86.9"
,,"2015",".."
,,"2017","86.1"
,,"2019",".."
,,"2021","91.3"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","83.5"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Yukon","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","85.2"
,,"2015",".."
,,"2017","91.0"
,,"2019",".."
,,"2021","85.3"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","77.5"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Northwest Territories","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","84.0"
,,"2015",".."
,,"2017","91.8"
,,"2019",".."
,,"2021","90.8"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","88.4"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."
"Nunavut","Recommended vaccines for 2-year-old children","2011",".."
,,"2013","79.8"
,,"2015",".."
,,"2017","88.7"
,,"2019",".."
,,"2021","34.6E"
,"Recommended vaccines for 7-year-old children","2011",".."
,,"2013","64.8"
,,"2015",".."
,,"2017",".."
,,"2019",".."
,,"2021",".."

Symbol legend:
.., not available for a specific reference period
E, use with caution




Footnotes:
1,"All participants were asked to provide information on their children's immunization through the child's vaccination record and were also asked to complete and return by mail a form that provides consent for Statistics Canada to contact their child's health care provider to obtain their child's vaccine history."
2,"Starting in 2019, respondents from Prince Edward Island and Manitoba (the only jurisdictions with current registry data sharing agreements) were asked for consent to use their child immunization data if present in provincial registries."
3,"Confidence intervals were calculated in SAS 8.3 using balanced repeated replication (BRR) weights and the modified Wilson interval."
4,"See the <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5185" rel="external noopener noreferrer" target="_blank">Childhood National Immunization Coverage Survey (CNICS) (opens new window)</a> IMDB page for more information on weighting."
5,"The Childhood National Immunization Coverage Survey (CNICS) has been conducted nationally every two years since 2011 and by province/territory every four years since 2013."
6,"Coverage estimates for 14 and 17-year-olds are also based on parental/guardian recall in addition to other data sources listed in footnotes 1 and 2."
7,"Prior to 2019, the Childhood National Immunization Coverage Survey (CNICS) asked respondents about their child's sex. Since 2019, CNICS asks respondents about their child’s gender, which is different from sex assigned at birth – more information about gender can be found on the Statistics Canada website: <a href="https://www23.statcan.gc.ca/imdb/p3Var.pl?Function=DEC&Id=410445" rel="external noopener noreferrer" target="_blank">Gender of person (opens new window)</a>."
8,"For each vaccination coverage estimate, the inclusion of a given province or territory depends on the date that the corresponding publicly funded vaccination program was introduced in the jurisdiction."
9,"Starting in 2017, some imputation for tetanus, diphtheria, pertussis, and polio immunization was done to account for the fact that these are only available as combined vaccines in Canada. If a dose date was reported for any one of diphtheria, tetanus, or pertussis, it was assumed that the child received all of diphtheria, tetanus, pertussis and polio on that given date."
10,"Hepatitis B coverage indicates three doses for 2-year-olds in provinces and territories where the vaccine was publicly funded: Prince Edward Island, Quebec, New Brunswick, British Columbia, Northwest Territories, Yukon and Nunavut."
11,"Pneumococcal coverage indicates four doses for 2-year-olds for the Northwest Territories and Nunavut, and three doses for the other provinces and territories."
12,"Rotavirus coverage indicates two doses for 2-year-olds in provinces and territories where the vaccine was publicly funded: Newfoundland and Labrador, Prince Edward Island, Quebec, Ontario, Manitoba, Saskatchewan, Alberta, New Brunswick (indicates three doses since 2021), British Columbia, Northwest Territories, Yukon."
13,"Since 2015, the human papillomavirus (HPV) vaccine has been offered to boys and girls in all provinces and territories. However, the 14-year-old boys surveyed in 2017 may not have had the opportunity to receive the vaccine in many jurisdictions. Therefore, HPV vaccine coverage prior to 2019 was only measured in girls and started being measured in both boys and girls starting in 2019."
14,"Meningococcal type C coverage indicates two doses for 2-year-olds in Alberta, British Columbia, Yukon and Northwest Territories and one dose in all other provinces and territories."
15,"All vaccine programs in Canada administer a standalone varicella vaccine or a combination vaccine (MMR-V which includes the measles, mumps, rubella and varicella antigen). In 2013 and 2015, MMR-V was not included in the calculation of varicella coverage, thereby under counting the number of varicella doses received. "



