theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2025,31/03/2025,91.8,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2024,31/03/2024,91.93,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2023,31/03/2023,92.49,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2022,31/03/2022,93.41,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2021,31/03/2021,94.27,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2020,31/03/2020,94.55,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2019,31/03/2019,94.47,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2018,31/03/2018,94.89,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2017,31/03/2017,95,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2016,31/03/2016,94.8,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2015,31/03/2015,94.37,FALSE
immunisation,childhood-vaccines,MMR1,Nation,England,MMR1_coverage_coverageByYear,all,all,5y,2014,31/03/2014,94.11,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2025,31/03/2025,93.8,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2024,31/03/2024,93.34,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2023,31/03/2023,94.19,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2022,31/03/2022,95.36,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2021,31/03/2021,95.98,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2020,31/03/2020,96.22,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2019,31/03/2019,96.68,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2018,31/03/2018,96.81,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2017,31/03/2017,97.43,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2016,31/03/2016,97.49,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2015,31/03/2015,96.36,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Northern Ireland,MMR1_coverage_coverageByYear,all,all,5y,2014,31/03/2014,97.46,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2025,31/03/2025,95.3,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2024,31/03/2024,95.47,FALSE
immunisation,childhood-vaccines,MMR1,Nation,Scotland,MMR1_coverage_coverageByYear,all,all,5y,2023,31/03/2023,95.25,FALSE
