pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_additional,numtotal_2nd_additional,numtotal_recommended_vax,numtotal_vax_interest,proptotal_atleast1dose,proptotal_partially,proptotal_fully,proptotal_additional,proptotal_2nd_additional,proptotal_recommended_vax,proptotal_vax_interest
1,Canada,Canada,2020-12-19,All sexes,0–15,2,2,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,All sexes,16–69,11766,11766,0,,,,,0.1,0.1,0,,,,
1,Canada,Canada,2020-12-19,All sexes,70–79,259,259,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,All sexes,80+,335,335,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,All sexes,All ages,12368,12368,0,,,,,0.1,0.1,0,,,,
1,Canada,Canada,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,All sexes,Unknown,6,6,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,f,0–15,1,1,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,f,16–69,8601,8601,0,,,,,0.1,0.1,0,,,,
1,Canada,Canada,2020-12-19,f,70–79,141,141,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,f,80+,241,241,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,f,All ages,8984,8984,0,,,,,0.1,0.1,0,,,,
1,Canada,Canada,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,m,0–15,1,1,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,m,16–69,3157,3157,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,m,70–79,118,118,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,m,80+,94,94,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,m,All ages,3370,3370,0,,,,,<0.1,<0.1,0,,,,
1,Canada,Canada,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,16–69,8,8,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,All ages,14,14,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Unknown,Unknown,6,6,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,Not reported,0,0,0,,,,,na,na,na,na,na,,
1,Canada,Canada,2020-12-19,Not reported,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,0–15,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,16–69,964,964,0,,,,,0.3,0.3,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,70–79,8,8,0,,,,,<0.1,<0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,80+,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,All ages,972,972,0,,,,,0.2,0.2,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,All sexes,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,0–15,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,16–69,716,716,0,,,,,0.4,0.4,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,70–79,2,2,0,,,,,<0.1,<0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,80+,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,All ages,718,718,0,,,,,0.3,0.3,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,0–15,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,16–69,247,247,0,,,,,0.1,0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,70–79,6,6,0,,,,,<0.1,<0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,80+,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,All ages,253,253,0,,,,,0.1,0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,16–69,1,1,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,All ages,1,1,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
