Region,Sex,Age-standardized rate,Lower limit – 95% CI,Upper limit – 95% CI,CV
Canada,Both sexes,4.6,4.6,4.7,
Newfoundland and Labrador,Both sexes,3.2,2.9,3.5,
Prince Edward Island,Both sexes,3.7,3.1,4.4,
Nova Scotia,Both sexes,4.7,4.4,5,
New Brunswick,Both sexes,3.8,3.6,4.1,
Québec,Both sexes,3.7,3.7,3.8,
Ontario,Both sexes,4.7,4.6,4.7,
Manitoba,Both sexes,7.2,7,7.4,
Saskatchewan,Both sexes,5.1,4.9,5.3,
Alberta,Both sexes,4.7,4.5,4.8,
British Columbia,Both sexes,5.3,5.2,5.4,
Yukon,Both sexes,2.6,1.7,3.4,
Northwest Territories,Both sexes,1.6,1.2,1.9,
Nunavut,Both sexes,3.8,3.4,4.2,
Canada,Males,4.6,4.6,4.7,
Newfoundland and Labrador,Males,3.2,2.8,3.5,
Prince Edward Island,Males,4,3.2,4.9,
Nova Scotia,Males,4.8,4.5,5.1,
New Brunswick,Males,3.9,3.5,4.2,
Québec,Males,3.7,3.7,3.8,
Ontario,Males,4.7,4.6,4.7,
Manitoba,Males,7.3,7,7.5,
Saskatchewan,Males,5.2,4.9,5.4,
Alberta,Males,4.6,4.4,4.7,
British Columbia,Males,5.3,5.2,5.5,
Yukon,Males,2.6,1.5,3.7,
Northwest Territories,Males,1.7,1.3,2.1,
Nunavut,Males,3.8,3.4,4.3,
Canada,Females,4.6,4.6,4.7,
Newfoundland and Labrador,Females,3.2,2.8,3.6,
Prince Edward Island,Females,3.4,2.8,4.1,
Nova Scotia,Females,4.6,4.3,5,
New Brunswick,Females,3.8,3.5,4.1,
Québec,Females,3.7,3.6,3.8,
Ontario,Females,4.7,4.6,4.8,
Manitoba,Females,7.1,6.8,7.3,
Saskatchewan,Females,5.1,4.8,5.3,
Alberta,Females,4.7,4.6,4.9,
British Columbia,Females,5.3,5.1,5.5,
Yukon,Females,2.4,1.6,3.3,
Northwest Territories,Females,1.4,0.9,1.8,
Nunavut,Females,3.8,3.4,4.2,
