Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Overall,Total,Both sexes,,,,,332560,,7.20155e+006,4.6,4.6,4.7,,4.6,4.6,4.7,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Overall,"Total [Males, reference]",Males,1,,,,171025,,3.70149e+006,4.6,4.6,4.7,,4.6,4.6,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Overall,Total [Females],Females,0.999,0.987,1.011,,161530,,3.50006e+006,4.6,4.6,4.7,,4.6,4.6,4.7,,-0.005,-0.059,0.049,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Age group,0 to 11 years,Both sexes,,,,,217240,,4.72126e+006,4.6,4.6,4.6,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Age group,12 to 17 years,Both sexes,,,,,115315,,2.48029e+006,4.6,4.6,4.7,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Age group,0 to 11 years,Males,,,,,111660,,2.42201e+006,4.6,4.6,4.7,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Age group,12 to 17 years,Males,,,,,59375,,1.27948e+006,4.6,4.6,4.7,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Age group,0 to 11 years,Females,,,,,105590,,2.29925e+006,4.6,4.5,4.6,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Age group,12 to 17 years,Females,,,,,55940,,1.20081e+006,4.7,4.6,4.7,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations,Both sexes,2.081,2.029,2.133,,31000,,339835,9.1,8.9,9.3,,9.1,8.9,9.3,,4.743,4.523,4.962,,51.944,50.742,53.145,,4.842,4.621,5.063,,0.224,0.213,0.234,,16101,15354,16847,,Census 2021
