Region,Sex,Age-standardized rate,Lower limit – 95% CI,Upper limit – 95% CI,CV
Canada,Both sexes,6.1,6.1,6.2,
Newfoundland and Labrador,Both sexes,7.7,7.3,8.2,
Prince Edward Island,Both sexes,7,6.2,7.8,
Nova Scotia,Both sexes,8.3,8,8.6,
New Brunswick,Both sexes,8.1,7.7,8.5,
Québec,Both sexes,3.6,3.5,3.7,
Ontario,Both sexes,6.4,6.3,6.5,
Manitoba,Both sexes,8.8,8.6,9.1,
Saskatchewan,Both sexes,8.2,8,8.5,
Alberta,Both sexes,6.3,6.2,6.4,
British Columbia,Both sexes,7.4,7.3,7.5,
Canada,Males,6.1,6.1,6.2,
Newfoundland and Labrador,Males,7.8,7.2,8.4,
Prince Edward Island,Males,7.2,6.2,8.1,
Nova Scotia,Males,8.4,8,8.8,
New Brunswick,Males,8.1,7.7,8.6,
Québec,Males,3.6,3.6,3.7,
Ontario,Males,6.4,6.3,6.5,
Manitoba,Males,8.8,8.5,9,
Saskatchewan,Males,8.2,8,8.5,
Alberta,Males,6.3,6.1,6.4,
British Columbia,Males,7.4,7.3,7.6,
Canada,Females,6.1,6.1,6.2,
Newfoundland and Labrador,Females,7.7,7.1,8.2,
Prince Edward Island,Females,6.9,6,7.7,
Nova Scotia,Females,8.2,7.8,8.6,
New Brunswick,Females,8,7.6,8.5,
Québec,Females,3.6,3.5,3.7,
Ontario,Females,6.4,6.3,6.5,
Manitoba,Females,8.9,8.6,9.2,
Saskatchewan,Females,8.2,7.9,8.6,
Alberta,Females,6.4,6.2,6.5,
British Columbia,Females,7.4,7.2,7.6,
