pt,location,year_report,year_birth,age,n_doses,value
CA,Canada,2011,2009,2,1+,0.892
CA,Canada,2011,2004,7,1+,0.795
CA,Canada,2011,1994,17,1+,0.7709999999999999
CA,Canada,2013,2011,2,1+,0.897
CA,Canada,2013,2006,7,1+,0.857
CA,Canada,2013,1996,17,1+,0.8390000000000001
NL,Newfoundland and Labrador,2013,2011,2,1+,0.951
NL,Newfoundland and Labrador,2013,2006,7,1+,0.843
NL,Newfoundland and Labrador,2013,1996,17,1+,0.872
PE,Prince Edward Island,2013,2011,2,1+,0.902
PE,Prince Edward Island,2013,2006,7,1+,0.8420000000000001
PE,Prince Edward Island,2013,1996,17,1+,0.782
NS,Nova Scotia,2013,2011,2,1+,0.866
NS,Nova Scotia,2013,2006,7,1+,0.7170000000000001
NS,Nova Scotia,2013,1996,17,1+,0.6809999999999999
NB,New Brunswick,2013,2011,2,1+,0.9259999999999999
NB,New Brunswick,2013,2006,7,1+,0.9229999999999999
NB,New Brunswick,2013,1996,17,1+,0.738
ON,Ontario,2013,2011,2,1+,0.9279999999999999
ON,Ontario,2013,2006,7,1+,0.887
ON,Ontario,2013,1996,17,1+,0.848
QC,Quebec,2013,2011,2,1+,0.9059999999999999
QC,Quebec,2013,2006,7,1+,0.9109999999999999
QC,Quebec,2013,1996,17,1+,0.884
MB,Manitoba,2013,2011,2,1+,0.835
MB,Manitoba,2013,2006,7,1+,0.7659999999999999
MB,Manitoba,2013,1996,17,1+,0.8490000000000001
SK,Saskatchewan,2013,2011,2,1+,0.9009999999999999
SK,Saskatchewan,2013,2006,7,1+,0.789
SK,Saskatchewan,2013,1996,17,1+,0.887
AB,Alberta,2013,2011,2,1+,0.82
AB,Alberta,2013,2006,7,1+,0.752
AB,Alberta,2013,1996,17,1+,0.794
BC,British Columbia,2013,2011,2,1+,0.8690000000000001
BC,British Columbia,2013,2006,7,1+,0.835
BC,British Columbia,2013,1996,17,1+,0.748
YT,Yukon,2013,2011,2,1+,0.852
YT,Yukon,2013,2006,7,1+,0.775
YT,Yukon,2013,1996,17,1+,0.7929999999999999
NT,Northwest Territories,2013,2011,2,1+,0.84
NT,Northwest Territories,2013,2006,7,1+,0.884
NT,Northwest Territories,2013,1996,17,1+,0.92
NU,Nunavut,2013,2011,2,1+,0.7979999999999999
NU,Nunavut,2013,2006,7,1+,0.648
NU,Nunavut,2013,1996,17,1+,0.652
CA,Canada,2015,2013,2,1+,0.892
CA,Canada,2015,2008,7,1+,0.858
CA,Canada,2015,1998,17,1+,0.892
CA,Canada,2017,2015,2,1+,0.902
CA,Canada,2017,2010,7,1+,0.87
NL,Newfoundland and Labrador,2017,2015,2,1+,0.9690000000000001
PE,Prince Edward Island,2017,2015,2,1+,0.932
NS,Nova Scotia,2017,2015,2,1+,0.871
NB,New Brunswick,2017,2015,2,1+,0.92
ON,Ontario,2017,2015,2,1+,0.909
QC,Quebec,2017,2015,2,1+,0.91
MB,Manitoba,2017,2015,2,1+,0.861
SK,Saskatchewan,2017,2015,2,1+,0.895
AB,Alberta,2017,2015,2,1+,0.917
BC,British Columbia,2017,2015,2,1+,0.861
YT,Yukon,2017,2015,2,1+,0.91
NT,Northwest Territories,2017,2015,2,1+,0.9179999999999999
NU,Nunavut,2017,2015,2,1+,0.887
CA,Canada,2019,2017,2,1+,0.902
CA,Canada,2019,2012,7,1+,0.833
CA,Canada,2021,2019,2,1+,0.9159999999999999
CA,Canada,2021,2014,7,1+,0.792
NL,Newfoundland and Labrador,2021,2019,2,1+,0.97
PE,Prince Edward Island,2021,2019,2,1+,0.98
NS,Nova Scotia,2021,2019,2,1+,0.9359999999999999
NB,New Brunswick,2021,2019,2,1+,0.943
ON,Ontario,2021,2019,2,1+,0.92
QC,Quebec,2021,2019,2,1+,0.932
MB,Manitoba,2021,2019,2,1+,0.871
SK,Saskatchewan,2021,2019,2,1+,0.914
AB,Alberta,2021,2019,2,1+,0.884
BC,British Columbia,2021,2019,2,1+,0.9129999999999999
YT,Yukon,2021,2019,2,1+,0.853
NT,Northwest Territories,2021,2019,2,1+,0.9079999999999999
NU,Nunavut,2021,2019,2,1+,0.34600000000000003
