Geography,Year,Immunization Type,Birth Cohort,Immunization Percent,Standard Error,Standard Score,Alberta Percent
AB,2014,MMR Dose 1 by Age 13,2001,96.38000000000001,0.08,0.0,96.38000000000001
AB,2015,MMR Dose 1 by Age 13,2002,96.51,0.08,0.0,96.51
AB,2016,MMR Dose 1 by Age 13,2003,96.66000000000001,0.08,0.0,96.66000000000001
AB,2017,MMR Dose 1 by Age 13,2004,96.92,0.07,0.0,96.92
AB,2018,MMR Dose 1 by Age 13,2005,97.09,0.07,0.0,97.09
AB,2019,MMR Dose 1 by Age 13,2006,96.81000000000002,0.07,0.0,96.81000000000002
AB,2020,MMR Dose 1 by Age 13,2007,96.30000000000001,0.07,0.0,96.30000000000001
AB,2021,MMR Dose 1 by Age 13,2008,95.64000000000001,0.08,0.0,95.64000000000001
AB,2022,MMR Dose 1 by Age 13,2009,95.25,0.08,0.0,95.25
AB,2023,MMR Dose 1 by Age 13,2010,94.95,0.09,0.0,94.95
AB,2014,MMR Dose 1 by Age 17,1997,96.23,0.09,0.0,96.23
AB,2015,MMR Dose 1 by Age 17,1998,96.51,0.08,0.0,96.51
AB,2016,MMR Dose 1 by Age 17,1999,96.71000000000001,0.08,0.0,96.71000000000001
AB,2017,MMR Dose 1 by Age 17,2000,96.94000000000001,0.07,0.0,96.94000000000001
AB,2018,MMR Dose 1 by Age 17,2001,97.03,0.07,0.0,97.03
AB,2019,MMR Dose 1 by Age 17,2002,97.22,0.07,0.0,97.22
AB,2020,MMR Dose 1 by Age 17,2003,97.75,0.06,0.0,97.75
AB,2021,MMR Dose 1 by Age 17,2004,97.84000000000002,0.06,0.0,97.84000000000002
AB,2022,MMR Dose 1 by Age 17,2005,97.83000000000001,0.05,0.0,97.83000000000001
AB,2023,MMR Dose 1 by Age 17,2006,97.27,0.06,0.0,97.27
AB,2014,MMR Dose 1 by Age 2,2012,88.05,0.14,0.0,88.05
AB,2015,MMR Dose 1 by Age 2,2013,87.11000000000001,0.14,0.0,87.11000000000001
AB,2016,MMR Dose 1 by Age 2,2014,87.29,0.14,0.0,87.29
AB,2017,MMR Dose 1 by Age 2,2015,87.05,0.14,0.0,87.05
AB,2018,MMR Dose 1 by Age 2,2016,86.73,0.14,0.0,86.73
AB,2019,MMR Dose 1 by Age 2,2017,86.96000000000001,0.14,0.0,86.96000000000001
AB,2020,MMR Dose 1 by Age 2,2018,86.65,0.15000000000000002,0.0,86.65
AB,2021,MMR Dose 1 by Age 2,2019,83.2,0.17,0.0,83.2
AB,2022,MMR Dose 1 by Age 2,2020,82.07,0.17,0.0,82.07
AB,2023,MMR Dose 1 by Age 2,2021,81.67,0.17,0.0,81.67
AB,2014,MMR Dose 2 by Age 13,2001,91.76,0.13,0.0,91.76
AB,2015,MMR Dose 2 by Age 13,2002,91.68,0.13,0.0,91.68
AB,2016,MMR Dose 2 by Age 13,2003,91.18,0.13,0.0,91.18
AB,2017,MMR Dose 2 by Age 13,2004,91.45,0.12000000000000001,0.0,91.45
AB,2018,MMR Dose 2 by Age 13,2005,91.34000000000002,0.12000000000000001,0.0,91.34000000000002
AB,2019,MMR Dose 2 by Age 13,2006,91.46000000000001,0.12000000000000001,0.0,91.46000000000001
AB,2020,MMR Dose 2 by Age 13,2007,91.01,0.12000000000000001,0.0,91.01
AB,2021,MMR Dose 2 by Age 13,2008,89.81000000000002,0.12000000000000001,0.0,89.81000000000002
AB,2022,MMR Dose 2 by Age 13,2009,89.83000000000001,0.12000000000000001,0.0,89.83000000000001
AB,2023,MMR Dose 2 by Age 13,2010,89.61000000000001,0.12000000000000001,0.0,89.61000000000001
AB,2014,MMR Dose 2 by Age 17,1997,92.41000000000001,0.12000000000000001,0.0,92.41000000000001
AB,2015,MMR Dose 2 by Age 17,1998,92.75,0.12000000000000001,0.0,92.75
AB,2016,MMR Dose 2 by Age 17,1999,93.22,0.11,0.0,93.22
