Public_health_unit,Antigen,Age,Year,Coverage
Algoma Public Health,HPV,12,2023-2024,59.3
Algoma Public Health,HepB,12,2023-2024,62.9
Algoma Public Health,HPV,17,2023-2024,69.4
Algoma Public Health,Diphtheria,17,2023-2024,74
Algoma Public Health,HepB,17,2023-2024,76.3
Algoma Public Health,Pertussis,17,2023-2024,74
Algoma Public Health,Tetanus,17,2023-2024,74
Algoma Public Health,Rota,7,2023-2024,81.1
Algoma Public Health,MCV4,12,2023-2024,80.8
Algoma Public Health,Diphtheria,7,2023-2024,86.6
Algoma Public Health,Hib,7,2023-2024,87.5
Algoma Public Health,MCC,7,2023-2024,94.9
Algoma Public Health,Measles,7,2023-2024,86.6
Algoma Public Health,Mumps,7,2023-2024,86.3
Algoma Public Health,Pertussis,7,2023-2024,86.6
Algoma Public Health,Pneumo,7,2023-2024,89.5
Algoma Public Health,Polio,7,2023-2024,87.1
Algoma Public Health,Tetanus,7,2023-2024,86.6
Algoma Public Health,Varicella,7,2023-2024,85.4
Algoma Public Health,MCV4,17,2023-2024,91.2
Algoma Public Health,Measles,17,2023-2024,96.5
Algoma Public Health,Mumps,17,2023-2024,96.5
Algoma Public Health,Polio,17,2023-2024,95.5
Algoma Public Health,Rubella,7,2023-2024,95.4
Algoma Public Health,Rubella,17,2023-2024,97.4
Algoma Public Health,Diphtheria,5,2023-2024,34.6
Algoma Public Health,Diphtheria,6,2023-2024,40
Algoma Public Health,Diphtheria,8,2023-2024,89.2
Algoma Public Health,Diphtheria,9,2023-2024,88.8
Algoma Public Health,Diphtheria,10,2023-2024,88.5
Algoma Public Health,Diphtheria,11,2023-2024,91.8
Algoma Public Health,Diphtheria,12,2023-2024,92.2
Algoma Public Health,Diphtheria,13,2023-2024,94
Algoma Public Health,Diphtheria,14,2023-2024,77.3
Algoma Public Health,Diphtheria,15,2023-2024,76.6
Algoma Public Health,Diphtheria,16,2023-2024,80.3
Algoma Public Health,HepB,13,2023-2024,68
Algoma Public Health,HepB,14,2023-2024,68
Algoma Public Health,HepB,15,2023-2024,57.4
Algoma Public Health,HepB,16,2023-2024,63.6
Algoma Public Health,Hib,5,2023-2024,57.8
Algoma Public Health,Hib,6,2023-2024,62.1
Algoma Public Health,Hib,8,2023-2024,86.8
Algoma Public Health,Hib,9,2023-2024,89
Algoma Public Health,Hib,10,2023-2024,89.2
Algoma Public Health,Hib,11,2023-2024,88.6
Algoma Public Health,Hib,12,2023-2024,88.7
Algoma Public Health,HPV,13,2023-2024,63.3
Algoma Public Health,HPV,14,2023-2024,62.2
Algoma Public Health,HPV,15,2023-2024,51.6
Algoma Public Health,HPV,16,2023-2024,60.1
Algoma Public Health,MCC,5,2023-2024,69.1
Algoma Public Health,MCC,6,2023-2024,73.2
Algoma Public Health,MCC,8,2023-2024,95.1
Algoma Public Health,MCC,9,2023-2024,95.9
Algoma Public Health,MCC,10,2023-2024,96.5
Algoma Public Health,MCC,11,2023-2024,96.9
Algoma Public Health,MCC,12,2023-2024,97.1
Algoma Public Health,MCV4,13,2023-2024,91.5
Algoma Public Health,MCV4,14,2023-2024,92.2
Algoma Public Health,MCV4,15,2023-2024,88.3
Algoma Public Health,MCV4,16,2023-2024,92.5
Algoma Public Health,Measles,5,2023-2024,35
Algoma Public Health,Measles,6,2023-2024,40
Algoma Public Health,Measles,8,2023-2024,90.3
Algoma Public Health,Measles,9,2023-2024,88.5
Algoma Public Health,Measles,10,2023-2024,89.8
Algoma Public Health,Measles,11,2023-2024,92.5
Algoma Public Health,Measles,12,2023-2024,92.7
Algoma Public Health,Measles,13,2023-2024,94.6
Algoma Public Health,Measles,14,2023-2024,95.7
Algoma Public Health,Measles,15,2023-2024,97.2
Algoma Public Health,Measles,16,2023-2024,96.9
Algoma Public Health,Mumps,5,2023-2024,34.8
Algoma Public Health,Mumps,6,2023-2024,39.7
Algoma Public Health,Mumps,8,2023-2024,90.2
Algoma Public Health,Mumps,9,2023-2024,88.2
Algoma Public Health,Mumps,10,2023-2024,89.8
Algoma Public Health,Mumps,11,2023-2024,92.4
Algoma Public Health,Mumps,12,2023-2024,92.7
Algoma Public Health,Mumps,13,2023-2024,94.3
Algoma Public Health,Mumps,14,2023-2024,95.6
Algoma Public Health,Mumps,15,2023-2024,97.1
Algoma Public Health,Mumps,16,2023-2024,96.8
Algoma Public Health,Pertussis,5,2023-2024,34.6
Algoma Public Health,Pertussis,6,2023-2024,40
Algoma Public Health,Pertussis,8,2023-2024,89.2
Algoma Public Health,Pertussis,9,2023-2024,88.8
Algoma Public Health,Pertussis,10,2023-2024,88.5
Algoma Public Health,Pertussis,11,2023-2024,91.8
Algoma Public Health,Pertussis,12,2023-2024,92.1
Algoma Public Health,Pertussis,13,2023-2024,93.9
Algoma Public Health,Pertussis,14,2023-2024,77.2
Algoma Public Health,Pertussis,15,2023-2024,76.5
Algoma Public Health,Pertussis,16,2023-2024,80.2
Algoma Public Health,Pneumo,5,2023-2024,64.1
Algoma Public Health,Pneumo,6,2023-2024,68.9
Algoma Public Health,Pneumo,8,2023-2024,89.4
Algoma Public Health,Pneumo,9,2023-2024,90.9
Algoma Public Health,Pneumo,10,2023-2024,90
Algoma Public Health,Pneumo,11,2023-2024,89.3
Algoma Public Health,Pneumo,12,2023-2024,84.9
Algoma Public Health,Polio,5,2023-2024,35.1
Algoma Public Health,Polio,6,2023-2024,39.5
Algoma Public Health,Polio,8,2023-2024,90
Algoma Public Health,Polio,9,2023-2024,89
Algoma Public Health,Polio,10,2023-2024,89.3
Algoma Public Health,Polio,11,2023-2024,92.3
Algoma Public Health,Polio,12,2023-2024,92
Algoma Public Health,Polio,13,2023-2024,94.2
Algoma Public Health,Polio,14,2023-2024,95
Algoma Public Health,Polio,15,2023-2024,96.4
Algoma Public Health,Polio,16,2023-2024,95.3
Algoma Public Health,Rota,5,2023-2024,57.9
Algoma Public Health,Rota,6,2023-2024,63.8
Algoma Public Health,Rubella,5,2023-2024,69.6
Algoma Public Health,Rubella,6,2023-2024,74.6
Algoma Public Health,Rubella,8,2023-2024,96.2
Algoma Public Health,Rubella,9,2023-2024,96.8
Algoma Public Health,Rubella,10,2023-2024,97.5
Algoma Public Health,Rubella,11,2023-2024,97.7
Algoma Public Health,Rubella,12,2023-2024,96.7
Algoma Public Health,Rubella,13,2023-2024,97.6
Algoma Public Health,Rubella,14,2023-2024,97.3
Algoma Public Health,Rubella,15,2023-2024,98.3
Algoma Public Health,Rubella,16,2023-2024,98.1
Algoma Public Health,Tetanus,5,2023-2024,34.6
Algoma Public Health,Tetanus,6,2023-2024,40
Algoma Public Health,Tetanus,8,2023-2024,89.2
Algoma Public Health,Tetanus,9,2023-2024,88.8
Algoma Public Health,Tetanus,10,2023-2024,88.4
Algoma Public Health,Tetanus,11,2023-2024,91.8
Algoma Public Health,Tetanus,12,2023-2024,92.2
Algoma Public Health,Tetanus,13,2023-2024,94
Algoma Public Health,Tetanus,14,2023-2024,77.3
Algoma Public Health,Tetanus,15,2023-2024,76.6
Algoma Public Health,Tetanus,16,2023-2024,80.3
Algoma Public Health,Varicella,5,2023-2024,34.2
Algoma Public Health,Varicella,6,2023-2024,38.2
Algoma Public Health,Varicella,8,2023-2024,87.6
Algoma Public Health,Varicella,9,2023-2024,87
Algoma Public Health,Varicella,10,2023-2024,87.6
Algoma Public Health,Varicella,11,2023-2024,90.3
Algoma Public Health,Varicella,12,2023-2024,90.2
Brant County Health Unit,HepB,12,2023-2024,48.8
Brant County Health Unit,HPV,12,2023-2024,40
Brant County Health Unit,HPV,17,2023-2024,67.9
Brant County Health Unit,MCV4,12,2023-2024,66.7
Brant County Health Unit,Diphtheria,17,2023-2024,77.3
Brant County Health Unit,HepB,17,2023-2024,77.7
Brant County Health Unit,Pertussis,17,2023-2024,77.7
Brant County Health Unit,Tetanus,17,2023-2024,77.3
Brant County Health Unit,Hib,7,2023-2024,76.2
Brant County Health Unit,Pneumo,7,2023-2024,78.2
Brant County Health Unit,Rota,7,2023-2024,73.6
Brant County Health Unit,Diphtheria,7,2023-2024,90.6
Brant County Health Unit,MCC,7,2023-2024,94.9
Brant County Health Unit,Measles,7,2023-2024,92.1
Brant County Health Unit,Mumps,7,2023-2024,91.9
Brant County Health Unit,Pertussis,7,2023-2024,90.5
Brant County Health Unit,Polio,7,2023-2024,92.4
Brant County Health Unit,Tetanus,7,2023-2024,90.5
Brant County Health Unit,Varicella,7,2023-2024,89.7
Brant County Health Unit,Polio,17,2023-2024,93.8
Brant County Health Unit,MCV4,17,2023-2024,93.4
Brant County Health Unit,Measles,17,2023-2024,95.5
Brant County Health Unit,Mumps,17,2023-2024,95.4
Brant County Health Unit,Rubella,7,2023-2024,95.6
Brant County Health Unit,Rubella,17,2023-2024,96.6
Brant County Health Unit,Diphtheria,5,2023-2024,24.3
Brant County Health Unit,Diphtheria,6,2023-2024,46.7
Brant County Health Unit,Diphtheria,8,2023-2024,91.6
