Public_health_unit,Antigen,Age,Year,Number_of_Doses,Proportion
Algoma Public Health,Measles,7,2019-2020,0 doses,2
Algoma Public Health,Measles,7,2020-2021,0 doses,2.5
Algoma Public Health,Measles,7,2021-2022,0 doses,3.3
Algoma Public Health,Measles,7,2022-2023,0 doses,4.2
Algoma Public Health,Measles,7,2023-2024,0 doses,4.5
Algoma Public Health,Measles,7,2019-2020,1 dose,17.5
Algoma Public Health,Measles,7,2020-2021,1 dose,21.6
Algoma Public Health,Measles,7,2021-2022,1 dose,28.1
Algoma Public Health,Measles,7,2022-2023,1 dose,26.8
Algoma Public Health,Measles,7,2023-2024,1 dose,8.9
Algoma Public Health,Measles,7,2019-2020,2 or more doses,80.5
Algoma Public Health,Measles,7,2020-2021,2 or more doses,75.8
Algoma Public Health,Measles,7,2021-2022,2 or more doses,68.6
Algoma Public Health,Measles,7,2022-2023,2 or more doses,68.9
Algoma Public Health,Measles,7,2023-2024,2 or more doses,86.6
Algoma Public Health,HepB,12,2019-2020,0 doses,10.4
Algoma Public Health,HepB,12,2020-2021,0 doses,17.7
Algoma Public Health,HepB,12,2021-2022,0 doses,13.9
Algoma Public Health,HepB,12,2022-2023,0 doses,13.1
Algoma Public Health,HepB,12,2023-2024,0 doses,21.1
Algoma Public Health,HepB,12,2019-2020,1 dose,21.7
Algoma Public Health,HepB,12,2020-2021,1 dose,23.3
Algoma Public Health,HepB,12,2021-2022,1 dose,18.1
Algoma Public Health,HepB,12,2022-2023,1 dose,16.5
Algoma Public Health,HepB,12,2023-2024,1 dose,14.5
Algoma Public Health,HepB,12,2019-2020,2 doses,59.9
Algoma Public Health,HepB,12,2020-2021,2 doses,52.1
Algoma Public Health,HepB,12,2021-2022,2 doses,61.7
Algoma Public Health,HepB,12,2022-2023,2 doses,64.4
Algoma Public Health,HepB,12,2023-2024,2 doses,57.3
Algoma Public Health,HepB,12,2019-2020,3 or more doses,8
Algoma Public Health,HepB,12,2020-2021,3 or more doses,6.8
Algoma Public Health,HepB,12,2021-2022,3 or more doses,6.3
Algoma Public Health,HepB,12,2022-2023,3 or more doses,6
Algoma Public Health,HepB,12,2023-2024,3 or more doses,7.1
Algoma Public Health,HPV,12,2019-2020,0 doses,17.1
Algoma Public Health,HPV,12,2020-2021,0 doses,22.5
Algoma Public Health,HPV,12,2021-2022,0 doses,18.3
Algoma Public Health,HPV,12,2022-2023,0 doses,19.5
Algoma Public Health,HPV,12,2023-2024,0 doses,27
Algoma Public Health,HPV,12,2019-2020,1 dose,21.3
Algoma Public Health,HPV,12,2020-2021,1 dose,23.3
Algoma Public Health,HPV,12,2021-2022,1 dose,19.1
Algoma Public Health,HPV,12,2022-2023,1 dose,15.6
Algoma Public Health,HPV,12,2023-2024,1 dose,13.4
Algoma Public Health,HPV,12,2019-2020,2 doses,59.6
Algoma Public Health,HPV,12,2020-2021,2 doses,53.3
Algoma Public Health,HPV,12,2021-2022,2 doses,62
Algoma Public Health,HPV,12,2022-2023,2 doses,64.7
Algoma Public Health,HPV,12,2023-2024,2 doses,59.4
Algoma Public Health,HPV,12,2019-2020,3 or more doses,2
Algoma Public Health,HPV,12,2020-2021,3 or more doses,0.8
Algoma Public Health,HPV,12,2021-2022,3 or more doses,0.6
Algoma Public Health,HPV,12,2022-2023,3 or more doses,0.3
Algoma Public Health,HPV,12,2023-2024,3 or more doses,0.3
Brant County Health Unit,Measles,7,2019-2020,0 doses,4.9
Brant County Health Unit,Measles,7,2020-2021,0 doses,9
Brant County Health Unit,Measles,7,2021-2022,0 doses,4.6
Brant County Health Unit,Measles,7,2022-2023,0 doses,5.1
Brant County Health Unit,Measles,7,2023-2024,0 doses,4.4
Brant County Health Unit,Measles,7,2019-2020,1 dose,8.6
Brant County Health Unit,Measles,7,2020-2021,1 dose,17.4
Brant County Health Unit,Measles,7,2021-2022,1 dose,16.4
Brant County Health Unit,Measles,7,2022-2023,1 dose,7.1
