pt,location,year_report,year_birth,age,n_doses,value,age_current
NL,Newfoundland and Labrador,2022,2020,2,2,0.947,5
NL,Newfoundland and Labrador,2022,2018,4,2,0.926,7
PE,Prince Edward Island,2024,2017,7,2,0.915,8
PE,Prince Edward Island,2023,2016,7,2,0.893,9
PE,Prince Edward Island,2023,2015,8,2,0.922,10
PE,Prince Edward Island,2023,2014,9,2,0.941,11
PE,Prince Edward Island,2023,2013,10,2,0.93,12
PE,Prince Edward Island,2023,2012,11,2,0.927,13
PE,Prince Edward Island,2017,2009,8,2,0.958,16
NS,Nova Scotia,2017,2015,2,1+,0.871,10
NS,Nova Scotia,2021,2019,2,1+,0.936,6
QC,Quebec,2012,2010,2,1+,0.958,15
QC,Quebec,2014,2012,2,1+,0.967,13
QC,Quebec,2016,2014,2,1+,0.963,11
QC,Quebec,2019,2017,2,1+,0.971,8
QC,Quebec,2021,2019,2,1+,0.95,6
QC,Quebec,2012,2010,2,2+,0.839,15
QC,Quebec,2014,2012,2,2+,0.886,13
QC,Quebec,2016,2014,2,2+,0.905,11
QC,Quebec,2019,2017,2,2+,0.919,8
QC,Quebec,2021,2019,2,2+,0.886,6
QC,Quebec,2021,2015,6,2+,0.88,10
QC,Quebec,2021,2014,7,2+,0.88,11
QC,Quebec,2021,2013,8,2+,0.88,12
QC,Quebec,2021,2012,9,2+,0.88,13
QC,Quebec,2021,2011,10,2+,0.88,14
QC,Quebec,2021,2010,11,2+,0.88,15
QC,Quebec,2021,2009,12,2+,0.92,16
QC,Quebec,2021,2008,13,2+,0.92,17
QC,Quebec,2021,2007,14,2+,0.92,18
QC,Quebec,2021,2006,15,2+,0.92,19
QC,Quebec,2021,2005,16,2+,0.92,20
ON,Ontario,2023,2018,5,2,0.377,7
ON,Ontario,2023,2017,6,2,0.45,8
ON,Ontario,2023,2016,7,2,0.7040000000000001,9
ON,Ontario,2023,2015,8,2,0.711,10
ON,Ontario,2023,2014,9,2,0.693,11
ON,Ontario,2023,2013,10,2,0.696,12
ON,Ontario,2023,2012,11,2,0.83,13
ON,Ontario,2023,2011,12,2,0.8909999999999999,14
ON,Ontario,2023,2010,13,2,0.905,15
ON,Ontario,2023,2009,14,2,0.915,16
