pt,location,year_report,year_birth,age,n_doses,value,source,age_current
QC,Quebec,2012,2011,1,1+,0.909,PT,15
QC,Quebec,2014,2013,1,1+,0.932,PT,13
QC,Quebec,2016,2015,1,1+,0.927,PT,11
QC,Quebec,2019,2018,1,1+,0.949,PT,8
QC,Quebec,2021,2020,1,1+,0.922,PT,6
QC,Quebec,2012,2010,2,1+,0.958,PT,16
QC,Quebec,2014,2012,2,1+,0.967,PT,14
QC,Quebec,2016,2014,2,1+,0.963,PT,12
QC,Quebec,2019,2017,2,1+,0.971,PT,9
QC,Quebec,2021,2019,2,1+,0.95,PT,7
MB,Manitoba,2023,2021,2,1+,0.799,PT,5
AB,Alberta,2020,2007,13,1+,0.963,PT,19
AB,Alberta,2021,2008,13,1+,0.9564,PT,18
AB,Alberta,2022,2009,13,1+,0.9525,PT,17
AB,Alberta,2023,2010,13,1+,0.9495,PT,16
AB,Alberta,2022,2005,17,1+,0.9783000000000002,PT,21
AB,Alberta,2023,2006,17,1+,0.9727,PT,20
AB,Alberta,2014,2012,2,1+,0.8805,PT,14
AB,Alberta,2015,2013,2,1+,0.8711000000000001,PT,13
AB,Alberta,2016,2014,2,1+,0.8729,PT,12
AB,Alberta,2017,2015,2,1+,0.8704999999999999,PT,11
AB,Alberta,2018,2016,2,1+,0.8673000000000001,PT,10
AB,Alberta,2019,2017,2,1+,0.8696,PT,9
AB,Alberta,2020,2018,2,1+,0.8665,PT,8
AB,Alberta,2021,2019,2,1+,0.8320000000000001,PT,7
AB,Alberta,2022,2020,2,1+,0.8207,PT,6
AB,Alberta,2023,2021,2,1+,0.8167,PT,5
BC,British Columbia,2013,2011,2,1+,0.858,PT,15
BC,British Columbia,2014,2012,2,1+,0.85,PT,14
BC,British Columbia,2015,2013,2,1+,0.862,PT,13
BC,British Columbia,2016,2014,2,1+,0.872,PT,12
BC,British Columbia,2017,2015,2,1+,0.873,PT,11
BC,British Columbia,2018,2016,2,1+,0.872,PT,10
BC,British Columbia,2019,2017,2,1+,0.877,PT,9
BC,British Columbia,2020,2018,2,1+,0.858,PT,8
BC,British Columbia,2021,2019,2,1+,0.834,PT,7
BC,British Columbia,2022,2020,2,1+,0.825,PT,6
BC,British Columbia,2023,2021,2,1+,0.817,PT,5
NT,Northwest Territories,2023,2021,2,1+,0.85,PT,5
NL,Newfoundland and Labrador,2013,2011,2,1+,0.951,cNICS,15
NL,Newfoundland and Labrador,2017,2015,2,1+,0.969,cNICS,11
NL,Newfoundland and Labrador,2021,2019,2,1+,0.97,cNICS,7
NL,Newfoundland and Labrador,2013,2006,7,1+,0.843,cNICS,20
PE,Prince Edward Island,2013,2011,2,1+,0.902,cNICS,15
PE,Prince Edward Island,2017,2015,2,1+,0.932,cNICS,11
PE,Prince Edward Island,2021,2019,2,1+,0.98,cNICS,7
PE,Prince Edward Island,2013,2006,7,1+,0.8420000000000001,cNICS,20
NS,Nova Scotia,2013,2011,2,1+,0.866,cNICS,15
NS,Nova Scotia,2017,2015,2,1+,0.871,cNICS,11
NS,Nova Scotia,2021,2019,2,1+,0.936,cNICS,7
NS,Nova Scotia,2013,2006,7,1+,0.7170000000000001,cNICS,20
NB,New Brunswick,2013,2011,2,1+,0.926,cNICS,15
NB,New Brunswick,2017,2015,2,1+,0.92,cNICS,11
NB,New Brunswick,2021,2019,2,1+,0.943,cNICS,7
NB,New Brunswick,2013,2006,7,1+,0.923,cNICS,20
QC,Quebec,2013,2006,7,1+,0.911,cNICS,20
MB,Manitoba,2013,2011,2,1+,0.835,cNICS,15
MB,Manitoba,2017,2015,2,1+,0.861,cNICS,11
MB,Manitoba,2021,2019,2,1+,0.871,cNICS,7
MB,Manitoba,2013,2006,7,1+,0.7659999999999999,cNICS,20
SK,Saskatchewan,2013,2011,2,1+,0.901,cNICS,15
SK,Saskatchewan,2017,2015,2,1+,0.895,cNICS,11
SK,Saskatchewan,2021,2019,2,1+,0.914,cNICS,7
SK,Saskatchewan,2013,2006,7,1+,0.789,cNICS,20
AB,Alberta,2013,2011,2,1+,0.82,cNICS,15
BC,British Columbia,2013,2006,7,1+,0.835,cNICS,20
YT,Yukon,2013,2011,2,1+,0.852,cNICS,15
YT,Yukon,2017,2015,2,1+,0.91,cNICS,11
YT,Yukon,2021,2019,2,1+,0.853,cNICS,7
YT,Yukon,2013,2006,7,1+,0.775,cNICS,20
NT,Northwest Territories,2013,2011,2,1+,0.84,cNICS,15
NT,Northwest Territories,2017,2015,2,1+,0.918,cNICS,11
NT,Northwest Territories,2021,2019,2,1+,0.908,cNICS,7
NT,Northwest Territories,2013,2006,7,1+,0.884,cNICS,20
NU,Nunavut,2013,2011,2,1+,0.7979999999999999,cNICS,15
NU,Nunavut,2017,2015,2,1+,0.887,cNICS,11
NU,Nunavut,2013,2006,7,1+,0.648,cNICS,20
NL,Newfoundland and Labrador,2023,2005,18,1+,0.897,aNICS,21
PE,Prince Edward Island,2023,2005,18,1+,0.899,aNICS,21
NS,Nova Scotia,2023,2005,18,1+,0.887,aNICS,21
NB,New Brunswick,2023,2005,18,1+,0.858,aNICS,21
QC,Quebec,2023,2005,18,1+,0.864,aNICS,21
MB,Manitoba,2023,2005,18,1+,0.874,aNICS,21
SK,Saskatchewan,2023,2005,18,1+,0.898,aNICS,21
BC,British Columbia,2023,2005,18,1+,0.867,aNICS,21
YT,Yukon,2023,2005,18,1+,0.853,aNICS,21
NT,Northwest Territories,2023,2005,18,1+,0.864,aNICS,21
NU,Nunavut,2023,2005,18,1+,0.68,aNICS,21
ON,Ontario,2019,2012,7,1+,0.964,PT,14
ON,Ontario,2020,2013,7,1+,0.9400000000000001,PT,13
ON,Ontario,2021,2014,7,1+,0.891,PT,12
ON,Ontario,2022,2015,7,1+,0.8819999999999999,PT,11
ON,Ontario,2023,2016,7,1+,0.8520000000000001,PT,10
