pt,location,year_report,year_birth,age,n_doses,value,source,age_current
NL,Newfoundland and Labrador,2022,2020,2,2+,0.947,PT,6
NL,Newfoundland and Labrador,2022,2018,4,2+,0.926,PT,8
PE,Prince Edward Island,2024,2017,7,2+,0.915,PT,9
PE,Prince Edward Island,2023,2016,7,2+,0.893,PT,10
PE,Prince Edward Island,2023,2015,8,2+,0.922,PT,11
PE,Prince Edward Island,2023,2014,9,2+,0.941,PT,12
PE,Prince Edward Island,2023,2013,10,2+,0.93,PT,13
PE,Prince Edward Island,2023,2012,11,2+,0.927,PT,14
PE,Prince Edward Island,2017,2009,8,2+,0.958,PT,17
QC,Quebec,2019,2017,2,2+,0.919,PT,9
QC,Quebec,2021,2019,2,2+,0.886,PT,7
QC,Quebec,2021,2015,6,2+,0.88,PT,11
QC,Quebec,2021,2014,7,2+,0.88,PT,12
QC,Quebec,2021,2013,8,2+,0.88,PT,13
QC,Quebec,2021,2012,9,2+,0.88,PT,14
QC,Quebec,2021,2011,10,2+,0.88,PT,15
QC,Quebec,2021,2010,11,2+,0.88,PT,16
QC,Quebec,2021,2009,12,2+,0.92,PT,17
QC,Quebec,2021,2008,13,2+,0.92,PT,18
QC,Quebec,2021,2007,14,2+,0.92,PT,19
QC,Quebec,2021,2006,15,2+,0.92,PT,20
QC,Quebec,2021,2005,16,2+,0.92,PT,21
MB,Manitoba,2023,2016,7,2+,0.654,PT,10
MB,Manitoba,2023,2010,13,2+,0.772,PT,16
MB,Manitoba,2023,2006,17,2+,0.773,PT,20
AB,Alberta,2020,2007,13,2+,0.9101,PT,19
AB,Alberta,2021,2008,13,2+,0.8981000000000001,PT,18
AB,Alberta,2022,2009,13,2+,0.8983000000000001,PT,17
AB,Alberta,2023,2010,13,2+,0.8961000000000001,PT,16
AB,Alberta,2022,2005,17,2+,0.936,PT,21
AB,Alberta,2023,2006,17,2+,0.9262,PT,20
AB,Alberta,2023,2021,2,2+,0.6931999999999999,PT,5
AB,Alberta,2018,2011,7,2+,0.8108,PT,15
AB,Alberta,2019,2012,7,2+,0.8172,PT,14
AB,Alberta,2020,2013,7,2+,0.7760000000000001,PT,13
AB,Alberta,2021,2014,7,2+,0.7473000000000001,PT,12
AB,Alberta,2022,2015,7,2+,0.7408,PT,11
AB,Alberta,2023,2016,7,2+,0.7263000000000001,PT,10
BC,British Columbia,2013,2006,7,2+,0.909,PT,20
BC,British Columbia,2014,2007,7,2+,0.903,PT,19
BC,British Columbia,2015,2008,7,2+,0.902,PT,18
BC,British Columbia,2016,2009,7,2+,0.902,PT,17
BC,British Columbia,2017,2010,7,2+,0.884,PT,16
BC,British Columbia,2018,2011,7,2+,0.821,PT,15
BC,British Columbia,2019,2012,7,2+,0.779,PT,14
BC,British Columbia,2020,2013,7,2+,0.799,PT,13
BC,British Columbia,2021,2014,7,2+,0.802,PT,12
BC,British Columbia,2022,2015,7,2+,0.773,PT,11
BC,British Columbia,2023,2016,7,2+,0.724,PT,10
NL,Newfoundland and Labrador,2013,2006,7,2+,0.843,cNICS,20
PE,Prince Edward Island,2013,2006,7,2+,0.8420000000000001,cNICS,20
NS,Nova Scotia,2013,2006,7,2+,0.7170000000000001,cNICS,20
NB,New Brunswick,2013,2006,7,2+,0.923,cNICS,20
ON,Ontario,2013,2006,7,2+,0.887,cNICS,20
SK,Saskatchewan,2013,2006,7,2+,0.789,cNICS,20
YT,Yukon,2013,2006,7,2+,0.775,cNICS,20
NT,Northwest Territories,2013,2006,7,2+,0.884,cNICS,20
NU,Nunavut,2013,2006,7,2+,0.648,cNICS,20
