pt,location,year_report,year_birth,age,n_doses,value,source
NL,Newfoundland and Labrador,2022,NA,2,2,0.947,PT
NL,Newfoundland and Labrador,2022,NA,4,2,0.926,PT
PE,Prince Edward Island,2024,2017,NA,2,0.915,PT
PE,Prince Edward Island,2023,2016,NA,2,0.893,PT
PE,Prince Edward Island,2023,2015,NA,2,0.922,PT
PE,Prince Edward Island,2023,2014,NA,2,0.941,PT
PE,Prince Edward Island,2023,2013,NA,2,0.93,PT
PE,Prince Edward Island,2023,2012,NA,2,0.927,PT
PE,Prince Edward Island,2017,2009,NA,2,0.958,PT
QC,Quebec,2012,NA,1.25,1+,0.909,PT
QC,Quebec,2014,NA,1.25,1+,0.932,PT
QC,Quebec,2016,NA,1.25,1+,0.927,PT
QC,Quebec,2019,NA,1.25,1+,0.949,PT
QC,Quebec,2021,NA,1.25,1+,0.922,PT
QC,Quebec,2012,NA,2,1+,0.958,PT
QC,Quebec,2014,NA,2,1+,0.967,PT
QC,Quebec,2016,NA,2,1+,0.963,PT
QC,Quebec,2019,NA,2,1+,0.971,PT
QC,Quebec,2021,NA,2,1+,0.95,PT
QC,Quebec,2012,NA,2,2+,0.839,PT
QC,Quebec,2014,NA,2,2+,0.886,PT
QC,Quebec,2016,NA,2,2+,0.905,PT
QC,Quebec,2019,NA,2,2+,0.919,PT
QC,Quebec,2021,NA,2,2+,0.886,PT
QC,Quebec,2021,NA,6-11,2+,0.88,PT
QC,Quebec,2021,NA,12-16,2+,0.92,PT
ON,Algoma Public Health,2023,NA,5,2,0.35,PT
ON,Algoma Public Health,2023,NA,6,2,0.4,PT
ON,Algoma Public Health,2023,NA,7,2,0.866,PT
ON,Algoma Public Health,2023,NA,8,2,0.903,PT
ON,Algoma Public Health,2023,NA,9,2,0.885,PT
ON,Algoma Public Health,2023,NA,10,2,0.898,PT
ON,Algoma Public Health,2023,NA,11,2,0.925,PT
ON,Algoma Public Health,2023,NA,12,2,0.927,PT
ON,Algoma Public Health,2023,NA,13,2,0.946,PT
ON,Algoma Public Health,2023,NA,14,2,0.9570000000000001,PT
ON,Algoma Public Health,2023,NA,15,2,0.972,PT
ON,Algoma Public Health,2023,NA,16,2,0.9690000000000001,PT
ON,Algoma Public Health,2023,NA,17,2,0.965,PT
ON,Brant County Health Unit,2023,NA,5,2,0.252,PT
ON,Brant County Health Unit,2023,NA,6,2,0.48200000000000004,PT
ON,Brant County Health Unit,2023,NA,7,2,0.9209999999999999,PT
ON,Brant County Health Unit,2023,NA,8,2,0.922,PT
