province,log_GDP,children_not_in_low_income_families,vaccine_hesitancy
Alberta,12.775063775847967,93.7,83.7
Atlantic region,NA,NA,83
British Columbia,12.654395434741957,92.6,79.9
Manitoba,11.17425601624546,91.2,80.9
Newfoundland and Labrador,10.297055502618964,92.3,NA
Northern region,NA,NA,76.3
Northwest Territories,8.33146584148745,NA,NA
Nova Scotia,10.728640587678933,91.7,NA
Nunavut,8.322952887708754,NA,NA
Ontario,13.683828539906205,93.6,82.7
Prince Edward Island,8.936521756183556,93,NA
Quebec,13.001022068596091,96.4,73.1
