"REF_DATE","GEO","DGUID","Inequality measures (5)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Gini index on adjusted household market income","2020","","0","units","0","","2.2.1","0.495","","","","3"
"2021","Newfoundland and Labrador","2021A000210","Gini index on adjusted household market income","2015","","0","units","0","","2.2.2","0.478","","","","3"
"2021","Newfoundland and Labrador","2021A000210","Gini index on adjusted household total income","2020","","0","units","0","","2.3.1","0.338","","","","3"
"2021","Newfoundland and Labrador","2021A000210","Gini index on adjusted household total income","2015","","0","units","0","","2.3.2","0.367","","","","3"
"2021","Newfoundland and Labrador","2021A000210","Gini index on adjusted household after-tax income","2020","","0","units","0","","2.4.1","0.290","","","","3"
"2021","Newfoundland and Labrador","2021A000210","Gini index on adjusted household after-tax income","2015","","0","units","0","","2.4.2","0.323","","","","3"
"2021","Prince Edward Island","2021A000211","Gini index on adjusted household market income","2020","","0","units","0","","386.2.1","0.435","","","","3"
"2021","Prince Edward Island","2021A000211","Gini index on adjusted household market income","2015","","0","units","0","","386.2.2","0.428","","","","3"
"2021","Prince Edward Island","2021A000211","Gini index on adjusted household total income","2020","","0","units","0","","386.3.1","0.309","","","","3"
"2021","Prince Edward Island","2021A000211","Gini index on adjusted household total income","2015","","0","units","0","","386.3.2","0.330","","","","3"
"2021","Prince Edward Island","2021A000211","Gini index on adjusted household after-tax income","2020","","0","units","0","","386.4.1","0.271","","","","3"
"2021","Prince Edward Island","2021A000211","Gini index on adjusted household after-tax income","2015","","0","units","0","","386.4.2","0.294","","","","3"
"2021","Nova Scotia","2021A000212","Gini index on adjusted household market income","2020","","0","units","0","","488.2.1","0.456","","","","3"
"2021","Nova Scotia","2021A000212","Gini index on adjusted household market income","2015","","0","units","0","","488.2.2","0.452","","","","3"
"2021","Nova Scotia","2021A000212","Gini index on adjusted household total income","2020","","0","units","0","","488.3.1","0.327","","","","3"
"2021","Nova Scotia","2021A000212","Gini index on adjusted household total income","2015","","0","units","0","","488.3.2","0.358","","","","3"
"2021","Nova Scotia","2021A000212","Gini index on adjusted household after-tax income","2020","","0","units","0","","488.4.1","0.282","","","","3"
