"Table 5: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UK,UK,United Kingdom,"998,501","1,043,248","1,100,752","1,146,135","1,191,439","1,258,334","1,322,637","1,398,749","1,472,038","1,544,637","1,593,600","1,548,802","1,608,553","1,662,590","1,713,715","1,781,361","1,862,514","1,916,451","1,991,645","2,082,482","2,152,304","2,233,921","2,103,486","2,285,400","2,526,428","2,720,029"
Other,TLB,England,"849,011","888,261","932,140","970,786","1,012,265","1,068,536","1,121,117","1,183,648","1,243,792","1,308,612","1,347,502","1,314,624","1,365,188","1,408,807","1,455,479","1,515,086","1,590,818","1,646,708","1,714,122","1,789,055","1,846,515","1,917,589","1,811,054","1,963,267","2,157,344","2,329,630"
ITL1,TLC,North East,"32,636","33,335","34,399","35,915","38,212","40,333","43,525","45,490","47,789","49,023","50,154","49,430","50,666","52,159","53,504","54,453","56,090","58,007","59,071","60,848","62,146","64,737","60,097","65,356","71,092","77,498"
ITL2,TLC3,Tees Valley,"8,578","8,909","9,247","9,422","9,887","10,576","11,237","11,590","12,137","12,513","12,904","12,805","13,021","13,324","13,546","13,817","14,396","15,125","15,281","15,316","15,678","16,089","15,360","16,463","17,912","18,875"
ITL3,TLC31,Hartlepool and Stockton-on-Tees,"3,739","3,921","4,033","4,093","4,314","4,606","4,922","5,092","5,430","5,722","5,811","5,892","5,951","6,043","6,162","6,389","6,537","6,917","7,136","7,111","7,192","7,532","7,387","7,748","8,380","8,665"
ITL3,TLC32,South Teesside,"3,163","3,266","3,359","3,365","3,482","3,749","3,945","4,134","4,298","4,407","4,586","4,550","4,617","4,745","4,821","4,833","4,997","5,183","5,257","5,314","5,616","5,707","5,369","5,865","6,460","6,846"
ITL3,TLC33,Darlington,"1,676","1,723","1,856","1,964","2,090","2,222","2,370","2,364","2,409","2,385","2,508","2,363","2,453","2,535","2,563","2,595","2,862","3,024","2,888","2,891","2,869","2,851","2,603","2,850","3,072","3,363"
ITL2,TLC4,"Northumberland, Durham and Tyne & Wear","24,058","24,426","25,151","26,493","28,326","29,757","32,288","33,900","35,652","36,510","37,249","36,625","37,645","38,836","39,958","40,636","41,693","42,882","43,790","45,532","46,468","48,648","44,737","48,893","53,180","58,624"
ITL3,TLC41,Durham,"5,380","5,667","5,838","6,018","6,324","6,739","7,252","7,561","8,045","8,389","8,671","8,680","8,819","8,817","9,042","9,149","9,185","9,322","9,412","9,775","10,269","10,739","10,613","11,383","12,211","13,741"
ITL3,TLC42,Northumberland,"3,467","3,499","3,566","3,708","3,981","4,129","4,417","4,587","4,814","4,942","5,070","4,922","5,102","5,289","5,345","5,382","5,560","5,655","5,839","5,983","6,097","6,446","5,932","6,441","7,106","7,633"
ITL3,TLC43,Tyneside,"11,282","11,376","11,708","12,497","13,442","14,111","15,387","16,264","17,030","17,358","17,526","17,007","17,714","18,581","19,259","19,243","19,844","20,620","21,153","22,052","22,381","23,341","21,095","23,691","25,749","28,301"
ITL3,TLC44,Sunderland,"3,929","3,884","4,040","4,270","4,579","4,778","5,232","5,488","5,763","5,821","5,982","6,016","6,011","6,150","6,312","6,861","7,104","7,285","7,386","7,722","7,721","8,121","7,097","7,378","8,115","8,949"
ITL1,TLD,North West,"99,271","104,292","107,131","113,236","118,534","125,144","132,246","138,665","146,037","151,639","154,707","152,663","157,631","160,618","165,269","171,131","178,027","184,622","191,471","200,376","205,401","214,716","207,322","224,499","249,369","270,833"
ITL2,TLD1,Cumbria,"7,410","7,686","7,667","7,730","8,187","8,753","9,027","9,483","10,162","10,467","11,149","10,817","11,155","11,173","11,589","11,986","12,578","13,011","13,025","13,289","13,403","14,175","13,006","13,636","15,450","16,740"
ITL3,TLD13,Cumberland,"4,120","4,350","4,197","4,278","4,469","4,741","4,818","5,188","5,543","5,661","6,079","5,918","6,109","6,059","6,197","6,551","6,907","7,040","6,962","6,918","6,919","7,176","6,438","6,617","7,624","8,213"
ITL3,TLD14,Westmorland and Furness,"3,290","3,336","3,470","3,452","3,718","4,012","4,209","4,295","4,619","4,806","5,070","4,899","5,046","5,114","5,391","5,434","5,672","5,971","6,063","6,371","6,484","6,999","6,569","7,019","7,826","8,527"
ITL2,TLD3,Greater Manchester,"37,421","39,350","40,472","42,707","44,712","46,749","49,432","52,386","55,016","57,741","58,551","58,403","59,886","60,798","63,504","66,128","68,071","70,888","73,338","78,171","81,140","84,517","83,427","89,369","100,956","110,152"
