"Proportion of children in low income families by region, United Kingdom, FYE 2023",,,
location,value,population,count
North East,27.8,"2,711,380",753763.64
North West,26.9,"7,600,126",2044433.894
Yorkshire and The Humber,29.4,"5,594,125",1644672.75
East Midlands,23.3,"4,991,265",1162964.745
West Midlands,28.6,"6,085,687",1740506.482
East of England,17.2,"6,468,665",1112610.38
London,16.7,"8,945,309",1493866.603
South East,14,"9,482,507",1327550.98
South West,17.3,"5,811,259",1005347.807
Wales,23.2,,
Scotland,17.8,,
Northern Ireland,21.3,,
