nm_en,nm_fr,ab_en,ab_fr,al_code,nu_code,iso_code
Newfoundland and Labrador,Terre-Neuve-et-Labrador,N.L.,T.-N.-L.,NL,10,CA-NL
Prince Edward Island,Île-du-Prince-Édouard,P.E.I.,Î.-P.-É.,PE,11,CA-PE
Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,NS,12,CA-NS
New Brunswick,Nouveau-Brunswick,N.B.,N.-B.,NB,13,CA-NB
Quebec,Québec,Que.,Qc,QC,24,CA-QC
Ontario,Ontario,Ont.,Ont.,ON,35,CA-ON
Manitoba,Manitoba,Man.,Man.,MB,46,CA-MB
Saskatchewan,Saskatchewan,Sask.,Sask.,SK,47,CA-SK
Alberta,Alberta,Alta.,Alb.,AB,48,CA-AB
British Columbia,Colombie-Britannique,B.C.,C.-B.,BC,59,CA-BC
Yukon,Yukon,Y.T.,Yn,YT,60,CA-YT
Northwest Territories,Territoires du Nord-Ouest,N.W.T.,T.N.-O.,NT,61,CA-NT
Nunavut,Nunavut,Nvt.,Nt,NU,62,CA-NU
