model_no,k_name,l1,l2,b,meas_error,lppd_exact
1,ksqexp,1,0.02,0.5,0.5,-71.04471896322256
2,ksqexp,1,0.02,0.5,0.1,-727.6222724892556
3,ksqexp,1,0.02,0.5,0.05,-2950.5130447732104
4,ksqexp,1,0.02,0.5,0.01,-67476.82915704012
5,ksqexp,1,0.02,0.5,0,-3044091184589.954
6,ksqexp,1,0.02,1,0.5,-69.51016009728073
7,ksqexp,1,0.02,1,0.1,-702.1935555626369
8,ksqexp,1,0.02,1,0.05,-2901.069963181657
9,ksqexp,1,0.02,1,0.01,-66057.31784931761
10,ksqexp,1,0.02,1,0,-2998288114889.2773
11,ksqexp,1,0.02,1.5,0.5,-69.32763819345303
12,ksqexp,1,0.02,1.5,0.1,-691.9229454854369
13,ksqexp,1,0.02,1.5,0.05,-2870.9214977739152
14,ksqexp,1,0.02,1.5,0.01,-65742.03362759092
15,ksqexp,1,0.02,1.5,0,-2996202583764.047
16,ksqexp,1,0.1,0.5,0.5,-67.8443109837845
17,ksqexp,1,0.1,0.5,0.1,-466.1100046772894
18,ksqexp,1,0.1,0.5,0.05,-1847.432149049438
19,ksqexp,1,0.1,0.5,0.01,-39680.28164263787
20,ksqexp,1,0.1,0.5,0,-3221244258416.4
21,ksqexp,1,0.1,1,0.5,-69.70920898224466
22,ksqexp,1,0.1,1,0.1,-450.83120019762856
23,ksqexp,1,0.1,1,0.05,-1789.7767792507475
24,ksqexp,1,0.1,1,0.01,-37263.82971567346
25,ksqexp,1,0.1,1,0,-3249857764170.7485
26,ksqexp,1,0.1,1.5,0.5,-71.5562920148227
27,ksqexp,1,0.1,1.5,0.1,-444.38099124430227
28,ksqexp,1,0.1,1.5,0.05,-1759.1274308613415
29,ksqexp,1,0.1,1.5,0.01,-35993.54244636674
30,ksqexp,1,0.1,1.5,0,-3179804325660.9604
31,ksqexp,1,0.2,0.5,0.5,-70.82193938684615
32,ksqexp,1,0.2,0.5,0.1,-416.0188069023021
33,ksqexp,1,0.2,0.5,0.05,-1412.5904052821654
34,ksqexp,1,0.2,0.5,0.01,-18224.134464820072
35,ksqexp,1,0.2,0.5,0,-82307595314.81566
36,ksqexp,1,0.2,1,0.5,-74.92037499339776
37,ksqexp,1,0.2,1,0.1,-382.58823443324025
38,ksqexp,1,0.2,1,0.05,-1224.2621356114405
39,ksqexp,1,0.2,1,0.01,-17572.089793719188
40,ksqexp,1,0.2,1,0,-41760015129.86027
41,ksqexp,1,0.2,1.5,0.5,-78.24768573104812
42,ksqexp,1,0.2,1.5,0.1,-363.0238685654572
43,ksqexp,1,0.2,1.5,0.05,-1111.0769554381118
