model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.5,0.5,NA,-2631108993.925002,-2631118566.055444
2,ksqexp,1,0.5,1,NA,-1316307276.273365,-1316312064.2541544
3,ksqexp,1,0.5,1.5,NA,-877705556.6153328,-877708749.8680909
4,ksqexp,1,1,0.5,NA,-972251.3564512947,-973022.068054751
5,ksqexp,1,1,1,NA,-486111.7789792332,-486499.26631164947
6,ksqexp,1,1,1.5,NA,-324068.30131957453,-324328.047222257
7,ksqexp,1,1.5,0.5,NA,-61072.31386861682,-61251.49181041347
8,ksqexp,1,1.5,1,NA,-30531.690139672966,-30623.514845954847
9,ksqexp,1,1.5,1.5,NA,-20354.6211840298,-20417.328145082094
10,ksqexp,1,2,0.5,NA,-18059.934536277262,-18125.681195908874
11,ksqexp,1,2,1,NA,-9030.106738381066,-9065.296774653958
12,ksqexp,1,2,1.5,NA,-6023.303575060534,-6048.308070212197
13,ksqexp,1,2.5,0.5,NA,-8096.60723902345,-8129.31742790971
14,ksqexp,1,2.5,1,NA,-4051.450115029563,-4070.2273832703067
15,ksqexp,1,2.5,1.5,NA,-2706.2038846014016,-2720.336845960448
16,ksqexp,1,3,0.5,NA,-4523.664665756282,-4544.718100948022
17,ksqexp,1,3,1,NA,-2267.1130852078177,-2280.174397845377
18,ksqexp,1,3,1.5,NA,-1518.068710267154,-1528.465982053437
19,ksqexp,1,3.5,0.5,NA,-2962.0115421186047,-2978.1386492850024
20,ksqexp,1,3.5,1,NA,-1487.8734228086646,-1498.580064714701
21,ksqexp,1,3.5,1.5,NA,-999.6335370034715,-1008.5333571561113
22,ksqexp,1,4,0.5,NA,-2156.3209057103672,-2170.0566241034644
23,ksqexp,1,4,1,NA,-1086.2602516438874,-1095.8715799626625
24,ksqexp,1,4,1.5,NA,-732.7128549862907,-740.9493866136528
25,ksqexp,1.25,0.5,0.5,NA,-58617626999.53396,-58617674612.67776
26,ksqexp,1.25,0.5,1,NA,-29643463667.371445,-29643487479.02656
27,ksqexp,1.25,0.5,1.5,NA,-19837746984.194927,-19837762861.494617
28,ksqexp,1.25,1,0.5,NA,-8410353.168397151,-8413136.017386632
29,ksqexp,1.25,1,1,NA,-4205161.513328143,-4206557.257618141
30,ksqexp,1.25,1,1.5,NA,-2803428.8861503,-2804362.2620222713
31,ksqexp,1.25,1.5,0.5,NA,-232559.1433484876,-233116.09579498047
32,ksqexp,1.25,1.5,1,NA,-116265.41319049374,-116548.35877050424
33,ksqexp,1.25,1.5,1.5,NA,-77503.96953806683,-77695.57949415882
34,ksqexp,1.25,2,0.5,NA,-44931.73709968189,-45164.13351644598
35,ksqexp,1.25,2,1,NA,-22457.759385783418,-22578.517147257153
36,ksqexp,1.25,2,1.5,NA,-14969.572670703332,-15053.117547037225
37,ksqexp,1.25,2.5,0.5,NA,-18031.83924852115,-18138.405738862617
38,ksqexp,1.25,2.5,1,NA,-9011.36141145505,-9069.353501244712
39,ksqexp,1.25,2.5,1.5,NA,-6007.674901738983,-6049.475524678784
40,ksqexp,1.25,3,0.5,NA,-9290.855863543366,-9349.136012703477
41,ksqexp,1.25,3,1,NA,-4643.343907785364,-4677.371128997345
42,ksqexp,1.25,3,1.5,NA,-3097.3127299013495,-3123.255641799073
43,ksqexp,1.25,3.5,0.5,NA,-5563.314325926349,-5601.806150996194
44,ksqexp,1.25,3.5,1,NA,-2781.403096950014,-2805.7110914152095
45,ksqexp,1.25,3.5,1.5,NA,-1857.2388373426684,-1876.818888274021
46,ksqexp,1.25,4,0.5,NA,-3741.091132322561,-3770.448174132608
47,ksqexp,1.25,4,1,NA,-1871.6960333125328,-1891.5970552056704
48,ksqexp,1.25,4,1.5,NA,-1251.7038199947463,-1268.452835249486
49,ksqexp,1.5,0.5,0.5,NA,-658844616565.2378,-658844766112.5857
50,ksqexp,1.5,0.5,1,NA,-374569704694.9084,-374569779512.373
51,ksqexp,1.5,0.5,1.5,NA,-261557460525.27853,-261557510416.63257
52,ksqexp,1.5,1,0.5,NA,-66045551.82352647,-66040714.83771442
53,ksqexp,1.5,1,1,NA,-33023332.07023612,-33020920.2201418
54,ksqexp,1.5,1,1.5,NA,-22015663.642159376,-22014060.16734331
55,ksqexp,1.5,1.5,0.5,NA,-979941.103259691,-980008.2505074649
56,ksqexp,1.5,1.5,1,NA,-489945.97674530605,-489986.28349291265
57,ksqexp,1.5,1.5,1.5,NA,-326617.3160963888,-326648.6759812786
58,ksqexp,1.5,2,0.5,NA,-117783.89338060886,-118226.93906786271
59,ksqexp,1.5,2,1,NA,-58875.077656558045,-59103.491394053184
60,ksqexp,1.5,2,1.5,NA,-39241.943441564064,-39398.81319506905
61,ksqexp,1.5,2.5,0.5,NA,-37606.41585650123,-37820.660386956566
62,ksqexp,1.5,2.5,1,NA,-18790.70070942092,-18904.934597901818
63,ksqexp,1.5,2.5,1.5,NA,-12521.934936689644,-12602.831944567324
64,ksqexp,1.5,3,0.5,NA,-18062.17132248303,-18172.39874351664
65,ksqexp,1.5,3,1,NA,-9021.425002116643,-9083.89218515261
66,ksqexp,1.5,3,1.5,NA,-6010.982331244293,-6057.529434987905
67,ksqexp,1.5,3.5,0.5,NA,-10261.283160966628,-10327.747755932462
68,ksqexp,1.5,3.5,1,NA,-5123.063003976405,-5163.887687233779
69,ksqexp,1.5,3.5,1.5,NA,-3413.462422544074,-3445.7404685855104
70,ksqexp,1.5,4,0.5,NA,-6503.582646922193,-6549.952882400907
71,ksqexp,1.5,4,1,NA,-3245.8063338890497,-3276.8038430908177
72,ksqexp,1.5,4,1.5,NA,-2163.0203776317358,-2188.893644752009
73,ksqexp,1.75,0.5,0.5,NA,-2043062240203.7893,-2043062389570.4048
74,ksqexp,1.75,0.5,1,NA,-1697725622596.398,-1697725697646.876
75,ksqexp,1.75,0.5,1.5,NA,-1434338717333.8127,-1434338767486.786
76,ksqexp,1.75,1,0.5,NA,-449671743.02981544,-449584500.72107625
77,ksqexp,1.75,1,1,NA,-224859971.67386,-224816358.9746041
78,ksqexp,1.75,1,1.5,NA,-149911984.4850841,-149882914.95897487
79,ksqexp,1.75,1.5,0.5,NA,-4162214.118174082,-4159172.3366175685
80,ksqexp,1.75,1.5,1,NA,-2081074.80723388,-2079562.5421876486
81,ksqexp,1.75,1.5,1.5,NA,-1387363.483326134,-1386361.0567323926
82,ksqexp,1.75,2,0.5,NA,-336041.25338726444,-336513.857822568
83,ksqexp,1.75,2,1,NA,-167994.8245752494,-168240.12595101606
84,ksqexp,1.75,2,1.5,NA,-111982.47543109696,-112152.0091108592
85,ksqexp,1.75,2.5,0.5,NA,-80038.24006742993,-80260.979108785
86,ksqexp,1.75,2.5,1,NA,-39998.69238004967,-40119.41374220753
87,ksqexp,1.75,2.5,1.5,NA,-26655.3151082252,-26742.0305791582
88,ksqexp,1.75,3,0.5,NA,-33591.95833769101,-33691.12834125844
89,ksqexp,1.75,3,1,NA,-16778.902643009817,-16838.16165655667
90,ksqexp,1.75,3,1.5,NA,-11177.690063177724,-11223.645414259865
91,ksqexp,1.75,3.5,0.5,NA,-18184.254000859102,-18236.35317356292
92,ksqexp,1.75,3.5,1,NA,-9077.40796364976,-9113.43211117512
93,ksqexp,1.75,3.5,1.5,NA,-6044.932053365582,-6075.597859539577
94,ksqexp,1.75,4,0.5,NA,-11112.344252280025,-11143.23542163059
95,ksqexp,1.75,4,1,NA,-5543.24430308577,-5568.941643754346
96,ksqexp,1.75,4,1.5,NA,-3690.017121306825,-3713.9831859315427
97,ksqexp,2,0.5,0.5,NA,-2256399099238.2554,-2256395165627.0894
98,ksqexp,2,0.5,1,NA,-2315348413653.7324,-2315346446332.8013
99,ksqexp,2,0.5,1.5,NA,-2316250626295.527,-2316249314531.9673
100,ksqexp,2,1,0.5,NA,-2632557371.488742,-2632183292.681589
101,ksqexp,2,1,1,NA,-1317031585.249019,-1316844556.2405074
102,ksqexp,2,1,1.5,NA,-878188341.3156798,-878063661.9750419
103,ksqexp,2,1.5,0.5,NA,-17096721.388488837,-17076212.014736608
104,ksqexp,2,1.5,1,NA,-8548359.32775335,-8538115.01926402
105,ksqexp,2,1.5,1.5,NA,-5698888.720585518,-5692066.097441478
106,ksqexp,2,2,0.5,NA,-994742.9230453628,-993628.7734129634
107,ksqexp,2,2,1,NA,-497336.8328526299,-496790.6289993514
108,ksqexp,2,2,1.5,NA,-331537.8507414071,-331180.9621537418
109,ksqexp,2,2.5,0.5,NA,-180632.72396341458,-180590.71628909677
110,ksqexp,2,2.5,1,NA,-90288.08753761015,-90278.40376759268
111,ksqexp,2,2.5,1.5,NA,-60176.34432935162,-60177.43522586177
112,ksqexp,2,3,0.5,NA,-62746.07512740479,-62662.842399598725
113,ksqexp,2,3,1,NA,-31348.783161090618,-31318.910623546817
114,ksqexp,2,3,1.5,NA,-20886.158109378983,-20874.07231359755
115,ksqexp,2,3.5,0.5,NA,-31189.236374491276,-31094.698779814127
116,ksqexp,2,3.5,1,NA,-15573.06248243078,-15537.920108074532
117,ksqexp,2,3.5,1.5,NA,-10370.810523863804,-10355.466560912544
118,ksqexp,2,4,0.5,NA,-18428.44654977379,-18335.229129124644
119,ksqexp,2,4,1,NA,-9194.664191523994,-9160.523869577086
120,ksqexp,2,4,1.5,NA,-6119.876171802366,-6105.428218284462
121,ksqexp,2.25,0.5,0.5,NA,-2217247886355.7847,-2217198652641.129
122,ksqexp,2.25,0.5,1,NA,-2210653459349.7754,-2210628837863.3223
123,ksqexp,2.25,0.5,1.5,NA,-2240148276516.8584,-2240131861715.8154
124,ksqexp,2.25,1,0.5,NA,-13331446999.203283,-13330451455.986362
125,ksqexp,2.25,1,1,NA,-6683772706.602388,-6683274962.254115
126,ksqexp,2.25,1,1.5,NA,-4459877255.498655,-4459545436.980103
127,ksqexp,2.25,1.5,0.5,NA,-66518803.11159664,-66413626.32694012
128,ksqexp,2.25,1.5,1,NA,-33259942.0700666,-33207365.61807628
129,ksqexp,2.25,1.5,1.5,NA,-22173393.277684152,-22138350.264254063
130,ksqexp,2.25,2,0.5,NA,-2945515.1582581694,-2940546.4167870427
131,ksqexp,2.25,2,1,NA,-1472715.5705082878,-1470243.5976104338
132,ksqexp,2.25,2,1.5,NA,-981784.8183761194,-980145.10257223
133,ksqexp,2.25,2.5,0.5,NA,-422190.8327195864,-422719.40122304874
134,ksqexp,2.25,2.5,1,NA,-211059.49253068728,-211336.72747636412
135,ksqexp,2.25,2.5,1.5,NA,-140685.49977568747,-140878.95714501795
136,ksqexp,2.25,3,0.5,NA,-121093.30204975957,-120933.69147012291
137,ksqexp,2.25,3,1,NA,-60515.42559422997,-60449.15005632029
138,ksqexp,2.25,3,1.5,NA,-40325.93766362449,-40290.773898827945
139,ksqexp,2.25,3.5,0.5,NA,-53184.99820995639,-52813.71160615172
140,ksqexp,2.25,3.5,1,NA,-26564.382181629804,-26392.77867434048
141,ksqexp,2.25,3.5,1.5,NA,-17693.982560359294,-17588.940121757347
142,ksqexp,2.25,4,0.5,NA,-29755.620554007244,-29356.111524669985
143,ksqexp,2.25,4,1,NA,-14851.923896935636,-14666.638462414376
144,ksqexp,2.25,4,1.5,NA,-9887.16434938228,-9773.286797367864
145,ksqexp,2.5,0.5,0.5,NA,-2397049153179.8877,-2396822432204.0723
146,ksqexp,2.5,0.5,1,NA,-2298639537742.3535,-2298526148785.1567
147,ksqexp,2.5,0.5,1.5,NA,-2250718905904.051,-2250643300849.5205
148,ksqexp,2.5,1,0.5,NA,-58631619958.86832,-58628839020.679794
149,ksqexp,2.5,1,1,NA,-29650445207.972675,-29649055106.585052
150,ksqexp,2.5,1,1.5,NA,-19842439037.824787,-19841512389.66742
151,ksqexp,2.5,1.5,0.5,NA,-242701057.7573794,-242288476.67742813
152,ksqexp,2.5,1.5,1,NA,-121357699.96982472,-121151422.26398017
153,ksqexp,2.5,1.5,1.5,NA,-80906702.88961695,-80769193.09297471
154,ksqexp,2.5,2,0.5,NA,-8569177.671230363,-8564310.317890245
155,ksqexp,2.5,2,1,NA,-4284548.728781609,-4282128.631472951
156,ksqexp,2.5,2,1.5,NA,-2856336.983879829,-2854732.646053797
157,ksqexp,2.5,2.5,0.5,NA,-998207.7687646517,-1004611.7923753631
158,ksqexp,2.5,2.5,1,NA,-499060.6189833358,-502276.95707690023
159,ksqexp,2.5,2.5,1.5,NA,-332681.2808435217,-334835.05862223625
160,ksqexp,2.5,3,0.5,NA,-240713.1553867991,-241657.84604321868
161,ksqexp,2.5,3,1,NA,-120318.4746257646,-120805.93775079635
162,ksqexp,2.5,3,1.5,NA,-80190.04661543971,-80525.1010992937
163,ksqexp,2.5,3.5,0.5,NA,-92443.41965030812,-91772.36968004084
164,ksqexp,2.5,3.5,1,NA,-46187.15426299506,-45867.42125768555
165,ksqexp,2.5,3.5,1.5,NA,-30771.537252197697,-30568.910122021192
166,ksqexp,2.5,4,0.5,NA,-47715.60658860681,-46705.13006978155
167,ksqexp,2.5,4,1,NA,-23825.76932716351,-23336.857837998643
