model_no,k_name,l1,l2,b,meas_error,lppd_exact
1,ksqexp,1,1.5,0.5,0.1,-622.9453894879077
2,ksqexp,1,1.5,0.5,0.05,-2487.5434495668305
3,ksqexp,1,1.5,0.5,0.01,-53989.722475001916
4,ksqexp,1,1.5,1,0.1,-622.4572066961509
5,ksqexp,1,1.5,1,0.05,-2466.185819605001
6,ksqexp,1,1.5,1,0.01,-49299.08634250072
7,ksqexp,1,1.5,1.5,0.1,-623.4835766105315
8,ksqexp,1,1.5,1.5,0.05,-2444.3850855981186
9,ksqexp,1,1.5,1.5,0.01,-45419.575514846394
10,ksqexp,1,2,0.5,0.1,-608.8455786139964
11,ksqexp,1,2,0.5,0.05,-2348.6785812977073
12,ksqexp,1,2,0.5,0.01,-41583.845352349956
13,ksqexp,1,2,1,0.1,-604.9303918604883
14,ksqexp,1,2,1,0.05,-2265.070607049663
15,ksqexp,1,2,1,0.01,-33131.358487636535
16,ksqexp,1,2,1.5,0.1,-600.6676804535126
17,ksqexp,1,2,1.5,0.05,-2206.040704220266
18,ksqexp,1,2,1.5,0.01,-27480.75039667713
19,ksqexp,1,3,0.5,0.1,-575.2375301578022
20,ksqexp,1,3,0.5,0.05,-2097.528078320382
21,ksqexp,1,3,0.5,0.01,-22789.82479106632
22,ksqexp,1,3,1,0.1,-560.2238510550575
23,ksqexp,1,3,1,0.05,-1970.472898677707
24,ksqexp,1,3,1,0.01,-14459.606573302519
25,ksqexp,1,3,1.5,0.1,-550.3461230057239
26,ksqexp,1,3,1.5,0.05,-1872.6206221444806
27,ksqexp,1,3,1.5,0.01,-10592.219710740399
28,ksqexp,1,3.5,0.5,0.1,-561.7163694040258
29,ksqexp,1,3.5,0.5,0.05,-2020.4512802468366
30,ksqexp,1,3.5,0.5,0.01,-17493.971487109586
31,ksqexp,1,3.5,1,0.1,-545.8695425460294
32,ksqexp,1,3.5,1,0.05,-1865.7710419543737
33,ksqexp,1,3.5,1,0.01,-10453.318820785349
34,ksqexp,1,3.5,1.5,0.1,-535.1565272921005
35,ksqexp,1,3.5,1.5,0.05,-1741.7266823885295
36,ksqexp,1,3.5,1.5,0.01,-7458.39916049493
37,ksqexp,1,4,0.5,0.1,-551.539672571557
38,ksqexp,1,4,0.5,0.05,-1956.874357525605
39,ksqexp,1,4,0.5,0.01,-14016.507403759999
40,ksqexp,1,4,1,0.1,-535.2276909830019
41,ksqexp,1,4,1,0.05,-1772.4800119114711
42,ksqexp,1,4,1,0.01,-8064.354563570739
43,ksqexp,1,4,1.5,0.1,-523.1542639440913
44,ksqexp,1,4,1.5,0.05,-1625.2070414030907
45,ksqexp,1,4,1.5,0.01,-5666.224686945849
46,ksqexp,1,4.5,0.5,0.1,-543.6617105241442
47,ksqexp,1,4.5,0.5,0.05,-1898.7886441723026
48,ksqexp,1,4.5,0.5,0.01,-11585.118957508954
49,ksqexp,1,4.5,1,0.1,-526.3335903855357
50,ksqexp,1,4.5,1,0.05,-1685.4702301069356
51,ksqexp,1,4.5,1,0.01,-6497.879216001285
52,ksqexp,1,4.5,1.5,0.1,-512.3676052705496
53,ksqexp,1,4.5,1.5,0.05,-1519.0279943528392
54,ksqexp,1,4.5,1.5,0.01,-4521.508942184976
55,ksqexp,1,5,0.5,0.1,-537.0978392285978
56,ksqexp,1,5,0.5,0.05,-1841.7949863395902
57,ksqexp,1,5,0.5,0.01,-9761.446196207926
58,ksqexp,1,5,1,0.1,-517.981659216039
59,ksqexp,1,5,1,0.05,-1601.1646670255066
60,ksqexp,1,5,1,0.01,-5375.022018861778
61,ksqexp,1,5,1.5,0.1,-501.70346206548254
62,ksqexp,1,5,1.5,0.05,-1419.2878123627363
63,ksqexp,1,5,1.5,0.01,-3715.4628673234206
64,ksqexp,1,6,0.5,0.1,-525.4275455706832
65,ksqexp,1,6,0.5,0.05,-1725.2310728505583
66,ksqexp,1,6,0.5,0.01,-7180.001773670164
67,ksqexp,1,6,1,0.1,-500.82875159412214
68,ksqexp,1,6,1,0.05,-1436.907898817308
69,ksqexp,1,6,1,0.01,-3856.376436865727
70,ksqexp,1,6,1.5,0.1,-479.19147505443664
71,ksqexp,1,6,1.5,0.05,-1234.283597816151
72,ksqexp,1,6,1.5,0.01,-2643.9847645590585
73,ksqexp,1,10,0.5,0.1,-475.5972531023562
74,ksqexp,1,10,0.5,0.05,-1266.4775948360489
75,ksqexp,1,10,0.5,0.01,-2837.1467250338214
76,ksqexp,1,10,1,0.1,-421.99646648207863
77,ksqexp,1,10,1,0.05,-904.2962060937456
78,ksqexp,1,10,1,0.01,-1471.4823083754266
79,ksqexp,1,10,1.5,0.1,-380.99287824215503
80,ksqexp,1,10,1.5,0.05,-709.0993815643105
81,ksqexp,1,10,1.5,0.01,-1003.1622922114539
82,ksqexp,1,50,0.5,0.1,-126.97917819404579
83,ksqexp,1,50,0.5,0.05,-142.82924357631614
84,ksqexp,1,50,0.5,0.01,-149.0889077167617
85,ksqexp,1,50,1,0.1,-90.49631203559375
86,ksqexp,1,50,1,0.05,-94.79145208080081
87,ksqexp,1,50,1,0.01,-96.33166657585015
88,ksqexp,1,50,1.5,0.1,-79.63874212176773
89,ksqexp,1,50,1.5,0.05,-81.54255595787846
90,ksqexp,1,50,1.5,0.01,-82.20227126511955
91,ksqexp,1,100,0.5,0.1,-63.661245793089975
92,ksqexp,1,100,0.5,0.05,-64.98548126456963
93,ksqexp,1,100,0.5,0.01,-65.4409017354156
94,ksqexp,1,100,1,0.1,-56.38529862155567
95,ksqexp,1,100,1,0.05,-56.62976454459349
96,ksqexp,1,100,1,0.01,-56.711787077816965
97,ksqexp,1,100,1.5,0.1,-57.2003317403095
98,ksqexp,1,100,1.5,0.05,-57.265688885095315
99,ksqexp,1,100,1.5,0.01,-57.28764514373881
100,ksqexp,1.5,1.5,0.5,0.1,-663.0189038684131
101,ksqexp,1.5,1.5,0.5,0.05,-2710.856271940748
102,ksqexp,1.5,1.5,0.5,0.01,-66110.25918545881
103,ksqexp,1.5,1.5,1,0.1,-667.0199139384063
104,ksqexp,1.5,1.5,1,0.05,-2676.751123637605
105,ksqexp,1.5,1.5,1,0.01,-66613.21727118753
106,ksqexp,1.5,1.5,1.5,0.1,-667.7524775237209
107,ksqexp,1.5,1.5,1.5,0.05,-2652.502991738654
108,ksqexp,1.5,1.5,1.5,0.01,-66795.5510558363
109,ksqexp,1.5,2,0.5,0.1,-632.1767887057583
110,ksqexp,1.5,2,0.5,0.05,-2522.42159416978
111,ksqexp,1.5,2,0.5,0.01,-58875.160978032785
112,ksqexp,1.5,2,1,0.1,-628.9490516361044
113,ksqexp,1.5,2,1,0.05,-2513.691590733586
114,ksqexp,1.5,2,1,0.01,-55533.588948549535
115,ksqexp,1.5,2,1.5,0.1,-628.909295737404
116,ksqexp,1.5,2,1.5,0.05,-2507.8326563710307
117,ksqexp,1.5,2,1.5,0.01,-52792.17770480575
118,ksqexp,1.5,3,0.5,0.1,-608.2683488643645
119,ksqexp,1.5,3,0.5,0.05,-2350.4076212213117
120,ksqexp,1.5,3,0.5,0.01,-41465.90876498281
121,ksqexp,1.5,3,1,0.1,-604.9448983513282
122,ksqexp,1.5,3,1,0.05,-2267.3554368800096
123,ksqexp,1.5,3,1,0.01,-32971.968586688454
124,ksqexp,1.5,3,1.5,0.1,-600.9489423399132
125,ksqexp,1.5,3,1.5,0.05,-2208.001118952918
126,ksqexp,1.5,3,1.5,0.01,-27316.91966218263
127,ksqexp,1.5,3.5,0.5,0.1,-597.827906391373
128,ksqexp,1.5,3.5,0.5,0.05,-2249.2153695260454
129,ksqexp,1.5,3.5,0.5,0.01,-34001.35617074672
130,ksqexp,1.5,3.5,1,0.1,-588.9842976763381
131,ksqexp,1.5,3.5,1,0.05,-2147.143708803893
132,ksqexp,1.5,3.5,1,0.01,-24657.645855355004
133,ksqexp,1.5,3.5,1.5,0.1,-581.4442084602042
134,ksqexp,1.5,3.5,1.5,0.05,-2077.389270558549
135,ksqexp,1.5,3.5,1.5,0.01,-19327.793101451167
136,ksqexp,1.5,4,0.5,0.1,-586.2412011803118
137,ksqexp,1.5,4,0.5,0.05,-2164.651400383206
138,ksqexp,1.5,4,0.5,0.01,-27643.41944173646
139,ksqexp,1.5,4,1,0.1,-573.4211585195624
140,ksqexp,1.5,4,1,0.05,-2050.649915878574
141,ksqexp,1.5,4,1,0.01,-18566.589107914366
142,ksqexp,1.5,4,1.5,0.1,-564.1877609589576
143,ksqexp,1.5,4,1.5,0.05,-1968.1550908414765
144,ksqexp,1.5,4,1.5,0.01,-13976.749301858868
145,ksqexp,1.5,4.5,0.5,0.1,-575.308999113896
146,ksqexp,1.5,4.5,0.5,0.05,-2097.951912240523
147,ksqexp,1.5,4.5,0.5,0.01,-22642.174487104465
148,ksqexp,1.5,4.5,1,0.1,-560.4911001316975
149,ksqexp,1.5,4.5,1,0.05,-1969.3317689311637
150,ksqexp,1.5,4.5,1,0.01,-14343.257058099443
151,ksqexp,1.5,4.5,1.5,0.1,-550.5489876634906
