model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-105.38135894396592,-109.46978912529939
2,ksqexp,1,0.1,0.5,0.1,-1641.4012072633757,-1745.0777402441024
3,ksqexp,1,0.1,0.5,0.05,-6478.030115646481,-6877.172625202785
4,ksqexp,1,0.1,0.5,0.01,-135512.04560768226,-137952.5626850729
5,ksqexp,1,0.1,0.5,0,-10880302996027.328,-7695296230046.206
6,ksqexp,1,0.1,1,0.5,-106.58673992205175,-110.60127572070964
7,ksqexp,1,0.1,1,0.1,-1602.3872292110404,-1709.552854074056
8,ksqexp,1,0.1,1,0.05,-6180.619167365746,-6515.439738542031
9,ksqexp,1,0.1,1,0.01,-131869.72294076174,-134351.34683046598
10,ksqexp,1,0.1,1,0,-10930172980686.336,-7597789845610.982
11,ksqexp,1,0.1,1.5,0.5,-107.49282388803739,-111.54399357487749
12,ksqexp,1,0.1,1.5,0.1,-1571.4840540513364,-1676.219996551683
13,ksqexp,1,0.1,1.5,0.05,-5990.121702456926,-6276.783444062346
14,ksqexp,1,0.1,1.5,0.01,-129834.96808632817,-132339.3139206349
15,ksqexp,1,0.1,1.5,0,-10971359158031.69,-7571789036113.438
16,ksqexp,1,0.2,0.5,0.5,-104.88319237194489,-109.86660124083963
17,ksqexp,1,0.2,0.5,0.1,-1375.9526524875125,-1446.3014332710593
18,ksqexp,1,0.2,0.5,0.05,-5247.668922662013,-5367.1522802881145
19,ksqexp,1,0.2,0.5,0.01,-121589.16501248712,-122461.04780667924
20,ksqexp,1,0.2,0.5,0,-11491026542744.488,-7961901929709.239
21,ksqexp,1,0.2,1,0.5,-106.18497915998192,-111.17814814961478
22,ksqexp,1,0.2,1,0.1,-1301.2664179244061,-1349.3373744519731
23,ksqexp,1,0.2,1,0.05,-5076.704876427532,-5172.2721127845725
24,ksqexp,1,0.2,1,0.01,-120350.21317947343,-119935.65032966477
25,ksqexp,1,0.2,1,0,-11662271360007.932,-8074529921593.121
26,ksqexp,1,0.2,1.5,0.5,-106.82340187151493,-111.84963578665109
27,ksqexp,1,0.2,1.5,0.1,-1266.0140481749377,-1303.0640768437197
28,ksqexp,1,0.2,1.5,0.05,-4994.845959399418,-5091.800143479227
29,ksqexp,1,0.2,1.5,0.01,-119540.72160376326,-118308.4015976539
30,ksqexp,1,0.2,1.5,0,-11845001434169.027,-8231869050797.449
31,ksqexp,1,0.5,0.5,0.5,-97.9920438255073,-102.62066985374645
32,ksqexp,1,0.5,0.5,0.1,-1037.062858059616,-1058.9380480589336
33,ksqexp,1,0.5,0.5,0.05,-4163.490481134567,-4134.025041463813
34,ksqexp,1,0.5,0.5,0.01,-111076.501018872,-101899.06671285184
35,ksqexp,1,0.5,0.5,0,-9462555865677.834,-4752133044324.818
36,ksqexp,1,0.5,1,0.5,-97.99363359312481,-101.92801922837312
37,ksqexp,1,0.5,1,0.1,-1002.8673421263998,-1014.3043990606506
38,ksqexp,1,0.5,1,0.05,-4161.795333327014,-4057.322792850455
39,ksqexp,1,0.5,1,0.01,-111356.35160939208,-101099.29141167873
40,ksqexp,1,0.5,1,0,-9448291729873.268,-4734596350443.953
41,ksqexp,1,0.5,1.5,0.5,-98.54007656186671,-102.12608802208231
42,ksqexp,1,0.5,1.5,0.1,-992.5824575939824,-995.2903517345311
43,ksqexp,1,0.5,1.5,0.05,-4184.008018769593,-4033.392923375891
44,ksqexp,1,0.5,1.5,0.01,-111390.02518304298,-100589.10333787368
45,ksqexp,1,0.5,1.5,0,-9443988920606.266,-4728966371862.002
46,ksqexp,1,1,0.5,0.5,-91.91872060582796,-96.06882203448653
47,ksqexp,1,1,0.5,0.1,-954.8497482841474,-932.0599620717129
48,ksqexp,1,1,0.5,0.05,-4182.7444817992555,-3970.148865610814
49,ksqexp,1,1,0.5,0.01,-110976.19249732772,-94265.86610199862
50,ksqexp,1,1,0.5,0,-9436246088759.195,-4718124348139.3
51,ksqexp,1,1,1,0.5,-93.91900815278909,-97.77070258111003
