model_no,k_name,l1,l2,b,meas_error,lppd_exact
1,ksqexp,1,0.1,0.5,0.5,-74.72846755537698
2,ksqexp,1,0.1,0.5,0.1,-937.6216176661096
3,ksqexp,1,0.1,0.5,0.05,-3993.604303314261
4,ksqexp,1,0.1,0.5,0.01,-101464.44931171036
5,ksqexp,1,0.1,0.5,0,-4360328280416.0063
6,ksqexp,1,0.1,1,0.5,-74.2795108494242
7,ksqexp,1,0.1,1,0.1,-939.6851848723976
8,ksqexp,1,0.1,1,0.05,-4019.192944569418
9,ksqexp,1,0.1,1,0.01,-100456.35002353981
10,ksqexp,1,0.1,1,0,-4463578017334.701
11,ksqexp,1,0.1,1.5,0.5,-74.68396620695795
12,ksqexp,1,0.1,1.5,0.1,-943.5712606051641
13,ksqexp,1,0.1,1.5,0.05,-4029.1923328764187
14,ksqexp,1,0.1,1.5,0.01,-100197.22694853258
15,ksqexp,1,0.1,1.5,0,-4524962858517.664
16,ksqexp,1,0.2,0.5,0.5,-74.44517367968957
17,ksqexp,1,0.2,0.5,0.1,-947.8623755078845
18,ksqexp,1,0.2,0.5,0.05,-3902.311966359525
19,ksqexp,1,0.2,0.5,0.01,-95940.19158144934
20,ksqexp,1,0.2,0.5,0,-4664406318639.215
21,ksqexp,1,0.2,1,0.5,-76.16627324293681
22,ksqexp,1,0.2,1,0.1,-937.5183108876316
23,ksqexp,1,0.2,1,0.05,-3887.108290700141
24,ksqexp,1,0.2,1,0.01,-94275.36728485284
25,ksqexp,1,0.2,1,0,-4748125670402.07
26,ksqexp,1,0.2,1.5,0.5,-77.76139427806618
27,ksqexp,1,0.2,1.5,0.1,-933.5724069639907
28,ksqexp,1,0.2,1.5,0.05,-3881.9315405989823
29,ksqexp,1,0.2,1.5,0.01,-93392.97346613693
30,ksqexp,1,0.2,1.5,0,-4811218870400.726
31,ksqexp,1,0.5,0.5,0.5,-79.22602791480276
32,ksqexp,1,0.5,0.5,0.1,-788.7728150972133
33,ksqexp,1,0.5,0.5,0.05,-2800.205322084817
34,ksqexp,1,0.5,0.5,0.01,-49498.93764141502
35,ksqexp,1,0.5,0.5,0,-2427436259460.4243
36,ksqexp,1,0.5,1,0.5,-82.85206862925216
37,ksqexp,1,0.5,1,0.1,-729.5576352542407
38,ksqexp,1,0.5,1,0.05,-2564.421515207596
39,ksqexp,1,0.5,1,0.01,-47762.96912058264
40,ksqexp,1,0.5,1,0,-1623715454380.8452
41,ksqexp,1,0.5,1.5,0.5,-85.2794926060231
42,ksqexp,1,0.5,1.5,0.1,-697.634261976772
