model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-22.104343077592283,-23.091688563915937
2,ksqexp,1,0.1,0.5,0.1,-15.280459293590132,-36.92449769425622
3,ksqexp,1,0.1,0.5,0.05,-168.5066463066148,-237.3082267793569
4,ksqexp,1,0.1,0.5,0.01,-2124.087195369153,-2818.707574208809
5,ksqexp,1,0.1,0.5,0,-30611861.47960757,-11890283.341071274
6,ksqexp,1,0.1,1,0.5,-22.61911869578614,-23.75213458980911
7,ksqexp,1,0.1,1,0.1,-14.794852997439932,-34.77670887232594
8,ksqexp,1,0.1,1,0.05,-151.14373653589234,-211.67978606008595
9,ksqexp,1,0.1,1,0.01,-1648.2682451654737,-2121.149353096989
10,ksqexp,1,0.1,1,0,-15308719.392776648,-5945603.213324776
11,ksqexp,1,0.1,1.5,0.5,-23.015351167025884,-24.242860806754127
12,ksqexp,1,0.1,1.5,0.1,-14.607329012197235,-33.51692453060172
13,ksqexp,1,0.1,1.5,0.05,-134.66844012233736,-190.51375721084605
14,ksqexp,1,0.1,1.5,0.01,-1504.8506713138943,-1888.8168199615275
15,ksqexp,1,0.1,1.5,0,-10206371.786167689,-3963781.4678510996
16,ksqexp,1,0.2,0.5,0.5,-21.82217474262661,-23.24273105244394
17,ksqexp,1,0.2,0.5,0.1,1.6991599489894342,-16.836769718716106
18,ksqexp,1,0.2,0.5,0.05,-32.704188180434045,-75.96465919677522
19,ksqexp,1,0.2,0.5,0.01,-1397.703995275988,-1664.8444994500405
20,ksqexp,1,0.2,0.5,0,-486018.5784337562,-189697.60419221583
21,ksqexp,1,0.2,1,0.5,-23.255914588732637,-24.86098640857437
22,ksqexp,1,0.2,1,0.1,8.509243726894429,-7.116756268987973
23,ksqexp,1,0.2,1,0.05,-10.977888546909536,-40.92308969393454
24,ksqexp,1,0.2,1,0.01,-1416.5472159204978,-1678.5338291445037
25,ksqexp,1,0.2,1,0,-242912.42335115068,-94761.16079832322
