model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-24.70726744791881,-25.699035660102034
2,ksqexp,1,0.1,0.5,0.1,-141.5319044945391,-177.6125604578666
3,ksqexp,1,0.1,0.5,0.05,-581.8045313015608,-725.4950198340666
4,ksqexp,1,0.1,0.5,0.01,-14629.215295335673,-15961.204318239224
5,ksqexp,1,0.1,0.5,0,-56823128280.749466,-68113760818.23331
6,ksqexp,1,0.1,1,0.5,-26.59382531816807,-27.80116403160229
7,ksqexp,1,0.1,1,0.1,-132.83966240085925,-169.974817011084
8,ksqexp,1,0.1,1,0.05,-530.5177578592167,-665.3722531618506
9,ksqexp,1,0.1,1,0.01,-14999.12018693021,-15866.70256857075
10,ksqexp,1,0.1,1,0,-30500102827.491432,-35325761162.98961
11,ksqexp,1,0.1,1.5,0.5,-27.80108678671479,-29.191517236230894
12,ksqexp,1,0.1,1.5,0.1,-125.65510026224409,-162.82101267342549
13,ksqexp,1,0.1,1.5,0.05,-512.3637959953159,-638.0048078060236
14,ksqexp,1,0.1,1.5,0.01,-15188.1159400354,-15840.381949455934
15,ksqexp,1,0.1,1.5,0,-20859163619.74112,-23869609843.89148
16,ksqexp,1,0.2,0.5,0.5,-26.270682083034085,-28.053479533975842
17,ksqexp,1,0.2,0.5,0.1,-99.93380096570954,-131.67242176211232
18,ksqexp,1,0.2,0.5,0.05,-514.6397924489843,-586.7946779904768
19,ksqexp,1,0.2,0.5,0.01,-15640.178400019391,-15812.04072281948
20,ksqexp,1,0.2,0.5,0,-1002477772.5495645,-1120797565.3331861
21,ksqexp,1,0.2,1,0.5,-28.69712136416032,-30.934416640328948
22,ksqexp,1,0.2,1,0.1,-105.0015090907598,-131.76468340901076
23,ksqexp,1,0.2,1,0.05,-535.7200634791145,-588.1499697235566
24,ksqexp,1,0.2,1,0.01,-15722.916861400416,-15823.853514480106
25,ksqexp,1,0.2,1,0,-501937939.0081167,-560827807.1672595
26,ksqexp,1,0.2,1.5,0.5,-30.225193505202864,-32.746536788400185
27,ksqexp,1,0.2,1.5,0.1,-109.6096713602028,-133.49522429491714
28,ksqexp,1,0.2,1.5,0.05,-547.9952777700848,-590.7967775259003
29,ksqexp,1,0.2,1.5,0.01,-15754.12294549611,-15834.58214099702
30,ksqexp,1,0.2,1.5,0,-334780986.008114,-373980777.7223778
31,ksqexp,1,0.5,0.5,0.5,-28.641218360909065,-31.676562377528473
