model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-53.671197375640396,-54.6075760656846
2,ksqexp,1,0.1,0.5,0.1,-101.56212199823344,-127.95334859544475
3,ksqexp,1,0.1,0.5,0.05,-647.0182786248374,-721.152474487506
4,ksqexp,1,0.1,0.5,0.01,-17618.700029159525,-19181.38333115315
5,ksqexp,1,0.1,0.5,0,-798210940357.3055,-890178184244.608
6,ksqexp,1,0.1,1,0.5,-51.69169347743646,-52.78824415249948
7,ksqexp,1,0.1,1,0.1,-82.43027989789064,-104.62283758141544
8,ksqexp,1,0.1,1,0.05,-639.4952779523156,-701.3651922079137
9,ksqexp,1,0.1,1,0.01,-16698.13362817189,-18441.242383517896
10,ksqexp,1,0.1,1,0,-820137542572.4135,-913413147068.4503
11,ksqexp,1,0.1,1.5,0.5,-50.06131656820974,-51.27993341110023
12,ksqexp,1,0.1,1.5,0.1,-78.5252263770096,-98.598887230171
13,ksqexp,1,0.1,1.5,0.05,-632.9021315580537,-689.3294405493679
14,ksqexp,1,0.1,1.5,0.01,-16452.18823489301,-18322.515105130296
15,ksqexp,1,0.1,1.5,0,-835654520353.0132,-925421009810.4517
16,ksqexp,1,0.2,0.5,0.5,-48.02290930026893,-49.49666045799761
17,ksqexp,1,0.2,0.5,0.1,-68.50146206994887,-89.8966397257296
18,ksqexp,1,0.2,0.5,0.05,-535.5766424586637,-611.2177074018448
19,ksqexp,1,0.2,0.5,0.01,-16985.751682869137,-19602.321464801895
20,ksqexp,1,0.2,0.5,0,-794328874694.4762,-908306708980.7448
21,ksqexp,1,0.2,1,0.5,-45.451187748349355,-46.93738429809058
22,ksqexp,1,0.2,1,0.1,-60.999983606958374,-80.70431437446575
23,ksqexp,1,0.2,1,0.05,-495.8466216973557,-572.2284879656992
24,ksqexp,1,0.2,1,0.01,-17234.194365407668,-19824.047230327396
25,ksqexp,1,0.2,1,0,-797451907438.4694,-939458924103.4769
26,ksqexp,1,0.2,1.5,0.5,-44.35793243671934,-45.78394611576434
27,ksqexp,1,0.2,1.5,0.1,-55.90028299566519,-75.13654487644628
28,ksqexp,1,0.2,1.5,0.05,-479.57835640984104,-557.7670356389172
29,ksqexp,1,0.2,1.5,0.01,-17173.590186604335,-19639.013420803276
30,ksqexp,1,0.2,1.5,0,-810569533693.3386,-971127439881.5256
31,ksqexp,1,0.5,0.5,0.5,-42.91942950244716,-44.64397528024203
32,ksqexp,1,0.5,0.5,0.1,-40.99156928054194,-72.54504178686645
33,ksqexp,1,0.5,0.5,0.05,-411.64954435144335,-536.7965673701717
34,ksqexp,1,0.5,0.5,0.01,-8324.449994618177,-9374.122416466138
35,ksqexp,1,0.5,0.5,0,-496437739808.05084,-516517026326.55664
36,ksqexp,1,0.5,1,0.5,-43.56562747667084,-45.242141146403895
37,ksqexp,1,0.5,1,0.1,-37.89456464358984,-70.7567551324161
38,ksqexp,1,0.5,1,0.05,-342.7172724671631,-455.01525573921407
39,ksqexp,1,0.5,1,0.01,-8119.280025858473,-9013.846268399548
40,ksqexp,1,0.5,1,0,-484993331769.3385,-494211385853.81573
41,ksqexp,1,0.5,1.5,0.5,-44.34218089211942,-46.03563539487486
42,ksqexp,1,0.5,1.5,0.1,-33.775100837527184,-66.6724682111444
43,ksqexp,1,0.5,1.5,0.05,-297.2769726867304,-397.9833668977762
44,ksqexp,1,0.5,1.5,0.01,-8054.668613473857,-8901.630154886981
45,ksqexp,1,0.5,1.5,0,-480983607495.02637,-488704780204.38416
46,ksqexp,1,1,0.5,0.5,-45.32013250044162,-48.22108506123659
47,ksqexp,1,1,0.5,0.1,19.66486194750095,-4.37295576526302
48,ksqexp,1,1,0.5,0.05,-155.0374506681693,-207.5035595250593
49,ksqexp,1,1,0.5,0.01,-7467.775063742762,-8521.765768821144
50,ksqexp,1,1,0.5,0,-816829237687.5499,-1218076737872.3625
51,ksqexp,1,1,1,0.5,-47.65110588508996,-50.81351146764402
52,ksqexp,1,1,1,0.1,22.67742150615781,4.069464009893912
53,ksqexp,1,1,1,0.05,-148.6455045167997,-195.258556505181
54,ksqexp,1,1,1,0.01,-7459.622329201424,-8583.168363818739
55,ksqexp,1,1,1,0,-905607789475.7858,-1335379927645.0286
56,ksqexp,1,1,1.5,0.5,-49.20590238590086,-52.5183949168893
57,ksqexp,1,1,1.5,0.1,22.410757326419414,5.653845170223294
58,ksqexp,1,1,1.5,0.05,-147.56932429439772,-192.24050237869474
59,ksqexp,1,1,1.5,0.01,-7434.187299516018,-8595.571990205075
60,ksqexp,1,1,1.5,0,-953835740293.1135,-1392471185761.343
61,ksqexp,1,1.5,0.5,0.5,-46.89250134073541,-50.636682556228266
