model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-51.714919599623876,-57.068238972169226
2,ksqexp,1,0.1,0.5,0.1,-67.0951660604644,-137.69031769056267
3,ksqexp,1,0.1,0.5,0.05,-453.4966541688363,-667.1713316696448
4,ksqexp,1,0.1,0.5,0.01,-11510.996679029658,-15348.855615060496
5,ksqexp,1,0.1,0.5,0,-334009636995.4269,-369525030054.1442
6,ksqexp,1,0.1,1,0.5,-51.11970344796199,-56.70685705263923
7,ksqexp,1,0.1,1,0.1,-53.81684387434597,-114.89469865931058
8,ksqexp,1,0.1,1,0.05,-393.83173388698907,-588.509648705882
9,ksqexp,1,0.1,1,0.01,-10865.20342216932,-14486.314848740823
10,ksqexp,1,0.1,1,0,-338988237563.9035,-393014171915.5668
11,ksqexp,1,0.1,1.5,0.5,-50.79056680463942,-56.30289825276523
12,ksqexp,1,0.1,1.5,0.1,-46.81643453190166,-104.02657004834592
13,ksqexp,1,0.1,1.5,0.05,-363.33989424106994,-548.5600915076704
14,ksqexp,1,0.1,1.5,0.01,-10235.532269596883,-13685.291489626623
15,ksqexp,1,0.1,1.5,0,-343278925648.70557,-411037344379.34784
16,ksqexp,1,0.2,0.5,0.5,-46.967329362576685,-52.00841963751073
17,ksqexp,1,0.2,0.5,0.1,8.779330750808718,-40.11782632486758
18,ksqexp,1,0.2,0.5,0.05,-134.48942668912892,-260.7668957527827
19,ksqexp,1,0.2,0.5,0.01,-3852.8205370747414,-4640.812147308098
20,ksqexp,1,0.2,0.5,0,-218919284739.61075,-310575618917.0485
21,ksqexp,1,0.2,1,0.5,-48.768755201443945,-53.78277299461204
22,ksqexp,1,0.2,1,0.1,16.41762541032661,-25.378729454531886
23,ksqexp,1,0.2,1,0.05,-82.16633442990754,-179.21533144417708
24,ksqexp,1,0.2,1,0.01,-3697.009778907183,-4436.814572200036
25,ksqexp,1,0.2,1,0,-218045424470.40305,-318787802254.7458
26,ksqexp,1,0.2,1.5,0.5,-50.255285485071035,-55.277360316655255
27,ksqexp,1,0.2,1.5,0.1,21.439578085742273,-16.458149737856154
28,ksqexp,1,0.2,1.5,0.05,-58.23226414624633,-138.61751103043778
29,ksqexp,1,0.2,1.5,0.01,-3588.335043702203,-4299.674205140717
30,ksqexp,1,0.2,1.5,0,-219157794146.5873,-325000839903.16296
31,ksqexp,1,0.5,0.5,0.5,-48.53291786993209,-53.201289145865935
32,ksqexp,1,0.5,0.5,0.1,58.1906778485469,39.81952937913996
33,ksqexp,1,0.5,0.5,0.05,17.971287238357554,-12.951818739167685
34,ksqexp,1,0.5,0.5,0.01,-2629.0756744713835,-2863.8581056059734
35,ksqexp,1,0.5,0.5,0,-124804543.44020744,-63790690.73795606
36,ksqexp,1,0.5,1,0.5,-53.52956122040136,-58.681663151597654
37,ksqexp,1,0.5,1,0.1,48.59748014647243,31.754176725795855
38,ksqexp,1,0.5,1,0.05,7.197317379732873,-20.21101676106714
39,ksqexp,1,0.5,1,0.01,-2634.222582949917,-2901.4829254913943
40,ksqexp,1,0.5,1,0,-62494205.20928447,-31918686.48599223
41,ksqexp,1,0.5,1.5,0.5,-57.17338685517037,-62.81833257669701
42,ksqexp,1,0.5,1.5,0.1,42.134801054911364,25.82234208638946
43,ksqexp,1,0.5,1.5,0.05,1.0266928709648753,-24.964584876793552
44,ksqexp,1,0.5,1.5,0.01,-2641.9951906806077,-2965.603031974098
45,ksqexp,1,0.5,1.5,0,-41683172.418800764,-21284221.5688787
46,ksqexp,1,1,0.5,0.5,-54.13626491925087,-60.317946190749815
47,ksqexp,1,1,0.5,0.1,41.381476285028256,20.019663733559035
48,ksqexp,1,1,0.5,0.05,11.561987900204576,-23.10573225603765
49,ksqexp,1,1,0.5,0.01,-1030.486785603942,-1917.822390494072
50,ksqexp,1,1,0.5,0,-24150.129736577917,-13663.959703529024
51,ksqexp,1,1,1,0.5,-61.963835758794836,-69.49920784381202
52,ksqexp,1,1,1,0.1,26.365523246631312,4.756623671084846
53,ksqexp,1,1,1,0.05,-0.4827425419001589,-40.644433094557435
54,ksqexp,1,1,1,0.01,-706.6164413434271,-1457.6569049916925
55,ksqexp,1,1,1,0,-11970.812412717452,-6749.837170429234
56,ksqexp,1,1,1.5,0.5,-67.51417205061739,-76.16421082975761
57,ksqexp,1,1,1.5,0.1,16.98611257483165,-5.316129099793052
58,ksqexp,1,1,1.5,0.05,-6.750464780095881,-51.154833185017615
59,ksqexp,1,1,1.5,0.01,-539.1325038642478,-1178.477067951868
60,ksqexp,1,1,1.5,0,-7920.455913620709,-4454.547466857908
61,ksqexp,1,1.5,0.5,0.5,-56.92326729665982,-64.0159174076837
62,ksqexp,1,1.5,0.5,0.1,35.61721490551478,10.554360572547903
63,ksqexp,1,1.5,0.5,0.05,33.685346438282394,-10.099163907932615
64,ksqexp,1,1.5,0.5,0.01,-98.77558071081134,-220.42814786521333
65,ksqexp,1,1.5,0.5,0,-942.9147531335533,-511.26175587033407
66,ksqexp,1,1.5,1,0.5,-65.89085332667185,-74.84932258868196
67,ksqexp,1,1.5,1,0.1,20.777994189994892,-4.872999413961684
68,ksqexp,1,1.5,1,0.05,29.732345648827774,-14.097593690749042
69,ksqexp,1,1.5,1,0.01,-62.14605931668851,-110.90949903596305
70,ksqexp,1,1.5,1,0,-415.4859152621003,-221.77338084007536
71,ksqexp,1,1.5,1.5,0.5,-72.18170516946275,-82.6066975451823
72,ksqexp,1,1.5,1.5,0.1,11.60858442455678,-14.581707273098608
73,ksqexp,1,1.5,1.5,0.05,25.683543876600357,-16.755955381131653
74,ksqexp,1,1.5,1.5,0.01,-47.94198222786263,-74.67209831885282
75,ksqexp,1,1.5,1.5,0,-249.09476367748854,-134.69572095654
76,ksqexp,1,2,0.5,0.5,-58.36185562636916,-65.98654023244491
77,ksqexp,1,2,0.5,0.1,34.53234601417652,7.577456163905207
78,ksqexp,1,2,0.5,0.05,49.01396400330596,7.332705340058855
79,ksqexp,1,2,0.5,0.01,-5.036680398978382,-38.47869547079308
80,ksqexp,1,2,0.5,0,-104.3316893426245,-71.308036236153
81,ksqexp,1,2,1,0.5,-67.81174854193084,-77.54766025010906
82,ksqexp,1,2,1,0.1,19.34309422136533,-7.7422975430822705
83,ksqexp,1,2,1,0.05,38.18917332211099,0.3103011828020006
84,ksqexp,1,2,1,0.01,13.702603090439025,-12.664435390199067
85,ksqexp,1,2,1,0,-16.056438915831777,-21.658585362076362
86,ksqexp,1,2,1.5,0.5,-74.4168965988886,-85.75667562986031
87,ksqexp,1,2,1.5,0.1,9.28122565915925,-17.970992587400396
88,ksqexp,1,2,1.5,0.05,28.595460570550802,-7.269535507420461
89,ksqexp,1,2,1.5,0.01,17.14980685854992,-10.791061746023725
90,ksqexp,1,2,1.5,0,3.9501782279639457,-14.52723491648946
91,ksqexp,1,2.5,0.5,0.5,-59.1839252880115,-67.12284953910537
92,ksqexp,1,2.5,0.5,0.1,33.78853028278514,5.632809989988285
93,ksqexp,1,2.5,0.5,0.05,52.26347479646488,12.153351593212001
94,ksqexp,1,2.5,0.5,0.01,41.50871236967946,0.30687092918530157
95,ksqexp,1,2.5,0.5,0,27.936669942598233,-5.187998803463316
96,ksqexp,1,2.5,1,0.5,-68.92634689384319,-79.0928749108855
97,ksqexp,1,2.5,1,0.1,16.979036031567876,-11.298596327152303
98,ksqexp,1,2.5,1,0.05,35.824254067036,-0.995007508521689
99,ksqexp,1,2.5,1,0.01,40.446663773523774,0.5966639171401718
100,ksqexp,1,2.5,1,0,38.488899110779954,-0.1874086210139132
101,ksqexp,1,2.5,1.5,0.5,-75.76373681995342,-87.60008894867379
102,ksqexp,1,2.5,1.5,0.1,5.515737152958876,-23.09112031147309
103,ksqexp,1,2.5,1.5,0.05,23.517031563926224,-12.31646719715939
104,ksqexp,1,2.5,1.5,0.01,32.565514668222285,-7.9283526730426654
105,ksqexp,1,2.5,1.5,0,32.587842278980055,-7.939011802396075
106,ksqexp,1,3,0.5,0.5,-59.744628983596655,-67.9000679578887
107,ksqexp,1,3,0.5,0.1,32.650613266545655,3.4491646561902964
108,ksqexp,1,3,0.5,0.05,51.93882670918999,12.126531467093741
109,ksqexp,1,3,0.5,0.01,58.68505099870308,11.240523212782747
110,ksqexp,1,3,0.5,0,57.630320161939096,10.155167324423168
111,ksqexp,1,3,1,0.5,-69.74183004956815,-80.20854686633241
112,ksqexp,1,3,1,0.1,14.224316671622143,-15.336537903023167
113,ksqexp,1,3,1,0.05,32.22447598344894,-5.218640826459067
114,ksqexp,1,3,1,0.01,44.647145070727106,-0.3760859972325603
115,ksqexp,1,3,1,0,45.67580385107622,-0.17574596382132945
116,ksqexp,1,3,1.5,0.5,-76.80515630582936,-89.00263559692772
117,ksqexp,1,3,1.5,0.1,1.6681884460715786,-28.469271362528158
118,ksqexp,1,3,1.5,0.05,18.416305839860794,-18.72737075522992
119,ksqexp,1,3,1.5,0.01,31.18847148719216,-13.354550954530666
120,ksqexp,1,3,1.5,0,32.27249850132948,-13.037850310424776
121,ksqexp,1,3.5,0.5,0.5,-60.18372121755249,-68.51023262366618
122,ksqexp,1,3.5,0.5,0.1,31.324286646836647,1.175253597474565
123,ksqexp,1,3.5,0.5,0.05,50.56568954142062,10.630414267017382
124,ksqexp,1,3.5,0.5,0.01,63.41684601355269,13.834693235701828
125,ksqexp,1,3.5,0.5,0,64.63477671962582,13.79121958949306
126,ksqexp,1,3.5,1,0.5,-70.43100975696105,-81.15046426853331
127,ksqexp,1,3.5,1,0.1,11.538474049414578,-19.21156311224564
128,ksqexp,1,3.5,1,0.05,28.642626261540407,-9.668340571886066
129,ksqexp,1,3.5,1,0.01,42.311628459987105,-4.290601778652373
130,ksqexp,1,3.5,1,0,43.5830103676249,-3.9527416004916445
131,ksqexp,1,3.5,1.5,0.5,-77.71763618794196,-90.23727284179434
132,ksqexp,1,3.5,1.5,0.1,-1.8576790873422935,-33.37442191157842
133,ksqexp,1,3.5,1.5,0.05,13.755616086907976,-24.62833987339673
134,ksqexp,1,3.5,1.5,0.01,26.135024955051932,-19.59751744421565
135,ksqexp,1,3.5,1.5,0,27.14728833226996,-19.285861916501158
136,ksqexp,1,4,0.5,0.5,-60.55284348968582,-69.02296938771616
137,ksqexp,1,4,0.5,0.1,29.960789111811156,-1.015193694864303
138,ksqexp,1,4,0.5,0.05,48.81628643543466,8.63925304415168
139,ksqexp,1,4,0.5,0.01,63.442644428629556,13.398323023108796
140,ksqexp,1,4,0.5,0,65.01932104889374,13.654676892800849
141,ksqexp,1,4,1,0.5,-71.04405837687052,-81.99196759818824
142,ksqexp,1,4,1,0.1,9.03998250771611,-22.737946264458078
143,ksqexp,1,4,1,0.05,25.251889653250206,-13.843400048410768
144,ksqexp,1,4,1,0.01,38.31375648579906,-8.68037420751218
145,ksqexp,1,4,1,0,39.445874730885805,-8.350420752029168
146,ksqexp,1,4,1.5,0.5,-78.54195808397934,-91.36613583902812
147,ksqexp,1,4,1.5,0.1,-5.0225476648569245,-37.705220743590054
148,ksqexp,1,4,1.5,0.05,9.524124450274348,-29.834634209917954
149,ksqexp,1,4,1.5,0.01,20.66413356136659,-25.371637253219518
150,ksqexp,1,4,1.5,0,21.502926038576177,-25.103919887132278
151,ksqexp,1,6,0.5,0.5,-61.690608204794515,-70.59357502991935
152,ksqexp,1,6,0.5,0.1,25.13297500113505,-8.13865750986528
153,ksqexp,1,6,0.5,0.05,42.003215547861764,0.678356876362721
154,ksqexp,1,6,0.5,0.01,54.90671458274734,5.70584020304303
155,ksqexp,1,6,0.5,0,55.970981838640036,6.0227324142193925
156,ksqexp,1,6,1,0.5,-72.99919442661526,-84.71106932409273
157,ksqexp,1,6,1,0.1,1.2499822646731786,-33.33402237727453
158,ksqexp,1,6,1,0.05,14.579442341639316,-26.591218451694548
159,ksqexp,1,6,1,0.01,23.67923566642969,-23.00842304464321
160,ksqexp,1,6,1,0,24.279352370289573,-22.808745747799353
161,ksqexp,1,6,1.5,0.5,-81.14873304493429,-95.02328999951035
162,ksqexp,1,6,1.5,0.1,-14.461173786554124,-50.21809881097206
163,ksqexp,1,6,1.5,0.05,-3.148104555357207,-44.71796790978314
164,ksqexp,1,6,1.5,0.01,3.881003466344962,-41.980278914044284
165,ksqexp,1,6,1.5,0,4.297009293323219,-41.837705056058525
166,ksqexp,1,8,0.5,0.5,-62.65113326498576,-71.93663741030494
167,ksqexp,1,8,0.5,0.1,21.023978503894053,-13.889308596478429
168,ksqexp,1,8,0.5,0.05,36.211004325281834,-6.315315638092046
169,ksqexp,1,8,0.5,0.01,46.4516760289833,-2.295848701631211
170,ksqexp,1,8,0.5,0,47.14067556054124,-2.068843340838642
171,ksqexp,1,8,1,0.5,-74.59355365560587,-87.00148007042637
172,ksqexp,1,8,1,0.1,-4.566448085544823,-41.054068256679116
173,ksqexp,1,8,1,0.05,6.697632008070941,-35.762697648500414
174,ksqexp,1,8,1,0.01,13.24161893338537,-33.23567423078151
