model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-55.99780297290993,-57.491192106341366
2,ksqexp,1,0.1,0.5,0.1,-424.2486737321184,-452.5242861835434
3,ksqexp,1,0.1,0.5,0.05,-2073.7244034580403,-2232.2906948313057
4,ksqexp,1,0.1,0.5,0.01,-62254.28515801062,-73073.81757217037
5,ksqexp,1,0.1,0.5,0,-199458818386.80682,-287310009455.193
6,ksqexp,1,0.1,1,0.5,-58.44881749801251,-59.76525216815993
7,ksqexp,1,0.1,1,0.1,-434.4457373146974,-468.27798657230164
8,ksqexp,1,0.1,1,0.05,-2116.12402011041,-2305.0558758398643
9,ksqexp,1,0.1,1,0.01,-64045.48850180265,-78073.52618253882
10,ksqexp,1,0.1,1,0,-165478217930.534,-243795974403.26923
11,ksqexp,1,0.1,1.5,0.5,-59.94135872163187,-61.189073937358636
12,ksqexp,1,0.1,1.5,0.1,-441.13595827477485,-478.72589555363294
13,ksqexp,1,0.1,1.5,0.05,-2143.1590302891773,-2353.4698945284476
14,ksqexp,1,0.1,1.5,0.01,-65067.784991033004,-80945.42924059177
15,ksqexp,1,0.1,1.5,0,-144457521459.08206,-215920455813.79617
16,ksqexp,1,0.2,0.5,0.5,-60.701551064362725,-63.28701967955019
17,ksqexp,1,0.2,0.5,0.1,-456.5393097534364,-554.2309575233637
18,ksqexp,1,0.2,0.5,0.05,-1939.2287318088163,-2605.828051297162
19,ksqexp,1,0.2,0.5,0.01,-22313.372775263193,-34618.18018017111
20,ksqexp,1,0.2,0.5,0,-142256440.61542466,-121140620.17590822
21,ksqexp,1,0.2,1,0.5,-65.37250001838325,-68.28569005569874
22,ksqexp,1,0.2,1,0.1,-452.3722257361599,-586.4649582413899
23,ksqexp,1,0.2,1,0.05,-1744.3252866106786,-2496.9941265242223
24,ksqexp,1,0.2,1,0.01,-18022.100328047138,-27455.75036684348
25,ksqexp,1,0.2,1,0,-71309160.34781455,-60633798.985696055
26,ksqexp,1,0.2,1.5,0.5,-68.34052670035398,-71.57528249699898
27,ksqexp,1,0.2,1.5,0.1,-442.0580816608793,-598.1348310297351
28,ksqexp,1,0.2,1.5,0.05,-1595.946709459318,-2359.1046750447854
29,ksqexp,1,0.2,1.5,0.01,-16613.23225486927,-24665.82312179629
30,ksqexp,1,0.2,1.5,0,-47579654.31875447,-40436553.966515884
31,ksqexp,1,0.5,0.5,0.5,-65.0709880911596,-71.085638365032
32,ksqexp,1,0.5,0.5,0.1,-72.68915598601711,-179.09722683125864
33,ksqexp,1,0.5,0.5,0.05,-258.7582318643238,-561.0486578117341
34,ksqexp,1,0.5,0.5,0.01,-1369.8274529456426,-2368.984257781234
35,ksqexp,1,0.5,0.5,0,-8116.282102093871,-8631.9727481837
36,ksqexp,1,0.5,1,0.5,-70.29597012846044,-78.13630488671433
37,ksqexp,1,0.5,1,0.1,-57.327381981554666,-153.429714063596
38,ksqexp,1,0.5,1,0.05,-160.1956170068768,-409.381444000109
39,ksqexp,1,0.5,1,0.01,-990.0356106115213,-1445.1478743238322
40,ksqexp,1,0.5,1,0,-3946.884564792953,-4226.843513806706
41,ksqexp,1,0.5,1.5,0.5,-73.5244655473945,-82.60037081770906
42,ksqexp,1,0.5,1.5,0.1,-49.93150466557165,-139.89139923918538
43,ksqexp,1,0.5,1.5,0.05,-109.81714799495185,-323.79884013272397
44,ksqexp,1,0.5,1.5,0.01,-793.6815608857277,-1077.301978242665
45,ksqexp,1,0.5,1.5,0,-2566.5034965299715,-2767.885367634629
46,ksqexp,1,1,0.5,0.5,-62.96609939487027,-71.5375355156229
47,ksqexp,1,1,0.5,0.1,34.3456187844768,-6.6820091394836165
48,ksqexp,1,1,0.5,0.05,46.66242518541022,2.834338125067961
49,ksqexp,1,1,0.5,0.01,-6.22163145088002,-69.07760470093109
50,ksqexp,1,1,0.5,0,-62.44033682920566,-138.3656597335585
51,ksqexp,1,1,1,0.5,-69.94904465871033,-80.54795329102957
52,ksqexp,1,1,1,0.1,20.04773068294755,-13.052878791978294
53,ksqexp,1,1,1,0.05,32.43852103419944,-3.1739771393148093
54,ksqexp,1,1,1,0.01,20.86447725617841,-32.130689547702
55,ksqexp,1,1,1,0,6.822589827635367,-53.25404475721347
56,ksqexp,1,1,1.5,0.5,-75.3810079603617,-87.27122589433398
57,ksqexp,1,1,1.5,0.1,9.28127507661779,-21.557101612146013
58,ksqexp,1,1,1.5,0.05,22.47484357091327,-11.433577158386283
59,ksqexp,1,1,1.5,0.01,24.685195289349338,-24.79427433413413
60,ksqexp,1,1,1.5,0,20.491765833176608,-34.301972766523924
61,ksqexp,1,1.5,0.5,0.5,-62.833644152851775,-72.31252197564038
62,ksqexp,1,1.5,0.5,0.1,28.401774303170523,-3.4069631861124217
63,ksqexp,1,1.5,0.5,0.05,45.10533444505727,8.59239265037938
64,ksqexp,1,1.5,0.5,0.01,57.77147250917838,7.980177868084069
65,ksqexp,1,1.5,0.5,0,59.080830821917154,5.141902827127579
66,ksqexp,1,1.5,1,0.5,-72.77246491199794,-84.90511320555913
67,ksqexp,1,1.5,1,0.1,6.587053481462664,-24.80391465730326
68,ksqexp,1,1.5,1,0.05,21.776764567769494,-14.043676585100878
69,ksqexp,1,1.5,1,0.01,37.94453500075097,-8.58328151746547
70,ksqexp,1,1.5,1,0,40.54048600169017,-8.542951393678731
71,ksqexp,1,1.5,1.5,0.5,-80.23776103527217,-94.35195044257888
72,ksqexp,1,1.5,1.5,0.1,-7.75108868145613,-39.49815227399865
73,ksqexp,1,1.5,1.5,0.05,6.530511925998251,-29.44384970492365
74,ksqexp,1,1.5,1.5,0.01,22.616233652302874,-22.955902060340566
75,ksqexp,1,1.5,1.5,0,24.941904487593256,-22.52303604488162
76,ksqexp,1,2,0.5,0.5,-63.512774839153835,-73.48781327984064
77,ksqexp,1,2,0.5,0.1,22.972764792350134,-9.508843083451339
78,ksqexp,1,2,0.5,0.05,39.53695533392108,1.5715148311256746
79,ksqexp,1,2,0.5,0.01,56.14345010857326,8.350078686108484
