model_no,k_name,l1,l2,b,lppd_exact
1,ksqexp,1,1,0.5,-499115.87278378755
2,ksqexp,1,1,1,-249427.0465261328
3,ksqexp,1,1,1.5,-166207.1040691973
4,ksqexp,1,2,0.5,-1173.4066983980017
5,ksqexp,1,2,1,-569.0893626657521
6,ksqexp,1,2,1.5,-377.4175488172094
7,ksqexp,1,3,0.5,-125.78097027970023
8,ksqexp,1,3,1,-75.50822794974123
9,ksqexp,1,3,1.5,-68.51794584301402
10,ksqexp,1,4,0.5,-48.382219502133424
11,ksqexp,1,4,1,-45.578485187424114
12,ksqexp,1,4,1.5,-54.411205763077376
13,ksqexp,1,6,0.5,-15.371104276577263
14,ksqexp,1,6,1,-35.15194356605752
15,ksqexp,1,6,1.5,-51.5128553455366
16,ksqexp,1,8,0.5,-6.044434871136017
17,ksqexp,1,8,1,-33.237556813783094
18,ksqexp,1,8,1.5,-52.069229478059135
19,ksqexp,1,10,0.5,-2.8396868181838584
20,ksqexp,1,10,1,-33.29954067990745
21,ksqexp,1,10,1.5,-53.22012398399183
22,ksqexp,1.25,1,0.5,-22193921.629201885
23,ksqexp,1.25,1,1,-11098585.574472073
24,ksqexp,1.25,1,1.5,-7399330.8737823265
25,ksqexp,1.25,2,0.5,-25978.146492865173
26,ksqexp,1.25,2,1,-12903.413550179088
27,ksqexp,1.25,2,1.5,-8554.93578291659
28,ksqexp,1.25,3,0.5,-1839.618847785508
29,ksqexp,1.25,3,1,-880.574365368055
30,ksqexp,1.25,3,1.5,-570.6601655212218
31,ksqexp,1.25,4,0.5,-530.6185245220572
32,ksqexp,1.25,4,1,-241.94985110299046
33,ksqexp,1.25,4,1.5,-155.49425815078865
34,ksqexp,1.25,6,0.5,-154.77382336320088
35,ksqexp,1.25,6,1,-63.637347476439466
36,ksqexp,1.25,6,1.5,-43.02582078316197
37,ksqexp,1.25,8,0.5,-51.295795236555925
38,ksqexp,1.25,8,1,-15.543524489663067
39,ksqexp,1.25,8,1.5,-13.393399563409096
40,ksqexp,1.25,10,0.5,-5.2798427502867815
41,ksqexp,1.25,10,1,5.357715078911944
42,ksqexp,1.25,10,1.5,-0.8637309826133787
43,ksqexp,1.5,1,0.5,-1205406448.3109586
44,ksqexp,1.5,1,1,-612504171.9238046
45,ksqexp,1.5,1,1.5,-410563683.9743206
46,ksqexp,1.5,2,0.5,-719038.6989505445
47,ksqexp,1.5,2,1,-359359.95520542044
48,ksqexp,1.5,2,1.5,-239475.745583556
49,ksqexp,1.5,3,0.5,-34363.60368993083
50,ksqexp,1.5,3,1,-17079.587314953107
51,ksqexp,1.5,3,1.5,-11328.013744878937
52,ksqexp,1.5,4,0.5,-7750.14249693087
53,ksqexp,1.5,4,1,-3797.3492420605194
54,ksqexp,1.5,4,1.5,-2489.518675421199
55,ksqexp,1.5,6,0.5,-2306.83251692854
56,ksqexp,1.5,6,1,-1090.7720501169067
57,ksqexp,1.5,6,1.5,-695.1858483093679
58,ksqexp,1.5,8,0.5,-1243.7861531834787
59,ksqexp,1.5,8,1,-564.0919399445831
60,ksqexp,1.5,8,1.5,-347.29449694765685
61,ksqexp,1.5,10,0.5,-771.1880634494484
62,ksqexp,1.5,10,1,-330.37726407866325
63,ksqexp,1.5,10,1.5,-193.20762781474795
64,ksqexp,1.75,1,0.5,-18935141911.34518
65,ksqexp,1.75,1,1,-13619549247.488205
66,ksqexp,1.75,1,1.5,-10877220147.875618
67,ksqexp,1.75,2,0.5,-18529334.702205498
68,ksqexp,1.75,2,1,-9267369.989010353
69,ksqexp,1.75,2,1.5,-6178751.751952981
70,ksqexp,1.75,3,0.5,-623386.4739107152
71,ksqexp,1.75,3,1,-311526.07355847297
72,ksqexp,1.75,3,1.5,-207581.2781148383
73,ksqexp,1.75,4,0.5,-106356.82334203825
74,ksqexp,1.75,4,1,-53041.518592518165
75,ksqexp,1.75,4,1.5,-35279.48637579862
76,ksqexp,1.75,6,0.5,-24422.758146086122
77,ksqexp,1.75,6,1,-12096.725240721862
78,ksqexp,1.75,6,1.5,-7997.8131957623045
79,ksqexp,1.75,8,0.5,-13744.200133493461
80,ksqexp,1.75,8,1,-6763.989557059924
81,ksqexp,1.75,8,1.5,-4447.019427713844
82,ksqexp,1.75,10,0.5,-9425.926613112732
83,ksqexp,1.75,10,1,-4607.997145755896
84,ksqexp,1.75,10,1.5,-3011.7876701102023
85,ksqexp,2,1,0.5,-62089243113.92992
86,ksqexp,2,1,1,-47630941448.34712
87,ksqexp,2,1,1.5,-40419657242.34926
88,ksqexp,2,2,0.5,-409986352.1381172
89,ksqexp,2,2,1,-207503185.33126825
90,ksqexp,2,2,1.5,-138902347.44028458
91,ksqexp,2,3,0.5,-10508477.308595695
92,ksqexp,2,3,1,-5255144.002210231
93,ksqexp,2,3,1.5,-3503535.3528132
94,ksqexp,2,4,0.5,-1407018.702833745
95,ksqexp,2,4,1,-703330.0692856563
96,ksqexp,2,4,1.5,-468768.793587271
97,ksqexp,2,6,0.5,-244364.56460733825
98,ksqexp,2,6,1,-122015.36516180813
99,ksqexp,2,6,1.5,-81241.8181171673
100,ksqexp,2,8,0.5,-135468.71721253224
101,ksqexp,2,8,1,-67575.91242590031
102,ksqexp,2,8,1.5,-44954.66512616021
103,ksqexp,2,10,0.5,-98773.85232916474
104,ksqexp,2,10,1,-49232.292673151154
105,ksqexp,2,10,1.5,-32728.161678490174
106,kexp,1,1,0.5,-245.63187003153982
107,kexp,1,1,1,-170.16183159900834
108,kexp,1,1,1.5,-154.7724508045584
109,kexp,1,2,0.5,-142.53418272053744
110,kexp,1,2,1,-127.75456277290233
111,kexp,1,2,1.5,-132.59532147383945
112,kexp,1,3,0.5,-108.55212626124052
113,kexp,1,3,1,-114.1298066410911
114,kexp,1,3,1.5,-125.7563321179323
115,kexp,1,4,0.5,-92.1529864867888
116,kexp,1,4,1,-107.53047941475982
117,kexp,1,4,1.5,-122.423609074332
118,kexp,1,6,0.5,-77.04388259644227
119,kexp,1,6,1,-101.41667969804219
120,kexp,1,6,1.5,-119.30824408217251
121,kexp,1,8,0.5,-70.46732754199405
122,kexp,1,8,1,-98.74234776389052
123,kexp,1,8,1.5,-117.93465318812405
124,kexp,1,10,0.5,-67.05801686988805
125,kexp,1,10,1,-97.34835364551024
126,kexp,1,10,1.5,-117.21243125432066
127,kexp,1.25,1,0.5,-287.5615004206483
128,kexp,1.25,1,1,-186.16229007869674
129,kexp,1.25,1,1.5,-162.12985198082146
130,kexp,1.25,2,0.5,-153.86745192879064
131,kexp,1.25,2,1,-129.0190575903203
132,kexp,1.25,2,1.5,-130.50355816092397
133,kexp,1.25,3,0.5,-110.05584942806266
134,kexp,1.25,3,1,-110.81724315136533
135,kexp,1.25,3,1.5,-120.83833974267345
136,kexp,1.25,4,0.5,-89.24862016212032
137,kexp,1.25,4,1,-102.21610904182847
138,kexp,1.25,4,1.5,-116.30590401864005
139,kexp,1.25,6,0.5,-70.63244542649407
140,kexp,1.25,6,1,-94.55696280697579
141,kexp,1.25,6,1.5,-112.29910061739918
142,kexp,1.25,8,0.5,-62.8665245280442
143,kexp,1.25,8,1,-91.3856360646888
144,kexp,1.25,8,1.5,-110.65930526050515
145,kexp,1.25,10,0.5,-58.973779182039024
146,kexp,1.25,10,1,-89.8045596240577
147,kexp,1.25,10,1.5,-109.84878512166725
148,kexp,1.5,1,0.5,-331.25512622853245
149,kexp,1.5,1,1,-203.69615908317158
150,kexp,1.5,1,1.5,-170.94380205047793
151,kexp,1.5,2,0.5,-166.33388486814036
152,kexp,1.5,2,1,-131.29315296448038
153,kexp,1.5,2,1.5,-129.38020767995536
154,kexp,1.5,3,0.5,-112.47147812885743
155,kexp,1.5,3,1,-108.28482652857441
156,kexp,1.5,3,1.5,-116.65657467866748
157,kexp,1.5,4,0.5,-87.20058334961765
158,kexp,1.5,4,1,-97.58947517906165
159,kexp,1.5,4,1.5,-110.81973780577813
160,kexp,1.5,6,0.5,-65.10602815360481
161,kexp,1.5,6,1,-88.34040059170536
162,kexp,1.5,6,1.5,-105.85249008800064
163,kexp,1.5,8,0.5,-56.21129122545999
164,kexp,1.5,8,1,-84.67702674373272
165,kexp,1.5,8,1.5,-103.93290393342508
166,kexp,1.5,10,0.5,-51.88485322785412
167,kexp,1.5,10,1,-82.91939608309113
168,kexp,1.5,10,1.5,-103.03154238510693
169,kexp,1.75,1,0.5,-376.31873970294225
170,kexp,1.75,1,1,-222.43609370507042
171,kexp,1.75,1,1.5,-180.90917705446165
172,kexp,1.75,2,0.5,-179.81609623409187
173,kexp,1.75,2,1,-134.48161834521272
174,kexp,1.75,2,1.5,-129.13742439887142
175,kexp,1.75,3,0.5,-115.75027850871906
176,kexp,1.75,3,1,-106.52172899308341
177,kexp,1.75,3,1.5,-113.21284450470307
178,kexp,1.75,4,0.5,-85.97841348142661
179,kexp,1.75,4,1,-93.6734361462207
180,kexp,1.75,4,1.5,-106.0057423847126
181,kexp,1.75,6,0.5,-60.405680387831346
182,kexp,1.75,6,1,-82.79587928378149
183,kexp,1.75,6,1.5,-100.02657759935876
184,kexp,1.75,8,0.5,-50.397663648816085
185,kexp,1.75,8,1,-78.63160506603279
186,kexp,1.75,8,1.5,-97.81021755537304
187,kexp,1.75,10,0.5,-45.65088548673051
188,kexp,1.75,10,1,-76.69516140983973
189,kexp,1.75,10,1.5,-96.81055206781299
190,kexp,2,1,0.5,-422.4521662118276
191,kexp,2,1,1,-242.13000836017858
192,kexp,2,1,1.5,-191.78992109117743
193,kexp,2,2,0.5,-194.17493293585542
194,kexp,2,2,1,-138.45884698388645
195,kexp,2,2,1.5,-129.6541170164297
196,kexp,2,3,0.5,-119.78815576586307
197,kexp,2,3,1,-105.4465678312028
198,kexp,2,3,1.5,-110.43333720312242
