model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-30.38071598077544,-32.56307951285113
2,ksqexp,1,0.1,0.5,0.1,-281.1818404566616,-288.0027118894126
3,ksqexp,1,0.1,0.5,0.05,-1109.9739731884586,-1117.978969134536
4,ksqexp,1,0.1,0.5,0.01,-17923.044980433177,-17947.664211906143
5,ksqexp,1,0.1,0.5,0,-1796966105999.3916,-1796966105310.2734
6,ksqexp,1,0.1,1,0.5,-31.086142093064478,-33.163255631241135
7,ksqexp,1,0.1,1,0.1,-278.69043310076876,-283.53113785717613
8,ksqexp,1,0.1,1,0.05,-1033.3405162802776,-1040.9307201343206
9,ksqexp,1,0.1,1,0.01,-17080.76121016377,-17075.03302241417
10,ksqexp,1,0.1,1,0,-1794037034102.7114,-1794037033759.654
11,ksqexp,1,0.1,1.5,0.5,-31.779660769410622,-33.87159553008527
12,ksqexp,1,0.1,1.5,0.1,-275.4381747163103,-279.6315055423457
13,ksqexp,1,0.1,1.5,0.05,-974.5588750431291,-982.4283127881282
14,ksqexp,1,0.1,1.5,0.01,-16896.692631422862,-16882.134032257964
15,ksqexp,1,0.1,1.5,0,-1770003587742.345,-1770003587514.6392
16,ksqexp,1,0.2,0.5,0.5,-29.21639844234753,-31.57272681924417
17,ksqexp,1,0.2,0.5,0.1,-214.60763178893615,-221.92401911131225
18,ksqexp,1,0.2,0.5,0.05,-726.6947960770771,-733.400584558788
19,ksqexp,1,0.2,0.5,0.01,-16794.792386141897,-16787.194562680845
20,ksqexp,1,0.2,0.5,0,-1212717941484.8535,-1212717941487.4797
21,ksqexp,1,0.2,1,0.5,-30.17424929875422,-32.42899808812994
22,ksqexp,1,0.2,1,0.1,-193.99336773670433,-199.28592405905923
23,ksqexp,1,0.2,1,0.05,-682.7138821733766,-685.8424732675251
24,ksqexp,1,0.2,1,0.01,-16540.93403836347,-16539.82022720689
25,ksqexp,1,0.2,1,0,-1238333321173.4856,-1238333321176.6628
26,ksqexp,1,0.2,1.5,0.5,-31.18124910795294,-33.437991944614005
27,ksqexp,1,0.2,1.5,0.1,-184.53272128053985,-188.9040873564468
28,ksqexp,1,0.2,1.5,0.05,-669.8565858788423,-672.0732868807129
29,ksqexp,1,0.2,1.5,0.01,-16298.273755082735,-16299.090300309266
30,ksqexp,1,0.2,1.5,0,-1224880437094.713,-1224880437097.9878
31,ksqexp,1,0.5,0.5,0.5,-26.972655253082298,-29.569621697180825
32,ksqexp,1,0.5,0.5,0.1,-156.31301919878692,-164.05275876024157
33,ksqexp,1,0.5,0.5,0.05,-609.1048056802342,-619.8857672405663
34,ksqexp,1,0.5,0.5,0.01,-14299.958934458113,-14313.672305703873
35,ksqexp,1,0.5,0.5,0,-760062140.7898614,-760062159.6328689
36,ksqexp,1,0.5,1,0.5,-28.802307935155145,-31.358480753825187
37,ksqexp,1,0.5,1,0.1,-157.8269374063097,-164.47709688550242
38,ksqexp,1,0.5,1,0.05,-593.1991227261283,-601.4703889820595
39,ksqexp,1,0.5,1,0.01,-14234.273948062768,-14243.60776307264
40,ksqexp,1,0.5,1,0,-380126402.06241864,-380126413.88141996
41,ksqexp,1,0.5,1.5,0.5,-30.50294551427433,-33.13009846948184
42,ksqexp,1,0.5,1.5,0.1,-158.82903810802335,-165.0449134657838
43,ksqexp,1,0.5,1.5,0.05,-586.2222936794269,-593.4749110306717
44,ksqexp,1,0.5,1.5,0.01,-14202.644547094043,-14210.495415833693
45,ksqexp,1,0.5,1.5,0,-253438799.52306166,-253438809.0007195
46,ksqexp,1,1,0.5,0.5,-27.765920929045443,-30.916555332942252
47,ksqexp,1,1,0.5,0.1,-145.84766810775977,-155.77246031507843
48,ksqexp,1,1,0.5,0.05,-588.1007287512309,-599.3368851330082
49,ksqexp,1,1,0.5,0.01,-14236.713631536388,-14249.529729134163
50,ksqexp,1,1,0.5,0,-327285.6125968029,-327300.23813458637
51,ksqexp,1,1,1,0.5,-30.739924043832012,-34.109642958480684
52,ksqexp,1,1,1,0.1,-152.23717619003884,-160.38834768869708
53,ksqexp,1,1,1,0.05,-605.7761116465546,-614.5837190441637
54,ksqexp,1,1,1,0.01,-13718.70618697376,-13728.406936401663
55,ksqexp,1,1,1,0,-163640.6504066165,-163651.03830160105
56,ksqexp,1,1,1.5,0.5,-33.17065558598044,-36.79083352723117
57,ksqexp,1,1,1.5,0.1,-157.30329429405108,-164.8281263750939
58,ksqexp,1,1,1.5,0.05,-616.1122304676796,-624.0773763707153
59,ksqexp,1,1,1.5,0.01,-13401.863594161206,-13410.46800887079
60,ksqexp,1,1,1.5,0,-109095.11384449796,-109104.08919187801
61,ksqexp,1,1.5,0.5,0.5,-28.626412100793193,-32.248977150840695
62,ksqexp,1,1.5,0.5,0.1,-155.7976306637631,-166.57385892801648
63,ksqexp,1,1.5,0.5,0.05,-608.5706285988241,-620.8148158660541
64,ksqexp,1,1.5,0.5,0.01,-5059.435295321294,-5073.015732473071
65,ksqexp,1,1.5,0.5,0,-6726.225849379152,-6739.875046781136
66,ksqexp,1,1.5,1,0.5,-31.95202645237986,-35.81362811504342
67,ksqexp,1,1.5,1,0.1,-163.340012996317,-172.1439463665128
68,ksqexp,1,1.5,1,0.05,-588.7161405374513,-598.2676793655127
69,ksqexp,1,1.5,1,0.01,-2898.573443942968,-2908.619760730534
70,ksqexp,1,1.5,1,0,-3368.5263529370595,-3378.5901057996753
71,ksqexp,1,1.5,1.5,0.5,-34.67456910034798,-38.799806972969556
72,ksqexp,1,1.5,1.5,0.1,-167.38144766749372,-175.48147584589063
73,ksqexp,1,1.5,1.5,0.05,-560.6142177426384,-569.2067523007169
74,ksqexp,1,1.5,1.5,0.01,-2034.0258563338239,-2042.8860201441644
75,ksqexp,1,1.5,1.5,0,-2252.0838418310705,-2260.95244651386
76,ksqexp,1,2,0.5,0.5,-29.22937200898436,-33.08514315247108
77,ksqexp,1,2,0.5,0.1,-144.17649954695472,-155.5019707198697
78,ksqexp,1,2,0.5,0.05,-378.34792519630184,-391.0310717411644
79,ksqexp,1,2,0.5,0.01,-732.1499319861788,-745.3581627117745
80,ksqexp,1,2,0.5,0,-760.0432106661981,-773.2656907051229
81,ksqexp,1,2,1,0.5,-32.849780545945656,-36.913854197493436
82,ksqexp,1,2,1,0.1,-133.74320054857523,-142.86184414672044
83,ksqexp,1,2,1,0.05,-264.34737707814935,-274.042944464655
84,ksqexp,1,2,1,0.01,-382.11154521028334,-391.9874201544931
85,ksqexp,1,2,1,0,-389.1838096625289,-399.06565929443263
86,ksqexp,1,2,1.5,0.5,-35.770528841976365,-40.080823402697504
87,ksqexp,1,2,1.5,0.1,-123.5536399013086,-131.86984791141646
88,ksqexp,1,2,1.5,0.05,-206.70200565076712,-215.36331218552473
89,ksqexp,1,2,1.5,0.01,-265.20234873887284,-273.9668936704654
90,ksqexp,1,2,1.5,0,-268.35466606257177,-277.1229722254648
91,ksqexp,1,2.5,0.5,0.5,-29.57774867348988,-33.51633688044051
92,ksqexp,1,2.5,0.5,0.1,-100.19523930982929,-111.62738851628494
93,ksqexp,1,2.5,0.5,0.05,-165.6754115428384,-178.20483229410047
94,ksqexp,1,2.5,0.5,0.01,-210.80236368186456,-223.68982947634632
95,ksqexp,1,2.5,0.5,0,-213.21874631037315,-226.11951833616385
96,ksqexp,1,2.5,1,0.5,-33.338052900925206,-37.467912690615314
97,ksqexp,1,2.5,1,0.1,-79.59163977827019,-88.7075581669348
98,ksqexp,1,2.5,1,0.05,-104.47513524460206,-114.04840515739104
99,ksqexp,1,2.5,1,0.01,-117.04485249866094,-126.76248231840994
100,ksqexp,1,2.5,1,0,-117.64376162430632,-127.3671991268774
101,ksqexp,1,2.5,1.5,0.5,-36.318125293839145,-40.68435843667168
102,ksqexp,1,2.5,1.5,0.1,-69.61156730313148,-77.90026861658968
103,ksqexp,1,2.5,1.5,0.05,-82.55991447787622,-91.1307922768391
104,ksqexp,1,2.5,1.5,0.01,-88.31321928750218,-96.97385652008029
105,ksqexp,1,2.5,1.5,0,-88.57609015960797,-97.24041615443562
106,ksqexp,1,3,0.5,0.5,-29.681708168584308,-33.64315924577097
