model_no,k_name,l1,l2,b,meas_error,lppd_exact
1,ksqexp,1,0.25,0.5,NA,-1573142.8966725299
2,ksqexp,1,0.25,1,NA,-786478.9234763334
3,ksqexp,1,0.25,1.5,NA,-524233.8849862449
4,ksqexp,1,0.5,0.5,NA,-3569.8568647602556
5,ksqexp,1,0.5,1,NA,-1731.0781670942652
6,ksqexp,1,0.5,1.5,NA,-1127.2214448756774
7,ksqexp,1,1,0.5,NA,-19.782336026665686
8,ksqexp,1,1,1,NA,-12.128657950690389
9,ksqexp,1,1,1.5,NA,-18.647066394632933
10,ksqexp,1,2,0.5,NA,2.5942806387627892
11,ksqexp,1,2,1,NA,-22.987608845122985
12,ksqexp,1,2,1.5,NA,-40.58453983156141
13,ksqexp,1,3,0.5,NA,-5.251404743503063
14,ksqexp,1,3,1,NA,-32.31137728170289
15,ksqexp,1,3,1.5,NA,-50.40100261967075
16,ksqexp,1,4,0.5,NA,-9.082540104866888
17,ksqexp,1,4,1,NA,-36.20777134297081
18,ksqexp,1,4,1.5,NA,-54.319149580908565
19,ksqexp,1,5,0.5,NA,-10.920912490155711
20,ksqexp,1,5,1,NA,-38.056858398118976
21,ksqexp,1,5,1.5,NA,-56.17180819267653
22,ksqexp,1.25,0.25,0.5,NA,-109010856.26964012
23,ksqexp,1.25,0.25,1,NA,-55046210.38316625
24,ksqexp,1.25,0.25,1.5,NA,-36819161.014469095
25,ksqexp,1.25,0.5,0.5,NA,-132340.16067773438
26,ksqexp,1.25,0.5,1,NA,-66054.17260471534
27,ksqexp,1.25,0.5,1.5,NA,-43967.638099661315
28,ksqexp,1.25,1,0.5,NA,-1109.4874467090901
29,ksqexp,1.25,1,1,NA,-509.8195318059071
30,ksqexp,1.25,1,1.5,NA,-318.9998467314956
31,ksqexp,1.25,2,0.5,NA,5.770091964543262
32,ksqexp,1.25,2,1,NA,17.469844531553587
33,ksqexp,1.25,2,1.5,NA,12.300127592986946
34,ksqexp,1.25,3,0.5,NA,38.33136349187767
35,ksqexp,1.25,3,1,NA,25.993766801393473
36,ksqexp,1.25,3,1.5,NA,12.811600081748324
37,ksqexp,1.25,4,0.5,NA,38.22259769060149
38,ksqexp,1.25,4,1,NA,22.995705827747486
39,ksqexp,1.25,4,1.5,NA,8.850440716020513
40,ksqexp,1.25,5,0.5,NA,35.772346010004895
41,ksqexp,1.25,5,1,NA,20.340723444173417
42,ksqexp,1.25,5,1.5,NA,6.127214764728896
43,ksqexp,1.5,0.25,0.5,NA,-2791562966.592753
44,ksqexp,1.5,0.25,1,NA,-1920052160.0982492
45,ksqexp,1.5,0.25,1.5,NA,-1474523826.0351217
46,ksqexp,1.5,0.5,0.5,NA,-4981350.617208825
47,ksqexp,1.5,0.5,1,NA,-2491691.5493063633
48,ksqexp,1.5,0.5,1.5,NA,-1661280.3333894305
49,ksqexp,1.5,1,0.5,NA,-25790.85482771848
50,ksqexp,1.5,1,1,NA,-12796.305916997615
51,ksqexp,1.5,1,1.5,NA,-8473.84930061167
52,ksqexp,1.5,2,0.5,NA,-922.1719885604721
