model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.1,0.5,0.5,-45.865941424754695,-50.14587494262688
2,ksqexp,1,0.1,0.5,0.1,-373.4689232190103,-418.98308326642683
3,ksqexp,1,0.1,0.5,0.05,-1564.3119026924733,-1770.1872192090998
4,ksqexp,1,0.1,0.5,0.01,-37349.5962977699,-44005.84072075131
5,ksqexp,1,0.1,0.5,0,-4271892035.4145207,-4271965643.577589
6,ksqexp,1,0.1,1,0.5,-47.18810618943326,-51.17582925405589
7,ksqexp,1,0.1,1,0.1,-369.7805880142664,-418.9200132685389
8,ksqexp,1,0.1,1,0.05,-1594.7822151047692,-1823.7728475194401
9,ksqexp,1,0.1,1,0.01,-33065.04866751988,-39097.12654841298
10,ksqexp,1,0.1,1,0,-2509273441.1562524,-2509310254.067672
11,ksqexp,1,0.1,1.5,0.5,-48.39090607523301,-52.301747036622665
12,ksqexp,1,0.1,1.5,0.1,-373.64448046698215,-425.9276523661485
13,ksqexp,1,0.1,1.5,0.05,-1610.5608897348973,-1852.1879256778707
14,ksqexp,1,0.1,1.5,0.01,-30133.421081547873,-35496.101331201324
15,ksqexp,1,0.1,1.5,0,-1775278899.4836543,-1775303445.0423005
16,ksqexp,1,0.2,0.5,0.5,-45.06181526738937,-49.715442730968455
17,ksqexp,1,0.2,0.5,0.1,-346.0966996729198,-399.77549532544947
18,ksqexp,1,0.2,0.5,0.05,-1116.5616541135219,-1325.0109315129234
19,ksqexp,1,0.2,0.5,0.01,-5483.471372885877,-6292.639272258922
20,ksqexp,1,0.2,0.5,0,-2818783.274681596,-2820127.3816716587
21,ksqexp,1,0.2,1,0.5,-48.233996036943054,-52.881263479550846
22,ksqexp,1,0.2,1,0.1,-319.69516920268467,-377.9197084100547
23,ksqexp,1,0.2,1,0.05,-885.3741975573355,-1062.0072406665136
24,ksqexp,1,0.2,1,0.01,-4019.5934562089133,-4462.265515414758
25,ksqexp,1,0.2,1,0,-1409458.642228029,-1410134.90336682
26,ksqexp,1,0.2,1.5,0.5,-50.818641131045744,-55.666955648269095
27,ksqexp,1,0.2,1.5,0.1,-298.25410237623373,-356.61476269574666
28,ksqexp,1,0.2,1.5,0.05,-741.6776340940238,-891.772699386898
29,ksqexp,1,0.2,1.5,0.01,-3513.7834476021762,-3822.005818083674
30,ksqexp,1,0.2,1.5,0,-939642.8033245498,-940096.4490623003
31,ksqexp,1,0.5,0.5,0.5,-45.52939849794879,-50.61139841038923
32,ksqexp,1,0.5,0.5,0.1,-91.41112021882161,-98.36072043562412
33,ksqexp,1,0.5,0.5,0.05,-122.03750550777147,-128.98205374587278
34,ksqexp,1,0.5,0.5,0.01,-388.43372944440495,-396.96847565524234
35,ksqexp,1,0.5,0.5,0,-1061.213247585999,-1070.3146039398205
36,ksqexp,1,0.5,1,0.5,-49.819732740685986,-55.14293050259247
37,ksqexp,1,0.5,1,0.1,-65.20022644634986,-73.75230767345097
38,ksqexp,1,0.5,1,0.05,-76.44416060455616,-85.65440031127065
39,ksqexp,1,0.5,1,0.01,-282.86790341029786,-292.9220020522933
40,ksqexp,1,0.5,1,0,-534.3198511108591,-544.5301907217961
41,ksqexp,1,0.5,1.5,0.5,-53.03396171373938,-58.7365025853765
42,ksqexp,1,0.5,1.5,0.1,-56.970689068338125,-66.37528469390803
43,ksqexp,1,0.5,1.5,0.05,-64.13779418042134,-74.1326564875524
44,ksqexp,1,0.5,1.5,0.01,-230.05803692470226,-240.5684011631549
45,ksqexp,1,0.5,1.5,0,-363.31074204615135,-373.8907427418906
46,ksqexp,1,1,0.5,0.5,-43.55441742194353,-48.66259825925086
