model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.2,0.5,0.5,-65.2653152678115,-68.55299851977752
2,ksqexp,1,0.2,0.5,0.1,-681.1005677266021,-701.2830263711159
3,ksqexp,1,0.2,0.5,0.05,-1908.4742969243555,-1959.3520350795322
4,ksqexp,1,0.2,0.5,0.01,-30757.99581444812,-31554.39309518926
5,ksqexp,1,0.2,0.5,0,-17979572220.626022,-17990682281.824333
6,ksqexp,1,0.2,1,0.5,-64.24558748946211,-66.87702567257789
7,ksqexp,1,0.2,1,0.1,-568.9454268078869,-584.9359544741807
8,ksqexp,1,0.2,1,0.05,-1630.6250020511295,-1671.5676451968825
9,ksqexp,1,0.2,1,0.01,-28914.45003728021,-29895.33667406397
10,ksqexp,1,0.2,1,0,-9075555610.47422,-9081082624.44193
11,ksqexp,1,0.2,1.5,0.5,-63.8190532143402,-66.061974113405185
12,ksqexp,1,0.2,1.5,0.1,-510.94124109664415,-525.160418485729
13,ksqexp,1,0.2,1.5,0.05,-1520.2995951302653,-1556.0953004009066
14,ksqexp,1,0.2,1.5,0.01,-27918.406485666834,-29015.282194649466
15,ksqexp,1,0.2,1.5,0,-6069689037.947275,-6073367308.122533
16,ksqexp,1,0.5,0.5,0.5,-51.032387323241934,-54.268611750144586
17,ksqexp,1,0.5,0.5,0.1,-253.12463390353358,-262.54057529898745
18,ksqexp,1,0.5,0.5,0.05,-799.2286398133796,-814.5517771219618
19,ksqexp,1,0.5,0.5,0.01,-8608.159618935437,-8714.293506972832
20,ksqexp,1,0.5,0.5,0,-11850908.477903794,-12121328.17258192
21,ksqexp,1,0.5,1,0.5,-49.023678404614444,-51.717205624288944
22,ksqexp,1,0.5,1,0.1,-228.51452072988292,-234.54427114975354
23,ksqexp,1,0.5,1,0.05,-724.6465264628213,-737.8941119143958
24,ksqexp,1,0.5,1,0.01,-7332.4325495057765,-7387.254224466502
25,ksqexp,1,0.5,1,0,-5925495.014192731,-6060706.443482825
26,ksqexp,1,0.5,1.5,0.5,-48.97892503851877,-51.30067960254164
27,ksqexp,1,0.5,1.5,0.1,-220.41727868750505,-225.41066561509254
28,ksqexp,1,0.5,1.5,0.05,-671.8716865330558,-684.4819473844851
29,ksqexp,1,0.5,1.5,0.01,-6899.492111625082,-6934.303825556558
30,ksqexp,1,0.5,1.5,0,-3950340.910471999,-4040482.4361733133
31,ksqexp,1,1,0.5,0.5,-44.82222748066029,-48.03870521793727
32,ksqexp,1,1,0.5,0.1,-160.0259194901371,-166.9242359709586
33,ksqexp,1,1,0.5,0.05,-374.2595279717921,-378.90661518423855
34,ksqexp,1,1,0.5,0.01,-5886.495840573017,-5905.902454969778
35,ksqexp,1,1,0.5,0,-94974.81859457912,-94737.03110883854
36,ksqexp,1,1,1,0.5,-45.36756394662572,-48.09170967116895
37,ksqexp,1,1,1,0.1,-134.9008919843997,-138.41796769201292
38,ksqexp,1,1,1,0.05,-318.2695931119973,-321.3020751483419
39,ksqexp,1,1,1,0.01,-5607.353855777618,-5617.339241278023
40,ksqexp,1,1,1,0,-47496.00604892255,-47377.77404496121
41,ksqexp,1,1,1.5,0.5,-47.2202760490606,-49.62320971932389
42,ksqexp,1,1,1.5,0.1,-124.5557891152784,-127.10339478103705
43,ksqexp,1,1,1.5,0.05,-300.44660715879223,-303.24020329554804
44,ksqexp,1,1,1.5,0.01,-5344.831603701005,-5350.317512965905
45,ksqexp,1,1,1.5,0,-31672.873222766302,-31594.49305302249
46,ksqexp,1,1.5,0.5,0.5,-43.64160027953594,-46.90975849293273
47,ksqexp,1,1.5,0.5,0.1,-105.98672134493744,-114.71538867171009
48,ksqexp,1,1.5,0.5,0.05,-259.9077277356622,-272.42739225738825
49,ksqexp,1,1.5,0.5,0.01,-3512.365414761386,-3546.130168594722
50,ksqexp,1,1.5,0.5,0,-8926.384025849524,-8956.894460424997
51,ksqexp,1,1.5,1,0.5,-44.58966833095502,-47.41342622275421
52,ksqexp,1,1.5,1,0.1,-94.61237927147027,-100.28660605919447
53,ksqexp,1,1.5,1,0.05,-244.14110333808733,-253.38579600781256
54,ksqexp,1,1.5,1,0.01,-2540.6800395336722,-2558.396720175587
55,ksqexp,1,1.5,1,0,-4475.368038460312,-4491.322107917857
56,ksqexp,1,1.5,1.5,0.5,-46.60613425838876,-49.14200671922838
57,ksqexp,1,1.5,1.5,0.1,-93.0257671222063,-97.73037492190333
58,ksqexp,1,1.5,1.5,0.05,-239.90993486547524,-247.68452656231227
59,ksqexp,1,1.5,1.5,0.01,-1992.1370650424187,-2004.2788226655814
60,ksqexp,1,1.5,1.5,0,-2994.8355165389335,-3005.937464310702
61,ksqexp,1,2,0.5,0.5,-42.37151508138818,-45.67744402333385
62,ksqexp,1,2,0.5,0.1,-81.65931559425636,-91.30615201833207
63,ksqexp,1,2,0.5,0.05,-202.70555218804228,-219.07252362671107
64,ksqexp,1,2,0.5,0.01,-1332.1218344687743,-1368.670262178387
65,ksqexp,1,2,0.5,0,-1799.3917222307596,-1838.2460599525596
66,ksqexp,1,2,1,0.5,-43.188506419929936,-46.04873823930339
67,ksqexp,1,2,1,0.1,-77.79943984254362,-84.64293634910933
68,ksqexp,1,2,1,0.05,-187.39728918642484,-199.1548491210516
69,ksqexp,1,2,1,0.01,-779.6275669616905,-799.1912222903273
70,ksqexp,1,2,1,0,-913.7107932182901,-933.8602949920366
71,ksqexp,1,2,1.5,0.5,-45.26961115262598,-47.842598061564416
72,ksqexp,1,2,1.5,0.1,-78.83041378663815,-84.65268784927855
73,ksqexp,1,2,1.5,0.05,-178.03794055360652,-187.52667256911417
74,ksqexp,1,2,1.5,0.01,-558.9777552558021,-572.6315265884406
75,ksqexp,1,2,1.5,0,-621.6233050427662,-635.5378614978299
76,ksqexp,1,2.5,0.5,0.5,-41.31875741225084,-44.56880808849398
77,ksqexp,1,2.5,0.5,0.1,-70.20586554218832,-79.78064125353181
78,ksqexp,1,2.5,0.5,0.05,-158.152695498391,-174.56622159725538
79,ksqexp,1,2.5,0.5,0.01,-530.8662893714088,-561.2763243335718
80,ksqexp,1,2.5,0.5,0,-597.6119772271168,-629.3370595833319
81,ksqexp,1,2.5,1,0.5,-42.25150428484213,-45.04705720316465
82,ksqexp,1,2.5,1,0.1,-67.96452979021468,-74.9451698026249
83,ksqexp,1,2.5,1,0.05,-135.8382463052763,-147.14975976358824
84,ksqexp,1,2.5,1,0.01,-296.3234429395482,-312.61452635904175
85,ksqexp,1,2.5,1,0,-313.98132922105566,-330.606962692522
86,ksqexp,1,2.5,1.5,0.5,-44.52820678119815,-47.04981872107542
87,ksqexp,1,2.5,1.5,0.1,-68.92914273383806,-74.8667655017243
88,ksqexp,1,2.5,1.5,0.05,-122.90945300875221,-131.8045259158554
89,ksqexp,1,2.5,1.5,0.01,-214.58641796418271,-226.02985895730217
90,ksqexp,1,2.5,1.5,0,-222.57726866434672,-234.169752506026
91,ksqexp,1,3,0.5,0.5,-40.6391455666627,-43.797631503224
92,ksqexp,1,3,0.5,0.1,-63.098900510360764,-72.28607940405325
93,ksqexp,1,3,0.5,0.05,-122.75755661062851,-137.59102561505037
94,ksqexp,1,3,0.5,0.01,-261.16973031010656,-284.3617567100806
95,ksqexp,1,3,0.5,0,-276.2098875370631,-300.05125070955063
96,ksqexp,1,3,1,0.5,-41.79139583929043,-44.506691941357886
97,ksqexp,1,3,1,0.1,-60.66998235928856,-67.34521008057548
98,ksqexp,1,3,1,0.05,-98.92012337627315,-108.72951651483945
99,ksqexp,1,3,1,0.01,-150.23797603885006,-162.8086266402461
100,ksqexp,1,3,1,0,-154.09211486467078,-166.8266979299026
101,ksqexp,1,3,1.5,0.5,-44.24429015695772,-46.71071901755855
102,ksqexp,1,3,1.5,0.1,-61.14329170270856,-66.75697647382032
103,ksqexp,1,3,1.5,0.05,-87.90102191763744,-95.49710673144182
104,ksqexp,1,3,1.5,0.01,-114.80452782463362,-123.76406715845818
105,ksqexp,1,3,1.5,0,-116.5256794852672,-125.55800251399721
106,ksqexp,1,3.5,0.5,0.5,-40.20712404225888,-43.2696420981143
107,ksqexp,1,3.5,0.5,0.1,-57.36843676244144,-66.01365498204538
108,ksqexp,1,3.5,0.5,0.05,-95.26848506480161,-108.0628646188111
109,ksqexp,1,3.5,0.5,0.01,-150.93274622580375,-168.37582671388543
110,ksqexp,1,3.5,0.5,0,-155.3598996850476,-173.11439361025643
111,ksqexp,1,3.5,1,0.5,-41.568542598286776,-44.21244441557692
112,ksqexp,1,3.5,1,0.1,-54.524230292666765,-60.706885977294355
113,ksqexp,1,3.5,1,0.05,-74.81496640574458,-83.03706064452973
114,ksqexp,1,3.5,1,0.01,-93.17494494628014,-102.84216136027607
115,ksqexp,1,3.5,1,0,-94.28880668015445,-104.03425853934395
116,ksqexp,1,3.5,1.5,0.5,-44.152541738238234,-46.5751459516726
117,ksqexp,1,3.5,1.5,0.1,-54.83657382394082,-59.9754956097745
118,ksqexp,1,3.5,1.5,0.05,-67.52669436805947,-73.87326739475793
119,ksqexp,1,3.5,1.5,0.01,-76.57882645303296,-83.61992735039674
120,ksqexp,1,3.5,1.5,0,-77.0712645359588,-84.14703570611863
121,ksqexp,1,4,0.5,0.5,-39.923647846048205,-42.89480110625583
122,ksqexp,1,4,0.5,0.1,-52.31813029929631,-60.32639914346279
123,ksqexp,1,4,0.5,0.05,-75.16847968134935,-85.98427454381527
124,ksqexp,1,4,0.5,0.01,-98.9026271181788,-112.20326519968556
