model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.2,0.5,0,-1586176.629981627,-1696214.7427234198
2,ksqexp,1,0.2,1,0,-793043.1060510749,-848065.5603263917
3,ksqexp,1,0.2,1.5,0,-528663.4769088884,-565345.9868961977
4,ksqexp,1,0.5,0.5,0,-3521.5403082126245,-3653.7767091168407
5,ksqexp,1,0.5,1,0,-1750.7320288850258,-1817.6748381148648
6,ksqexp,1,0.5,1.5,0,-1164.9974161450475,-1210.175692437439
7,ksqexp,1,1,0.5,0,-370.546647135139,-319.4377847047269
8,ksqexp,1,1,1,0,-196.72577659369068,-172.97177572139324
9,ksqexp,1,1,1.5,0,-143.32030365451527,-128.68458996725707
10,ksqexp,1,1.5,0.5,0,-185.124523491042,-149.52821127206042
11,ksqexp,1,1.5,1,0,-110.54044567747181,-95.00098510535541
12,ksqexp,1,1.5,1.5,0,-90.213903650836,-81.36006029492914
13,ksqexp,1,2,0.5,0,-127.33288022340143,-102.56393486819586
14,ksqexp,1,2,1,0,-84.47055338876697,-74.48997128519831
15,ksqexp,1,2,1.5,0,-74.71792835591947,-69.6668006698536
16,ksqexp,1,2.5,0.5,0,-107.39594977490886,-87.06827856069121
17,ksqexp,1,2.5,1,0,-76.10094430335516,-68.40353438556471
18,ksqexp,1,2.5,1.5,0,-70.20409305844963,-66.7167702396404
19,ksqexp,1,3,0.5,0,-99.35652655110262,-81.28971016745795
20,ksqexp,1,3,1,0,-73.14325823268697,-66.61372005008263
21,ksqexp,1,3,1.5,0,-68.94031937226158,-66.25654059012494
22,ksqexp,1,3.5,0.5,0,-95.70919940029077,-78.92249470582095
23,ksqexp,1,3.5,1,0,-72.09199367940877,-66.23272981699171
24,ksqexp,1,3.5,1.5,0,-68.7544090182093,-66.53762543323931
25,ksqexp,1,4,0.5,0,-93.84692545673099,-77.87705401680653
26,ksqexp,1,4,1,0,-71.74385763681744,-66.31942452317094
27,ksqexp,1,4,1.5,0,-68.91098560929966,-67.00169860449564
28,ksqexp,1,6,0.5,0,-90.00189062171823,-76.60308175646261
29,ksqexp,1,6,1,0,-71.10930688921046,-67.03877057581197
30,ksqexp,1,6,1.5,0,-69.34659622420214,-68.38548409481895
31,ksqexp,1,8,0.5,0,-85.5673170330183,-75.37759952456359
32,ksqexp,1,8,1,0,-69.4488680789972,-67.00474968123889
33,ksqexp,1,8,1.5,0,-68.61086900684427,-68.74861697936701
34,ksqexp,1,10,0.5,0,-80.87401439178844,-73.62123918333361
35,ksqexp,1,10,1,0,-67.41195238650535,-66.43516880781664
36,ksqexp,1,10,1.5,0,-67.45941563062073,-68.57462926189092
37,ksqexp,1,25,0.5,0,-63.20713975189928,-63.98140542005202
38,ksqexp,1,25,1,0,-59.45393760869208,-62.41946771048911
39,ksqexp,1,25,1.5,0,-62.73768747355474,-66.43363905324321
40,ksqexp,1.25,0.2,0.5,0,-7326947.598835738,-8497624.981875356
41,ksqexp,1.25,0.2,1,0,-3663622.6304855873,-4249140.599915705
42,ksqexp,1.25,0.2,1.5,0,-2442417.0470338995,-2832802.4597073486
43,ksqexp,1.25,0.5,0.5,0,-16678.554764123382,-18222.41379870326
44,ksqexp,1.25,0.5,1,0,-8312.14388811907,-9085.514974542493
