model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.2,0.5,0,-3969449836066.2725,-3629077729722.922
2,ksqexp,1,0.2,1,0,-3773326136155.0137,-3508968217170.211
3,ksqexp,1,0.2,1.5,0,-3727503389015.47,-3450892697065.4014
4,ksqexp,1,0.5,0.5,0,-476175381911.52563,-220299811469.21466
5,ksqexp,1,0.5,1,0,-400822483850.16974,-154162704715.4757
6,ksqexp,1,0.5,1.5,0,-341163307513.6754,-120436163085.46597
7,ksqexp,1,1,0.5,0,-26615286.642390713,-7353887.355170704
8,ksqexp,1,1,1,0,-13307797.033150695,-3676831.369243084
9,ksqexp,1,1,1.5,0,-8871815.718996355,-2451129.158695092
10,ksqexp,1,1.5,0.5,0,-228757.88215883131,-63330.27093450068
11,ksqexp,1,1.5,1,0,-114279.08984057508,-31602.098998645273
12,ksqexp,1,1.5,1.5,0,-76134.29915521521,-21040.863509296505
13,ksqexp,1,2,0.5,0,-26191.084829531235,-7528.226300304195
14,ksqexp,1,2,1,0,-13038.777315333844,-3744.196184669818
15,ksqexp,1,2,1.5,0,-8669.49987094455,-2497.678119951396
16,ksqexp,1,2.5,0.5,0,-7881.233399925595,-2430.511261622134
17,ksqexp,1,2.5,1,0,-3904.734337572168,-1216.2219060539262
18,ksqexp,1,2.5,1.5,0,-2594.059985694784,-826.2841461343731
19,ksqexp,1,3,0.5,0,-3631.9272969936906,-1220.4936349566183
20,ksqexp,1,3,1,0,-1793.4418487474668,-624.5736982113286
21,ksqexp,1,3,1.5,0,-1195.4387250807326,-440.7590823604735
22,ksqexp,1,3.5,0.5,0,-2256.401305589845,-816.8720074857699
23,ksqexp,1,3.5,1,0,-1115.6475556062148,-432.73159395631666
24,ksqexp,1,3.5,1.5,0,-750.221668528635,-319.5101532691755
25,ksqexp,1,4,0.5,0,-1771.1119204446481,-666.8485396171754
26,ksqexp,1,4,1,0,-880.9345598661001,-365.6515583388405
27,ksqexp,1,4,1.5,0,-599.0341367584798,-280.0779285775645
28,ksqexp,1,6,0.5,0,-1665.1571342708498,-614.2747869587625
29,ksqexp,1,6,1,0,-847.884607556295,-359.2921233202813
30,ksqexp,1,6,1.5,0,-590.2857960464381,-289.12326617824306
31,ksqexp,1,8,0.5,0,-1921.5279870665302,-681.8700392876727
32,ksqexp,1,8,1,0,-985.8778775549894,-402.8975930878992
33,ksqexp,1,8,1.5,0,-688.8198717815334,-324.73214175979615
34,ksqexp,1,10,0.5,0,-2148.429187758781,-748.3288738112209
35,ksqexp,1,10,1,0,-1104.610408884893,-441.40894132832625
36,ksqexp,1,10,1.5,0,-771.496179987891,-353.92766123869643
37,ksqexp,1,25,0.5,0,-2766.1619564529587,-946.2296150060772
38,ksqexp,1,25,1,0,-1425.3080939863576,-552.1906126768043
39,ksqexp,1,25,1.5,0,-993.1821705564221,-435.66964263783063
40,ksqexp,1.25,0.2,0.5,0,-4873503630038.784,-4582986807107.046
41,ksqexp,1.25,0.2,1,0,-4982768756964.892,-4516172201440.773
42,ksqexp,1.25,0.2,1.5,0,-5070364613916.143,-4492793768096.639
43,ksqexp,1.25,0.5,0.5,0,-582658330825.1039,-719999060370.322
44,ksqexp,1.25,0.5,1,0,-497962155302.6998,-632207405294.4177
45,ksqexp,1.25,0.5,1.5,0,-471746672457.03986,-572785751233.0458
46,ksqexp,1.25,1,0.5,0,-10351565606.688675,-1678478242.8696518
47,ksqexp,1.25,1,1,0,-5211238948.529146,-843686626.601856
48,ksqexp,1.25,1,1.5,0,-3482099908.649509,-563452729.7992353
49,ksqexp,1.25,1.5,0.5,0,-35007566.867312126,-5655710.480959265
50,ksqexp,1.25,1.5,1,0,-17504133.443969775,-2827783.1915359013
51,ksqexp,1.25,1.5,1.5,0,-11669413.79723072,-1885122.9069951824
52,ksqexp,1.25,2,0.5,0,-1819712.1215836632,-295296.9979063343
53,ksqexp,1.25,2,1,0,-909699.2694484177,-147571.57029618204
54,ksqexp,1.25,2,1.5,0,-606375.539791869,-98344.46869536022
55,ksqexp,1.25,2.5,0.5,0,-362489.31466217,-60339.21539204995
56,ksqexp,1.25,2.5,1,0,-181116.89388961165,-30123.46399862148
57,ksqexp,1.25,2.5,1.5,0,-120674.20093525697,-20066.366703714542
58,ksqexp,1.25,3,0.5,0,-128831.22251237858,-22301.0476042591
59,ksqexp,1.25,3,1,0,-64305.29313749925,-11121.901429324305
60,ksqexp,1.25,3,1.5,0,-42811.46917390617,-7410.343964155921
61,ksqexp,1.25,3.5,0.5,0,-60935.62165359565,-11072.8393312238
62,ksqexp,1.25,3.5,1,0,-30369.390687069663,-5519.704836300293
63,ksqexp,1.25,3.5,1.5,0,-20195.471040108936,-3683.4851962883645
64,ksqexp,1.25,4,0.5,0,-35345.62596788976,-6757.797041487656
65,ksqexp,1.25,4,1,0,-17583.481172688535,-3371.2739668601707
66,ksqexp,1.25,4,1.5,0,-11677.59123847698,-2257.2582576963514
67,ksqexp,1.25,6,0.5,0,-18417.530932635287,-3637.2935369537904
68,ksqexp,1.25,6,1,0,-9142.822001017512,-1834.4112690476113
69,ksqexp,1.25,6,1.5,0,-6066.077717327723,-1248.2758765012552
70,ksqexp,1.25,8,0.5,0,-20696.228165609547,-3874.2820695995174
71,ksqexp,1.25,8,1,0,-10294.8512648115,-1965.5861889352461
72,ksqexp,1.25,8,1.5,0,-6842.550994807811,-1344.1795927670612
73,ksqexp,1.25,10,0.5,0,-23620.238797968494,-4307.11706104496
74,ksqexp,1.25,10,1,0,-11764.134956520866,-2189.2820588550912
75,ksqexp,1.25,10,1.5,0,-7826.925705631292,-1498.162422101456
76,ksqexp,1.25,25,0.5,0,-31510.25294313888,-5713.575081488711
77,ksqexp,1.25,25,1,0,-15724.354940437857,-2907.7239794373595
78,ksqexp,1.25,25,1.5,0,-10477.214301946724,-1987.2656426446033
79,ksqexp,1.5,0.2,0.5,0,-5891532557271.153,-4871484461142.495
80,ksqexp,1.5,0.2,1,0,-5271270749198.081,-4752870353323.998
81,ksqexp,1.5,0.2,1.5,0,-5102908960704.59,-4685424416775.828
82,ksqexp,1.5,0.5,0.5,0,-4221486034838.5728,-1612392533270.6157
83,ksqexp,1.5,0.5,1,0,-3975225698465.6855,-1520047279463.863
84,ksqexp,1.5,0.5,1.5,0,-3666844231563.6855,-1442916285519.7798
85,ksqexp,1.5,1,0.5,0,-682759794336.7795,-114548596527.43965
86,ksqexp,1.5,1,1,0,-637992472097.1976,-95385608356.39836
87,ksqexp,1.5,1,1.5,0,-569645192964.7139,-80630514359.3177
88,ksqexp,1.5,1.5,0.5,0,-7397099970.401697,-887732206.6424426
89,ksqexp,1.5,1.5,1,0,-3715161150.4920273,-445507289.56400347
90,ksqexp,1.5,1.5,1.5,0,-2480482318.389524,-297370986.7839714
91,ksqexp,1.5,2,0.5,0,-208901073.96558303,-25008040.67207599
92,ksqexp,1.5,2,1,0,-104467933.43081859,-12505626.122088498
93,ksqexp,1.5,2,1.5,0,-69649042.7470575,-8337389.685890015
94,ksqexp,1.5,2.5,0.5,0,-25804201.890426848,-3101616.4776275763
95,ksqexp,1.5,2.5,1,0,-12902198.171956997,-1550738.1390984647
96,ksqexp,1.5,2.5,1.5,0,-8601394.136389952,-1033778.785859292
97,ksqexp,1.5,3,0.5,0,-7137243.8276915625,-869036.7297984178
98,ksqexp,1.5,3,1,0,-3568434.166920702,-434442.2669795054
99,ksqexp,1.5,3,1.5,0,-2378832.2576356004,-289590.9717876235
100,ksqexp,1.5,3.5,0.5,0,-2904137.6513299476,-360273.43645497033
101,ksqexp,1.5,3.5,1,0,-1451871.4011431662,-180073.35186351062
102,ksqexp,1.5,3.5,1.5,0,-967794.9821750866,-120021.24293021607
103,ksqexp,1.5,4,0.5,0,-1451654.1206066194,-184449.5824673834
104,ksqexp,1.5,4,1,0,-725636.2534311198,-92171.78614688854
105,ksqexp,1.5,4,1.5,0,-483644.4679663181,-61427.28264390578
106,ksqexp,1.5,6,0.5,0,-349094.0791471866,-48171.54016974214
107,ksqexp,1.5,6,1,0,-174381.05159209506,-24058.894683473944
108,ksqexp,1.5,6,1.5,0,-116158.19120258575,-16036.170517111546
109,ksqexp,1.5,8,0.5,0,-326039.9574401883,-43485.55956942939
110,ksqexp,1.5,8,1,0,-162868.80054731685,-21730.734000214983
111,ksqexp,1.5,8,1.5,0,-108493.2402193007,-14493.95084558837
112,ksqexp,1.5,10,0.5,0,-373128.01812906377,-48310.718581349065
113,ksqexp,1.5,10,1,0,-186421.95707880286,-24152.439609270972
114,ksqexp,1.5,10,1.5,0,-124201.42866101973,-16114.505320137698
115,ksqexp,1.5,25,0.5,0,-528820.5100142123,-67889.86492513966
116,ksqexp,1.5,25,1,0,-264287.1965406683,-33961.0056316279
117,ksqexp,1.5,25,1.5,0,-176124.25031124955,-22666.21119540286
118,ksqexp,1.75,0.2,0.5,0,-21291796781961.11,-8499334743658.058
119,ksqexp,1.75,0.2,1,0,-22143032319052.87,-8282752247140.681
120,ksqexp,1.75,0.2,1.5,0,-21676651114525.234,-7980015671599.956
121,ksqexp,1.75,0.5,0.5,0,-3720006203139.8003,-2098780025635.8416
122,ksqexp,1.75,0.5,1,0,-3659054751449.3696,-1888493336325.8037
123,ksqexp,1.75,0.5,1.5,0,-3718328162936.9414,-1812379780161.079
124,ksqexp,1.75,1,0.5,0,-281778030988.72906,-147583999582.68573
125,ksqexp,1.75,1,1,0,-284259206505.1103,-125965477317.39992
126,ksqexp,1.75,1,1.5,0,-300890367319.4979,-118317507396.13791
127,ksqexp,1.75,1.5,0.5,0,-612067836533.9938,-71814471869.25383
128,ksqexp,1.75,1.5,1,0,-463173476143.75275,-50780151394.37715
129,ksqexp,1.75,1.5,1.5,0,-366016890271.5997,-39031478754.188866
130,ksqexp,1.75,2,0.5,0,-28627404446.221466,-2868106382.6446214
131,ksqexp,1.75,2,1,0,-14550602668.806,-1454200180.4678075
132,ksqexp,1.75,2,1.5,0,-9754097473.947634,-974026564.0515276
133,ksqexp,1.75,2.5,0.5,0,-2377566572.158989,-237105258.13618386
134,ksqexp,1.75,2.5,1,0,-1190814858.3542404,-118724371.29534699
135,ksqexp,1.75,2.5,1.5,0,-794328936.3206055,-79187767.75590238
136,ksqexp,1.75,3,0.5,0,-481221180.2083522,-48127821.03452508
137,ksqexp,1.75,3,1,0,-240710072.1326674,-24072085.744922783
138,ksqexp,1.75,3,1.5,0,-160495372.05697218,-16049829.639924772
139,ksqexp,1.75,3.5,0.5,0,-165214389.1492572,-16642648.642913451
140,ksqexp,1.75,3.5,1,0,-82620388.25314894,-8322318.817074984
141,ksqexp,1.75,3.5,1.5,0,-55083064.88526666,-5548396.634114201
142,ksqexp,1.75,4,0.5,0,-74773325.31956404,-7607690.671682331
143,ksqexp,1.75,4,1,0,-37389442.38177405,-3803994.697649175
144,ksqexp,1.75,4,1.5,0,-24926793.347503915,-2535998.7047718824
145,ksqexp,1.75,6,0.5,0,-10838467.23755281,-1173409.6491545185
146,ksqexp,1.75,6,1,0,-5419010.353265407,-586635.5870029781
147,ksqexp,1.75,6,1.5,0,-3612515.84957171,-391057.06548320374
148,ksqexp,1.75,8,0.5,0,-6605191.9856329495,-720452.1017937429
149,ksqexp,1.75,8,1,0,-3302337.521651406,-360168.9518424445
150,ksqexp,1.75,8,1.5,0,-2201400.1129898084,-240089.33614197435
151,ksqexp,1.75,10,0.5,0,-7141097.027306136,-758254.6032722548
152,ksqexp,1.75,10,1,0,-3570298.905070118,-379080.65750980435
153,ksqexp,1.75,10,1.5,0,-2380047.717854683,-252704.17705660555
154,ksqexp,1.75,25,0.5,0,-10920881.689292844,-1136073.088910184
155,ksqexp,1.75,25,1,0,-5460214.783843125,-568013.0245719837
156,ksqexp,1.75,25,1.5,0,-3640007.1253603064,-378674.48250770185
157,ksqexp,2,0.2,0.5,0,-14068906178679.568,-8831679876770.824
158,ksqexp,2,0.2,1,0,-14329754492333.734,-8465292092647.245
159,ksqexp,2,0.2,1.5,0,-14637036944998.959,-8312348750451.049
160,ksqexp,2,0.5,0.5,0,-6058065484172.616,-3543932608832.761
161,ksqexp,2,0.5,1,0,-5347088812190.927,-3211645886498.7773
162,ksqexp,2,0.5,1.5,0,-5116519266010.388,-3044904457171.936
163,ksqexp,2,1,0.5,0,-2268309437432.996,-629627888611.7684
164,ksqexp,2,1,1,0,-1695913203347.947,-499880170648.0746
165,ksqexp,2,1,1.5,0,-1342665115019.2437,-425319532987.50397
