model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.2,0.5,0,-574098771922.4774,-574101026029.7174
2,ksqexp,1,0.2,1,0,-535862623477.20514,-535863750319.58655
3,ksqexp,1,0.2,1.5,0,-530477674835.181,-530478426022.18994
4,ksqexp,1,0.5,0.5,0,-220089180496.63474,-220092578598.54843
5,ksqexp,1,0.5,1,0,-115557063167.58406,-115558800162.38974
6,ksqexp,1,0.5,1.5,0,-78338396099.96083,-78339562707.35915
7,ksqexp,1,1,0.5,0,-2916457.753869901,-2938317.5753687457
8,ksqexp,1,1,1,0,-1458221.5384315364,-1469157.6973178578
9,ksqexp,1,1,1.5,0,-972147.0097411736,-979441.9407091864
10,ksqexp,1,1.5,0.5,0,-25005.36422693423,-24911.69793780213
11,ksqexp,1,1.5,1,0,-12505.912201911306,-12465.70125767986
12,ksqexp,1,1.5,1.5,0,-8344.311769074138,-8321.919273013204
13,ksqexp,1,2,0.5,0,-3593.8181259755197,-3507.1504814614154
14,ksqexp,1,2,1,0,-1804.919564713607,-1768.360599308008
15,ksqexp,1,2,1.5,0,-1213.503692320141,-1193.647619958399
16,ksqexp,1,2.5,0.5,0,-1452.2438538359047,-1382.912000450221
17,ksqexp,1,2.5,1,0,-736.8087022223674,-709.0203927708591
18,ksqexp,1,2.5,1.5,0,-503.21396753515944,-489.2735060655233
19,ksqexp,1,3,0.5,0,-828.2106614361542,-767.4095328984965
20,ksqexp,1,3,1,0,-426.6683220745356,-403.227697340275
21,ksqexp,1,3,1.5,0,-297.704524924149,-286.7174014599091
22,ksqexp,1,3.5,0.5,0,-558.4579792957792,-502.59329850161646
23,ksqexp,1,3.5,1,0,-293.23513498683525,-272.3299783156807
24,ksqexp,1,3.5,1.5,0,-209.71116954589135,-200.45918758389385
25,ksqexp,1,4,0.5,0,-421.5200071266256,-368.9078717413339
26,ksqexp,1,4,1,0,-225.92294300662329,-206.70025223950685
27,ksqexp,1,4,1.5,0,-165.6075709693852,-157.51469507609804
28,ksqexp,1,6,0.5,0,-253.97799052463336,-208.24644227000493
29,ksqexp,1,6,1,0,-145.10919915288224,-129.49342333412056
30,ksqexp,1,6,1.5,0,-113.7032513696447,-108.12606636343507
31,ksqexp,1,8,0.5,0,-221.09006420923856,-178.9384436741723
32,ksqexp,1,8,1,0,-130.19798908714137,-116.48290499877804
33,ksqexp,1,8,1.5,0,-104.78428005419214,-100.54804144853773
34,ksqexp,1,10,0.5,0,-210.02476567343263,-170.18919324705013
35,ksqexp,1,10,1,0,-125.51104223580995,-113.01795782172937
36,ksqexp,1,10,1.5,0,-102.22345043112817,-98.84452868824226
37,ksqexp,1,25,0.5,0,-199.06066734873144,-163.31929565148687
38,ksqexp,1,25,1,0,-121.59164851679017,-111.1941407481677
39,ksqexp,1,25,1.5,0,-100.6522915807617,-98.70273845539097
40,ksqexp,1.25,0.2,0.5,0,-2125861038584.1519,-2125879544004.4995
41,ksqexp,1.25,0.2,1,0,-1577160863094.485,-1577170065717.286
42,ksqexp,1.25,0.2,1.5,0,-1277321947202.1843,-1277328070721.0327
43,ksqexp,1.25,0.5,0.5,0,-1811378559996.167,-1811385013336.5496
44,ksqexp,1.25,0.5,1,0,-1678965707447.6438,-1678970886598.827
45,ksqexp,1.25,0.5,1.5,0,-1514531248716.1343,-1514535409418.0352
46,ksqexp,1.25,1,0.5,0,-82941942.55808832,-83695655.42469813
47,ksqexp,1.25,1,1,0,-41471933.417983115,-41848811.785742134
48,ksqexp,1.25,1,1.5,0,-27648160.3878402,-27899422.991254814
49,ksqexp,1.25,1.5,0.5,0,-269070.7423617021,-269393.39388041216
50,ksqexp,1.25,1.5,1,0,-134520.53331986017,-134695.36833933002
51,ksqexp,1.25,1.5,1.5,0,-89675.34037212268,-89800.9031363648
52,ksqexp,1.25,2,0.5,0,-16137.58253798161,-14913.073979078665
53,ksqexp,1.25,2,1,0,-8060.722272028958,-7462.4368883521365
54,ksqexp,1.25,2,1.5,0,-5373.319140547872,-4983.774815574918
55,ksqexp,1.25,2.5,0.5,0,-4859.883196489188,-3867.3698103326446
56,ksqexp,1.25,2.5,1,0,-2425.253833645392,-1943.2121304512013
57,ksqexp,1.25,2.5,1.5,0,-1618.5943605170291,-1306.7098851427909
58,ksqexp,1.25,3,0.5,0,-2771.9707286289563,-1898.3325653280076
59,ksqexp,1.25,3,1,0,-1383.427753390945,-961.0042294290155
60,ksqexp,1.25,3,1.5,0,-925.4637439691693,-653.4450998905804
61,ksqexp,1.25,3.5,0.5,0,-2006.3771595606052,-1201.658862425768
62,ksqexp,1.25,3.5,1,0,-1002.1916992714406,-614.3803491994977
63,ksqexp,1.25,3.5,1.5,0,-672.3468616960733,-423.50449405252095
64,ksqexp,1.25,4,0.5,0,-1627.005960792923,-866.582519019554
65,ksqexp,1.25,4,1,0,-813.7378218238633,-448.20576872168425
66,ksqexp,1.25,4,1.5,0,-547.5320914151891,-313.6305012614929
67,ksqexp,1.25,6,0.5,0,-1128.6131346375676,-449.1946917606256
68,ksqexp,1.25,6,1,0,-567.7391890060474,-243.09985133695642
69,ksqexp,1.25,6,1.5,0,-385.6648564262683,-179.2852205288903
70,ksqexp,1.25,8,0.5,0,-1014.1705877777866,-364.9613354639585
71,ksqexp,1.25,8,1,0,-512.2838869655591,-203.0092685867135
72,ksqexp,1.25,8,1.5,0,-349.87196933397234,-153.90889563012828
73,ksqexp,1.25,10,0.5,0,-971.6336754694707,-338.2586630009585
74,ksqexp,1.25,10,1,0,-492.0717218830797,-190.88762576947911
75,ksqexp,1.25,10,1.5,0,-337.1013866632323,-146.64759602893446
76,ksqexp,1.25,25,0.5,0,-917.9399424711335,-315.8004003002808
77,ksqexp,1.25,25,1,0,-467.3058170102324,-181.95549166364208
78,ksqexp,1.25,25,1.5,0,-321.97809116946695,-142.22417145547996
79,ksqexp,1.5,0.2,0.5,0,-3009647279557.3306,-3009770606335.3535
80,ksqexp,1.5,0.2,1,0,-2977805158666.578,-2977861288494.1245
81,ksqexp,1.5,0.2,1.5,0,-2897739622262.0195,-2897775793458.03
82,ksqexp,1.5,0.5,0.5,0,-1162364421954.3174,-1162364767810.0254
83,ksqexp,1.5,0.5,1,0,-1369363154816.3098,-1369363812237.694
84,ksqexp,1.5,0.5,1.5,0,-1507516013774.433,-1507516894164.972
85,ksqexp,1.5,1,0.5,0,-1655662300.3627224,-1663891457.887561
86,ksqexp,1.5,1,1,0,-828175785.3398446,-832291694.6723295
87,ksqexp,1.5,1,1.5,0,-552193889.4266027,-554938133.716518
