model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
1,ksqexp,1,0.2,0.5,0.5,-84.2633624721162,-86.72425782926126
2,ksqexp,1,0.2,0.5,0.1,-541.8871942862485,-557.766300029932
3,ksqexp,1,0.2,0.5,0.05,-1633.226052443126,-1665.2955769239045
4,ksqexp,1,0.2,0.5,0.01,-35139.5049096466,-34772.25816106167
5,ksqexp,1,0.2,0.5,0,-40688948.99752059,-39989271.58198067
6,ksqexp,1,0.2,1,0.5,-73.36173768120511,-75.27340249742468
7,ksqexp,1,0.2,1,0.1,-459.220510597041,-471.3746229945322
8,ksqexp,1,0.2,1,0.05,-1462.399159270769,-1479.87172843143
9,ksqexp,1,0.2,1,0.01,-38319.06108556723,-37889.30803457886
10,ksqexp,1,0.2,1,0,-20344609.42215548,-19994770.04714401
11,ksqexp,1,0.2,1.5,0.5,-67.4558124670072,-69.02816266833898
12,ksqexp,1,0.2,1.5,0.1,-424.957223700539,-434.7513729971428
13,ksqexp,1,0.2,1.5,0.05,-1389.4392731041623,-1399.4775599909337
14,ksqexp,1,0.2,1.5,0.01,-40560.226440466744,-40124.24824428304
15,ksqexp,1,0.2,1.5,0,-13563088.53245196,-13329862.167661367
16,ksqexp,1,0.5,0.5,0.5,-58.67674916892513,-60.84467464428288
17,ksqexp,1,0.5,0.5,0.1,-341.0238057523883,-346.3094416702958
18,ksqexp,1,0.5,0.5,0.05,-1434.3079965704596,-1426.8878557400064
19,ksqexp,1,0.5,0.5,0.01,-29046.817651395904,-28232.744996686644
20,ksqexp,1,0.5,0.5,0,-69612.70238440704,-66632.53586512007
21,ksqexp,1,0.5,1,0.5,-50.97953346394995,-52.55143231193278
22,ksqexp,1,0.5,1,0.1,-343.29894556644797,-344.4474241914404
23,ksqexp,1,0.5,1,0.05,-1533.8586384736363,-1519.2055887217089
24,ksqexp,1,0.5,1,0.01,-20572.382106265428,-19875.281328729143
25,ksqexp,1,0.5,1,0,-34796.51111185775,-33306.56270390425
26,ksqexp,1,0.5,1.5,0.5,-48.378531781259284,-49.69658983719621
27,ksqexp,1,0.5,1.5,0.1,-354.94778835566996,-354.3352994863232
28,ksqexp,1,0.5,1.5,0.05,-1580.0527503405842,-1561.961426753785
29,ksqexp,1,0.5,1.5,0.01,-15883.025394694954,-15303.69604430866
30,ksqexp,1,0.5,1.5,0,-23193.904570470007,-22200.69553917578
